"KO","STN","Pvalue","30L1","30L2","30L3","30R1","30R2","30R3","Query_ID","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","30R1_log","30R2_log","30R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"K01442",-1.69390037900258,0.0075748502994012,0,0,10.329,13.4,13.25,10.905,"IKNINDAA_00014;IKNINDAA_00404","Penicillin acylase;putative protein YxeI","MAG: hypothetical protein DCO99_01140;MAG: choloylglycine hydrolase","CBAH domain-containing protein;Choloylglycine hydrolase","","GO:0016787","hydrolase activity","choloylglycine hydrolase ",0,0,3.50194861635368,3.84799690655495,3.83289001416474,3.57349571549561,12.5183333333333,3.443,3.75146087873843,1.16731620545123,-2.58414467328721,2.12062594563575,"Downregulated"
"K01682",-2.56603390950398,0.00249550898203593,10.228,14.436,14.92,36.851,21.404,31.877,"IKNINDAA_01003","Aconitate hydratase B","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Aconitate hydratase B","acnB","GO:0006099;GO:0003723;GO:0003994;GO:0046872;GO:0047456;GO:0047780;GO:0051539;GO:0005829","tricarboxylic acid cycle;RNA binding;aconitate hydratase activity;metal ion binding;2-methylisocitrate dehydratase activity;citrate dehydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",3.48902906385044,3.94822704387917,3.99276843076892,5.24225951071219,4.48568442828527,5.03900675514224,30.044,13.1946666666667,4.92231689804657,3.81000817949951,-1.11230871854706,2.60284086264754,"Downregulated"
"K01711",-1.63958135826555,0.00839670658682635,6.8189,0,4.5907,17.42,7.1346,11.744,"IKNINDAA_01776","GDP-mannose 4,6-dehydratase","MAG: GDP-mannose 4,6-dehydratase","GDP-mannose 4,6-dehydratase","gmd","GO:0019673;GO:0008446;GO:0070401","GDP-mannose metabolic process;GDP-mannose 4,6-dehydratase activity;NADP+ binding","GDPmannose 4,6-dehydratase ",2.96696565661567,0,2.48302893124433,4.20320115631661,3.02407140647502,3.67174626686322,12.0995333333333,3.8032,3.63300627655162,1.81666486262,-1.81634141393162,2.07589102246603,"Downregulated"
"K01890",-1.85441605941143,0.00595209580838323,0,3.6089,8.0337,16.75,9.173,14.261,"IKNINDAA_00271","Phenylalanine--tRNA ligase beta subunit","MAG: phenylalanine--tRNA ligase subunit beta","Phenylalanine--tRNA ligase beta subunit","pheT","GO:0006432;GO:0000049;GO:0000287;GO:0004826;GO:0005524;GO:0005737;GO:0003723","phenylalanyl-tRNA aminoacylation;tRNA binding;magnesium ion binding;phenylalanine-tRNA ligase activity;ATP binding;cytoplasm;RNA binding","phenylalanyl-tRNA synthetase beta chain ",0,2.20442246564176,3.17531700413421,4.14974711950468,3.3466732850845,3.9317775949217,13.3946666666667,3.88086666666667,3.80939933317029,1.79324648992532,-2.01615284324497,2.22533008675027,"Downregulated"
"K02012",29.1166426469476,1e-06,301.74,279.69,254.79,6.7002,2.0385,3.3555,"IKNINDAA_01982;IKNINDAA_02590","Iron deficiency-induced protein A","MAG: iron ABC transporter substrate-binding protein","Iron ABC transporter substrate-binding protein","","GO:0006811;GO:0055072;GO:0046872","ion transport;iron ion homeostasis;metal ion binding","iron(III) transport system substrate-binding protein",8.24193549589192,8.13283385637758,7.99881605355482,2.94489591791936,1.60335929188297,2.12283834594571,4.0314,278.74,2.22369785191601,8.1245284686081,5.90083061669209,6,"Upregulated"
"K02160",-2.06844512089521,0.00398952095808383,3.4095,0,0,10.72,10.192,11.744,"IKNINDAA_01068","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","MAG: acetyl-CoA carboxylase biotin carboxyl carrier protein","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","accB","GO:0006633;GO:0003989;GO:0009317","fatty acid biosynthetic process;acetyl-CoA carboxylase activity;acetyl-CoA carboxylase complex","acetyl-CoA carboxylase biotin carboxyl carrier protein",2.14061507564306,0,0,3.55090066464752,3.48439596250267,3.67174626686322,10.8853333333333,1.1365,3.56901429800447,0.713538358547685,-2.85547593945679,2.39907924911295,"Downregulated"
"K02287",-1.6483826697941,0.00825,0,0,11.477,10.72,14.269,13.422,"IKNINDAA_02494","hypothetical protein","phycobilisome linker polypeptide","","","GO:0030089","phycobilisome","phycocyanin-associated, rod",0,0,3.64119918570543,3.55090066464752,3.93253367488182,3.85019934199064,12.8036666666667,3.82566666666667,3.77787789383999,1.21373306190181,-2.56414483193819,2.08354605145007,"Downregulated"
"K02335",-1.69160684177634,0.00759580838323353,0,0,5.7383,15.41,6.1154,9.2277,"IKNINDAA_01873","DNA polymerase I","MAG: DNA polymerase I","DNA polymerase I","polA","GO:0006261;GO:0006281;GO:0071897;GO:0090305;GO:0003677;GO:0003887;GO:0008408;GO:0006139;GO:0006260;GO:0003676;GO:0003824","DNA-templated DNA replication;DNA repair;DNA biosynthetic process;nucleic acid phosphodiester bond hydrolysis;DNA binding;DNA-directed DNA polymerase activity;3'-5' exonuclease activity;nucleobase-containing compound metabolic process;DNA replication;nucleic acid binding;catalytic activity","DNA polymerase I ",0,0,2.75238466100307,4.03650333373899,2.83094486171248,3.35440984391357,10.2510333333333,1.91276666666667,3.40728601312168,0.917461553667691,-2.48982445945399,2.11942599958983,"Downregulated"
"K02520",-1.75773342138482,0.0068248502994012,11.933,0,8.0337,24.121,13.25,12.583,"IKNINDAA_01200","Translation initiation factor IF-3","MULTISPECIES: translation initiation factor IF-3","","","GO:0006413;GO:0003743","translational initiation;translation initiation factor activity","translation initiation factor IF-3",3.69298506323756,0,3.17531700413421,4.6508219901012,3.83289001416474,3.76373024951623,16.6513333333333,6.65556666666667,4.08248075126072,2.28943402245726,-1.79304672880347,2.16590687027358,"Downregulated"
"K02636",-2.02791021046702,0.00435778443113772,5.1142,0,9.1813,12.06,17.327,17.616,"IKNINDAA_02349","Cytochrome b6-f complex iron-sulfur subunit 1","MULTISPECIES: cytochrome b6-f complex iron-sulfur subunit","","","GO:0045158;GO:0051537;GO:0016020","electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;2 iron, 2 sulfur cluster binding;membrane","cytochrome b6-f complex iron-sulfur subunit ",2.61216374461758,0,3.34784987867928,3.70708299177171,4.19589874113931,4.21847121074326,15.6676666666667,4.76516666666667,4.04048431455143,1.98667120776562,-2.05381310678581,2.36073425703674,"Downregulated"
"K02965",-1.67595810613477,0.00783083832335329,0,0,0,16.75,5.0961,0,"IKNINDAA_02180","30S ribosomal protein S19","MULTISPECIES: 30S ribosomal protein S19","30S ribosomal protein S19","rpsS","GO:0006412;GO:0003723;GO:0003735;GO:0015935;GO:0005840;GO:0005737;GO:0019843","translation;RNA binding;structural constituent of ribosome;small ribosomal subunit;ribosome;cytoplasm;rRNA binding","small subunit ribosomal protein S19",0,0,0,4.14974711950468,2.60788656889436,0,7.28203333333333,0,2.25254456279968,0,-2.25254456279968,2.10619174244811,"Downregulated"
"K03321",-1.78836889469447,0.00647904191616766,3.4095,0,10.329,17.4204,11.2116,13.422,"IKNINDAA_00625;IKNINDAA_00709;IKNINDAA_00938","Bicarbonate transporter BicA","MAG: sodium-independent anion transporter","Sodium-independent anion transporter","","GO:1902358;GO:0008271;GO:0016020;GO:0055085;GO:0015301;GO:0016021","sulfate transmembrane transport;secondary active sulfate transmembrane transporter activity;membrane;transmembrane transport;obsolete anion:anion antiporter activity;integral component of membrane","sulfate permease, SulP family",2.14061507564306,0,3.50194861635368,4.20323248485899,3.61018033377434,3.85019934199064,14.018,4.5795,3.88787072020799,1.88085456399891,-2.00701615620908,2.18848921037703,"Downregulated"
"K03585",-1.83269583036541,0.00606437125748503,0,0,5.7383,16.7501,6.1154,10.0665,"IKNINDAA_01921;IKNINDAA_02030","Efflux pump periplasmic linker BepF;Toluene efflux pump periplasmic linker protein TtgD","MAG: efflux RND transporter periplasmic adaptor subunit","Efflux RND transporter periplasmic adaptor subunit","","GO:0055085;GO:0022857;GO:0016020","transmembrane transport;transmembrane transporter activity;membrane","membrane fusion protein, multidrug efflux system",0,0,2.75238466100307,4.14975524734117,2.83094486171248,3.46812710823984,10.9773333333333,1.91276666666667,3.4829424057645,0.917461553667691,-2.56548085209681,2.21721421929196,"Downregulated"
"K03671",-4.14110954188181,0.00126796407185629,0,5.4134,4.5907,19.4301,36.692,23.4884,"IKNINDAA_02311;IKNINDAA_02394","Thioredoxin 1","MULTISPECIES: thioredoxin domain-containing protein;MULTISPECIES: thioredoxin","","","GO:0015035","protein-disulfide reductase activity","thioredoxin 1",0,2.68108939002616,2.48302893124433,4.35262436059095,5.23618644371103,4.61402661041959,26.5368333333333,3.3347,4.73427913824053,1.72137277375683,-3.0129063644837,2.89689305214484,"Downregulated"
"K03695",-3.21254254875459,0.00166916167664671,0,0,12.624,26.8002,22.4234,19.294,"IKNINDAA_00496;IKNINDAA_00883","Chaperone protein ClpB 1","MAG: ATP-dependent chaperone ClpB","Chaperone protein ClpB;ATP-dependent chaperone ClpB","clpB;","GO:0009408;GO:0042026;GO:0005524;GO:0016887;GO:0005737","response to heat;protein refolding;ATP binding;ATP hydrolysis activity;cytoplasm","ATP-dependent Clp protease ATP-binding subunit ClpB",0,0,3.76807843501646,4.79702335689982,4.54987859886995,4.34298134694144,22.8392,4.208,4.56329443423707,1.25602614500549,-3.30726828923159,2.77750159509137,"Downregulated"
"K03701",-2.09073868136337,0.0038937125748503,10.228,5.4134,22.953,24.121,28.538,26.005,"IKNINDAA_01136","UvrABC system protein A","MAG: excinuclease ABC subunit A","UvrABC system protein A","uvrA","GO:0006289;GO:0009432;GO:0090305;GO:0003677;GO:0005524;GO:0008270;GO:0009381;GO:0016887;GO:0005737;GO:0009380","nucleotide-excision repair;SOS response;nucleic acid phosphodiester bond hydrolysis;DNA binding;ATP binding;zinc ion binding;excinuclease ABC activity;ATP hydrolysis activity;cytoplasm;excinuclease repair complex","excinuclease ABC subunit A",3.48902906385044,2.68108939002616,4.58213445289789,4.6508219901012,4.88450024029394,4.75515464317727,26.2213333333333,12.8648,4.7634922911908,3.58408430225816,-1.17940798893264,2.40963611027967,"Downregulated"
"K03797",-2.46803564638154,0.00261077844311377,3.4095,0,9.1814,21.4402,13.25,17.6165,"IKNINDAA_00044;IKNINDAA_00236;IKNINDAA_02239","Carboxy-terminal processing protease CtpA;hypothetical protein;Carboxy-terminal processing protease CtpB","MULTISPECIES: S41 family peptidase;MAG: signal protein PDZ;MAG: peptidase S41",";Peptidase S41","","GO:0006508;GO:0005515;GO:0008236","proteolysis;protein binding;serine-type peptidase activity","carboxyl-terminal processing protease ",2.14061507564306,0,3.34786404865714,4.48801362902134,3.83289001416474,4.21850995901536,17.4355666666667,4.19696666666667,4.17980453406715,1.8294930414334,-2.35031149263375,2.583229981879,"Downregulated"
"K04567",-1.70966453514242,0.00735928143712575,5.1142,0,5.7383,16.75,8.1538,11.744,"IKNINDAA_01126","Lysine--tRNA ligase","MAG: lysine--tRNA ligase","Lysine--tRNA ligase","lysS","GO:0006430;GO:0000287;GO:0003676;GO:0004824;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","lysyl-tRNA aminoacylation;magnesium ion binding;nucleic acid binding;lysine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","lysyl-tRNA synthetase, class II ",2.61216374461758,0,2.75238466100307,4.14974711950468,3.19437077105587,3.67174626686322,12.2159333333333,3.6175,3.67195471914126,1.78818280187355,-1.88377191726771,2.13316458826113,"Downregulated"
"K04772",-3.29860229185098,0.00158233532934132,0,0,5.7383,28.1402,15.2881,14.261,"IKNINDAA_01224;IKNINDAA_02015","Putative serine protease HhoA","PDZ domain-containing protein;MAG: serine protease",";Serine protease","","GO:0006508;GO:0004252;GO:0005515","proteolysis;serine-type endopeptidase activity;protein binding","serine protease DegQ ",0,0,2.75238466100307,4.86493887407489,4.02574641879703,3.9317775949217,19.2297666666667,1.91276666666667,4.27415429593121,0.917461553667691,-3.35669274226352,2.80070147516812,"Downregulated"
"K06872",-1.66916016118067,0.00791467065868263,0,0,3.443,12.7302,8.1538,5.8721,"IKNINDAA_00123;IKNINDAA_00280","hypothetical protein","MAG: methanol dehydrogenase;TPM domain-containing protein","Methanol dehydrogenase;","","GO:0016020;GO:0016021;","membrane;integral component of membrane;","uncharacterized protein",0,0,2.15153414134792,3.77928073544205,3.19437077105587,2.78075103013971,8.9187,1.14766666666667,3.25146751221254,0.717178047115972,-2.53428946509657,2.10156715207043,"Downregulated"
"K07267",23.8211865954127,1e-06,450.05,404.2,300.69,70.352,69.307,76.338,"IKNINDAA_02592","putative protein","MAG: porin","Porin","","GO:0008643;GO:0055085;GO:0015288;GO:0016020;GO:0016021","carbohydrate transport;transmembrane transport;porin activity;membrane;integral component of membrane","porin",8.8171435584078,8.66249036391378,8.23692306660568,6.15688196396671,6.13559643087836,6.27310555096324,71.999,384.98,6.1885279819361,8.57218566297575,2.38365768103965,6,"Upregulated"
"K09667",-1.77224821581231,0.00662574850299401,0,0,0,11.3902,3.0577,10.0665,"IKNINDAA_01133;IKNINDAA_01160;IKNINDAA_01673;IKNINDAA_01899;IKNINDAA_02577","Lipopolysaccharide assembly protein B;Beta-barrel assembly-enhancing protease;SPBc2 prophage-derived glycosyltransferase SunS","MAG: hypothetical protein DCO99_07355;MAG: hypothetical protein DCO99_07495;MAG: hypothetical protein DCO99_08875;MAG: hypothetical protein DCO99_05205;MAG: glycosyl transferase",";TPR_REGION domain-containing protein;Glycosyl transferase","","GO:0005515;GO:0016020;GO:0016021;GO:0016740","protein binding;membrane;integral component of membrane;transferase activity","protein O-GlcNAc transferase ",0,0,0,3.63112757023346,2.0206622055304,3.46812710823984,8.17146666666667,0,3.0399722946679,0,-3.0399722946679,2.17876505288431,"Downregulated"
"K10112",-1.62751121673268,0.00861976047904192,0,0,2.2953,8.0402,6.1154,10.067,"IKNINDAA_00209;IKNINDAA_02503","Trehalose import ATP-binding protein SugC","ABC transporter ATP-binding protein;MAG: sugar ABC transporter ATP-binding protein",";Sugar ABC transporter ATP-binding protein","","GO:0006826;GO:0055085;GO:0005524;GO:0015408;GO:0043190;GO:0022857;GO:0016020;GO:0008643;GO:0140359","iron ion transport;transmembrane transport;ATP binding;ABC-type ferric iron transporter activity;ATP-binding cassette (ABC) transporter complex;transmembrane transporter activity;membrane;carbohydrate transport;ABC-type transporter activity","multiple sugar transport system ATP-binding protein ",0,0,1.72040981236853,3.17635469031927,2.83094486171248,3.46819228975389,8.0742,0.7651,3.15849728059521,0.573469937456177,-2.58502734313903,2.06450480193348,"Downregulated"
"K10960",-4.08015706555793,0.00126796407185629,8.5237,10.827,12.624,38.861,37.711,36.911,"IKNINDAA_00354","Kynurenine 3-monooxygenase","geranylgeranyl reductase","","","GO:0015979;GO:0015995;GO:0016628;GO:0045550;GO:0071949","photosynthesis;chlorophyll biosynthetic process;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;geranylgeranyl reductase activity;FAD binding","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ",3.2515221759076,3.56401226543737,3.76807843501646,5.31690599866554,5.27467167134752,5.24454460668511,37.8276666666667,10.6582333333333,5.27870742556606,3.52787095878714,-1.75083646677892,2.89689305214484,"Downregulated"
"K11004",-3.73065602866684,0.00137874251497006,0,3.6089,10.329,34.1703,24.4614,20.1334,"IKNINDAA_00954;IKNINDAA_01179;IKNINDAA_02614","Leukotoxin export ATP-binding protein LtxB;Alpha-hemolysin translocation ATP-binding protein HlyB","MAG: peptidase C39;ABC transporter transmembrane domain-containing protein","Peptidase C39;","","GO:0006508;GO:0055085;GO:0005524;GO:0008233;GO:0140359;GO:0016020;GO:0016021","proteolysis;transmembrane transport;ATP binding;peptidase activity;ABC-type transporter activity;membrane;integral component of membrane","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB",0,2.20442246564176,3.50194861635368,5.13628573598269,4.67023984317327,4.40145298561217,26.2550333333333,4.64596666666667,4.73599285492271,1.90212369399848,-2.83386916092423,2.8605168322787,"Downregulated"
"K13195",-3.15478759857082,0.00170508982035928,5.1142,0,8.0337,24.7902,24.4617,16.778,"IKNINDAA_00777;IKNINDAA_01465;IKNINDAA_01824","hypothetical protein","MAG: RNA-binding protein","RNA-binding protein","","GO:0003723;GO:0003676","RNA binding;nucleic acid binding","cold-inducible RNA-binding protein",2.61216374461758,0,3.17531700413421,4.68875105599004,4.6702568416872,4.15202112702035,22.0099666666667,4.38263333333333,4.50367634156586,1.92916024958393,-2.57451609198193,2.76825273839645,"Downregulated"
"K13799",-1.88927790021327,0.00548353293413174,5.1142,3.6089,8.0337,14.74,16.308,15.1,"IKNINDAA_02133","Pantothenate synthetase","MAG: cytidylate kinase","Bifunctional pantoate ligase/cytidylate kinase [Includes: Pantothenate synthetase    ; Cytidylate kinase    ]","panC/cmk","GO:0006220;GO:0015940;GO:0016310;GO:0046940;GO:0004592;GO:0005524;GO:0036430;GO:0036431;GO:0005737;GO:0006139;GO:0004127","pyrimidine nucleotide metabolic process;pantothenate biosynthetic process;phosphorylation;nucleoside monophosphate phosphorylation;pantoate-beta-alanine ligase activity;ATP binding;CMP kinase activity;dCMP kinase activity;cytoplasm;nucleobase-containing compound metabolic process;cytidylate kinase activity","pantoate ligase / CMP/dCMP kinase ",2.61216374461758,2.20442246564176,3.17531700413421,3.97636363573276,4.1133671207598,4.00898878322726,15.3826666666667,5.5856,4.03290651323994,2.66396773813118,-1.36893877510876,2.260939543811,"Downregulated"
"K14440",-2.34508757579186,0.0029311377245509,3.4095,0,9.1813,22.11,11.211,16.778,"IKNINDAA_00905","RNA polymerase-associated protein RapA","MAG: helicase","Helicase","","GO:0006338;GO:0004386;GO:0005524;GO:0140658","chromatin remodeling;helicase activity;ATP binding;ATP-dependent chromatin remodeler activity","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 ",2.14061507564306,0,3.34784987867928,4.53044535469291,3.61010944721642,4.15202112702035,16.6996666666667,4.19693333333333,4.09752530964323,1.82948831810744,-2.26803699153578,2.53296377500843,"Downregulated"
"K16870",-1.85683989438579,0.00595209580838323,0,0,0,14.0703,4.077,7.5499,"IKNINDAA_00363;IKNINDAA_01187;IKNINDAA_01188","Hyaluronan synthase;hypothetical protein;Rhamnosyltransferase WbbL","glycosyltransferase family 2 protein;MAG: hypothetical protein DCO99_07605;glycosyltransferase, partial","","","","","N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase ",0,0,0,3.91363623141197,2.34397626006754,3.09590754627365,8.56573333333333,0,3.11784001258439,0,-3.11784001258439,2.22533008675027,"Downregulated"
"K19223",-1.85717395954799,0.00595209580838323,0,0,0,10.72,4.0769,10.905,"IKNINDAA_02544","N-acetylmuramoyl-L-alanine amidase sle1","LysM peptidoglycan-binding domain-containing protein","","","","","peptidoglycan DL-endopeptidase LytF ",0,0,0,3.55090066464752,2.34394784349773,3.57349571549561,8.5673,0,3.15611474121362,0,-3.15611474121362,2.22533008675027,"Downregulated"
"K19813",-2.00064254843388,0.00449251497005988,0,0,0,10.7202,6.1154,10.9054,"IKNINDAA_01949;IKNINDAA_01951","6'''-hydroxyparomomycin C oxidase","MAG: dehydrogenase;GMC oxidoreductase","Dehydrogenase;","","GO:0016614;GO:0050660","oxidoreductase activity, acting on CH-OH group of donors;flavin adenine dinucleotide binding","glucose dehydrogenase ",0,0,0,3.55092528380676,2.83094486171248,3.57354418826519,9.247,0,3.31847144459481,0,-3.31847144459481,2.34751046705069,"Downregulated"
"K21480",-2.30176233518597,0.00302095808383234,0,0,0,12.73,10.192,9.2277,"IKNINDAA_01809","Heme oxygenase 1","MAG: heme oxygenase","Heme oxygenase","","GO:0006788;GO:0004392;GO:0046872","heme oxidation;heme oxygenase (decyclizing) activity;metal ion binding","heme oxygenase (biliverdin-producing, ferredoxin) ",0,0,0,3.77925972037238,3.48439596250267,3.35440984391357,10.7165666666667,0,3.5393551755962,0,-3.5393551755962,2.51985530057465,"Downregulated"
"K21993",-2.37977842066918,0.00281736526946108,0,0,16.067,16.08,18.346,23.489,"IKNINDAA_00980","putative formate transporter 1","MULTISPECIES: formate/nitrite transporter family protein","","","GO:0055085;GO:0022857;GO:0016020","transmembrane transport;transmembrane transporter activity;membrane","formate transporter",0,0,4.09313758175383,4.09423606984577,4.27396339889483,4.6140619580299,19.305,5.35566666666667,4.32742047559017,1.36437919391794,-2.96304128167222,2.55015684338431,"Downregulated"
