"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"K01682",-4.80093941507655,1e-06,5.3715,12.328,12.922,49.725,50.382,47.534,"Aconitate hydratase B","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Aconitate hydratase B","acnB","GO:0006099;GO:0003723;GO:0003994;GO:0046872;GO:0047456;GO:0047780;GO:0051539;GO:0005829","tricarboxylic acid cycle;RNA binding;aconitate hydratase activity;metal ion binding;2-methylisocitrate dehydratase activity;citrate dehydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",2.6716330565959,3.73638840070346,3.7992945749546,5.6646250548693,5.68319114187824,5.60092386169364,49.2136666666667,10.2071666666667,5.64958001948039,3.40243867741799,-2.24714134206241,6,"Downregulated"
"K01803",-1.70010241317515,0.00581845238095238,2.6857,11.207,12.922,17.644,25.527,16.068,"Triosephosphate isomerase","MULTISPECIES: triose-phosphate isomerase","","","GO:0006096;GO:0004807","glycolytic process;triose-phosphate isomerase activity","triosephosphate isomerase (TIM) ",1.88193864662621,3.60963678113278,3.7992945749546,4.22063951287686,4.7293896219485,4.09322211053902,19.7463333333333,8.93823333333333,4.34775041512146,3.09695666757119,-1.25079374755027,2.23519251565796,"Downregulated"
"K01876",-1.58486055336187,0.00793154761904762,2.6857,13.449,11.845,12.03,26.87,19.415,"Aspartate--tRNA ligase","MAG: aspartate--tRNA ligase","Aspartate--tRNA ligase","aspS","GO:0006422;GO:0003676;GO:0004815;GO:0005524;GO:0050560;GO:0005737;GO:0006418;GO:0000166;GO:0004812;GO:0016874","aspartyl-tRNA aminoacylation;nucleic acid binding;aspartate-tRNA ligase activity;ATP binding;aspartate-tRNA(Asn) ligase activity;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity;ligase activity","aspartyl-tRNA synthetase ",1.88193864662621,3.85289774367121,3.68313498512609,3.70376517879341,4.80064109732908,4.35155766245043,19.4383333333333,9.32656666666667,4.28532131285764,3.13932379180784,-1.1459975210498,2.10064206402725,"Downregulated"
"K02012",20.0484144893802,1e-06,290.06,219.662,232.6,2.406,6.0458,4.6865,"Iron deficiency-induced protein A","MAG: iron ABC transporter substrate-binding protein","Iron ABC transporter substrate-binding protein","","GO:0006811;GO:0055072;GO:0046872","ion transport;iron ion homeostasis;metal ion binding","iron(III) transport system substrate-binding protein",8.18517277514125,7.78569439559641,7.86789646399265,1.76807843501646,2.81676352349831,2.50754095722971,4.37943333333333,247.440666666667,2.36412763858149,7.94625454491011,5.58212690632861,6,"Upregulated"
"K02471",-1.5556599391158,0.00847767857142857,6.7143,4.4829,5.3842,5.6141,20.153,16.068,"Vitamin B12 transport ATP-binding protein BacA","MAG: ABC transporter ATP-binding protein","ABC transporter ATP-binding protein","","GO:0055085;GO:0005524;GO:0140359;GO:0016020;GO:0016021","transmembrane transport;ATP binding;ABC-type transporter activity;membrane;integral component of membrane","vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",2.94753525176087,2.45493916124739,2.67450584806536,2.72554485811044,4.40279038131511,4.09322211053902,13.9450333333333,5.52713333333333,3.74051911665486,2.69232675369121,-1.04819236296365,2.07172305359715,"Downregulated"
"K02694",-2.91233693334354,0.000206845238095238,12.086,10.087,9.6916,36.893,30.229,28.788,"Photosystem I reaction center subunit III","MULTISPECIES: photosystem I reaction center subunit III","","","GO:0015979;GO:0009538;GO:0009522","photosynthesis;photosystem I reaction center;photosystem I","photosystem I subunit III",3.70995227069982,3.47079713841836,3.41840586369293,5.243859457848,4.9648144676996,4.89665935755021,31.97,10.6215333333333,5.03511109436594,3.5330517576037,-1.50205933676224,3.68435447279973,"Downregulated"
"K02881",-1.70745272665633,0.0056860119047619,0,0,0,8.0201,8.0611,7.3645,"50S ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","","","GO:0006412;GO:0003735;GO:0005840","translation;structural constituent of ribosome;ribosome","large subunit ribosomal protein L18",0,0,0,3.17314342779378,3.17968620128849,3.0642793036731,7.81523333333333,0,3.13903631091846,0,-3.13903631091846,2.24519223536542,"Downregulated"
"K02886",-2.30671851610132,0.00116666666666667,16.114,12.328,15.076,23.258,36.275,37.492,"50S ribosomal protein L2","MULTISPECIES: 50S ribosomal protein L2","","","GO:0006412;GO:0003723;GO:0003735;GO:0016740;GO:0015934;GO:0005840","translation;RNA binding;structural constituent of ribosome;transferase activity;large ribosomal subunit;ribosome","large subunit ribosomal protein L2",4.09710509058366,3.73638840070346,4.00683657739666,4.60038870433076,5.22013644739608,5.26648672875681,32.3416666666667,14.506,5.02900396016122,3.94677668956126,-1.08222727059996,2.93305321036939,"Downregulated"
"K03321",-1.4802871802294,0.01,0,10.0866,11.8453,8.8222,24.855,16.068,"Bicarbonate transporter BicA","MAG: sodium-independent anion transporter","Sodium-independent anion transporter","","GO:1902358;GO:0008271;GO:0016020;GO:0055085;GO:0015301;GO:0016021","sulfate transmembrane transport;secondary active sulfate transmembrane transporter activity;membrane;transmembrane transport;obsolete anion:anion antiporter activity;integral component of membrane","sulfate permease, SulP family",0,3.4707450875095,3.68316867943969,3.29604619904213,4.69237139970866,4.09322211053902,16.5817333333333,7.31063333333333,4.02721323642994,2.38463792231639,-1.64257531411355,2,"Downregulated"
"K03403",-2.24483230154097,0.00135863095238095,2.6857,4.4829,4.3074,12.03,12.092,22.763,"Aerobic cobaltochelatase subunit CobN","MAG: magnesium chelatase subunit H","Magnesium chelatase","","GO:0006094;GO:0015979;GO:0015995;GO:0005524;GO:0016851;GO:0009058","gluconeogenesis;photosynthesis;chlorophyll biosynthetic process;ATP binding;magnesium chelatase activity;biosynthetic process","magnesium chelatase subunit H ",1.88193864662621,2.45493916124739,2.4080052836788,3.70376517879341,3.71061360238268,4.57064507799186,15.6283333333333,3.82533333333333,3.99500795305598,2.2482943638508,-1.74671358920519,2.86689849551953,"Downregulated"
"K03404",-1.70777413633653,0.0056860119047619,0,0,0,4.0101,7.3893,12.051,"Magnesium-chelatase 38 kDa subunit","MAG: magnesium chelatase ATPase subunit D","Mg-protoporphyrin IX chelatase","bchD","GO:0015979;GO:0015995;GO:0005524;GO:0016851","photosynthesis;chlorophyll biosynthetic process;ATP binding;magnesium chelatase activity","magnesium chelatase subunit D ",0,0,0,2.3248393994413,3.06855043776168,3.70608844879118,7.8168,0,3.03315942866472,0,-3.03315942866472,2.24519223536542,"Downregulated"
"K03592",-1.66444156291621,0.00639285714285714,8.0572,3.3622,4.3074,6.4161,20.153,16.068,"Metalloprotease PmbA","MAG: peptidase C69","Peptidase C69","","GO:0006508;GO:0008237","proteolysis;metallopeptidase activity","PmbA protein",3.17906511534264,2.12505591679057,2.4080052836788,2.89066069764891,4.40279038131511,4.09322211053902,14.2123666666667,5.24226666666667,3.79555772983435,2.57070877193734,-1.22484895789701,2.19430500036233,"Downregulated"
"K03671",-1.59146053558565,0.0077827380952381,5.3715,5.6036,4.3074,10.426,12.763,17.407,"Thioredoxin 1","MULTISPECIES: thioredoxin domain-containing protein;MULTISPECIES: thioredoxin","","","GO:0015035","protein-disulfide reductase activity","thioredoxin 1",2.6716330565959,2.72325273450107,2.4080052836788,3.51424852992186,3.78272307171368,4.2021826081693,13.532,5.09416666666667,3.83305140326828,2.60096369159192,-1.23208771167636,2.10886758418655,"Downregulated"
"K04567",-1.92340591715007,0.00321279761904762,4.0286,0,5.3842,12.03,16.122,11.381,"Lysine--tRNA ligase","MAG: lysine--tRNA ligase","Lysine--tRNA ligase","lysS","GO:0006430;GO:0000287;GO:0003676;GO:0004824;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","lysyl-tRNA aminoacylation;magnesium ion binding;nucleic acid binding;lysine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","lysyl-tRNA synthetase, class II ",2.33015679879996,0,2.67450584806536,3.70376517879341,4.0977793259229,3.6300559390661,13.1776666666667,3.1376,3.81053348126081,1.66822088228844,-2.14231259897237,2.49311663071959,"Downregulated"
"K04755",-2.26106627037784,0.00129166666666667,0,10.087,9.6916,17.644,22.84,22.763,"Na(+)-translocating NADH-quinone reductase subunit F;hypothetical protein","2Fe-2S iron-sulfur cluster-binding protein","","","GO:0140647;GO:0051537;GO:0051536","P450-containing electron transport chain;2 iron, 2 sulfur cluster binding;iron-sulfur cluster binding","ferredoxin, 2Fe-2S",0,3.47079713841836,3.41840586369293,4.22063951287686,4.57531233068744,4.57064507799186,21.0823333333333,6.59286666666667,4.45553230718539,2.29640100070376,-2.15913130648162,2.88884954787733,"Downregulated"
"K05382",-1.92020823428393,0.00322172619047619,2.6857,0,0,0,14.7785,13.39,"Chromophore lyase CpcS/CpeS;Phycocyanobilin lyase subunit CpcS","MAG: CpeS-like protein;MAG: phycobiliprotein lyase","Chromophore lyase CpcS/CpeS","cpcS","GO:0017009;GO:0016829","protein-phycocyanobilin linkage;lyase activity","phycoerythrin-associated linker protein",1.88193864662621,0,0,0,3.97988815540847,3.84699468696557,9.3895,0.895233333333333,2.60896094745801,0.627312882208736,-1.98164806524928,2.49191137236444,"Downregulated"
"K06048",-2.53188553954129,0.000727678571428571,0,0,0,10.426,13.4353,12.7205,"putative protein;Glutamate--cysteine ligase","MAG: hypothetical protein DCO99_02030;MAG: putative glutamate--cysteine ligase",";Putative glutamate--cysteine ligase",";gshA",";GO:0042398;GO:0004357;GO:0003824",";cellular modified amino acid biosynthetic process;glutamate-cysteine ligase activity;catalytic activity","glutamate---cysteine ligase / carboxylate-amine ligase ",0,0,0,3.51424852992186,3.85152918542037,3.77826115178997,12.1939333333333,0,3.7146796223774,0,-3.7146796223774,3.13806041393021,"Downregulated"
"K07267",13.4397184018902,1e-06,300.8,263.37,291.83,71.379,63.145,54.229,"putative protein","MAG: porin","Porin","","GO:0008643;GO:0055085;GO:0015288;GO:0016020;GO:0016021","carbohydrate transport;transmembrane transport;porin activity;membrane;integral component of membrane","porin",8.23744899563932,8.0464146627367,8.19391955293944,6.1774992702269,6.00326490881749,5.78735410047664,62.9176666666667,285.333333333333,5.98937275984034,8.15926107043849,2.16988831059815,6,"Upregulated"
"K09667",-2.07268563176296,0.00204464285714286,0,5.6037,5.3842,8.8222,16.7938,19.4155,"Lipopolysaccharide assembly protein B;Beta-barrel assembly-enhancing protease;SPBc2 prophage-derived glycosyltransferase SunS","MAG: hypothetical protein DCO99_07355;MAG: hypothetical protein DCO99_07495;MAG: hypothetical protein DCO99_08875;MAG: hypothetical protein DCO99_05205;MAG: glycosyl transferase",";TPR_REGION domain-containing protein;Glycosyl transferase","","GO:0005515;GO:0016020;GO:0016021;GO:0016740","protein binding;membrane;integral component of membrane;transferase activity","protein O-GlcNAc transferase ",0,2.72327458143482,2.67450584806536,3.29604619904213,4.1533027367868,4.35159299620928,15.0105,3.66263333333333,3.93364731067941,1.79926014316673,-2.13438716751268,2.68938254033029,"Downregulated"
"K09807",1.76284258821496,0.0047604166666666,16.114,19.052,12.922,4.0101,5.3741,8.7035,"hypothetical protein","MAG: SIMPL domain-containing protein","","","","","uncharacterized protein",4.09710509058366,4.32567423412026,3.7992945749546,2.3248393994413,2.6722216529991,3.27850521347317,6.02923333333333,16.0293333333333,2.75852208863786,4.0740246332195,1.31550254458165,2.32235503296972,"Upregulated"
"K10960",-4.26178645293895,1e-06,6.7143,15.69,8.6148,32.883,52.397,46.865,"Kynurenine 3-monooxygenase","geranylgeranyl reductase","","","GO:0015979;GO:0015995;GO:0016628;GO:0045550;GO:0071949","photosynthesis;chlorophyll biosynthetic process;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;geranylgeranyl reductase activity;FAD binding","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ",2.94753525176087,4.06091204958787,3.26525684799584,5.08248971139669,5.73868678424022,5.58089920422574,44.0483333333333,10.3397,5.46735856662088,3.42456804978153,-2.04279051683936,6,"Downregulated"
"K11003",-1.6050622419612,0.00759077380952381,0,3.3622,2.1537,7.2181,8.0611,12.051,"Hemolysin secretion protein D, chromosomal;Leukotoxin export protein LtxD","MAG: hemolysin D;MAG: hypothetical protein DCO99_07580",";Biotin_lipoyl_2 domain-containing protein","",";GO:0016020;GO:0016021",";membrane;integral component of membrane","membrane fusion protein, hemolysin D",0,2.12505591679057,1.65704542832837,3.03880488570468,3.17968620128849,3.70608844879118,9.11006666666667,1.83863333333333,3.30819317859479,1.26070044837298,-2.04749273022181,2.11971394952264,"Downregulated"
"K11004",-2.73202841225409,0.000369047619047619,20.1427,15.6905,18.3065,38.4962,49.7098,35.483,"Leukotoxin export ATP-binding protein LtxB;Alpha-hemolysin translocation ATP-binding protein HlyB","MAG: peptidase C39;ABC transporter transmembrane domain-containing protein","Peptidase C39;","","GO:0006508;GO:0055085;GO:0005524;GO:0008233;GO:0140359;GO:0016020;GO:0016021","proteolysis;transmembrane transport;ATP binding;peptidase activity;ABC-type transporter activity;membrane;integral component of membrane","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB",4.40208772079809,4.06095526928323,4.27101474232914,5.30364195058533,5.66419267929828,5.18915246219617,41.2296666666667,18.0465666666667,5.38566236402659,4.24468591080349,-1.1409764532231,3.43291759222761,"Downregulated"
"K13195",-2.52102730705432,0.000738095238095238,0,11.207,11.845,20.0501,26.1985,28.119,"hypothetical protein","MAG: RNA-binding protein","RNA-binding protein","","GO:0003723;GO:0003676","RNA binding;nucleic acid binding","cold-inducible RNA-binding protein",0,3.60963678113278,3.68313498512609,4.39575518182091,4.76545518378085,4.86388890647435,24.7892,7.684,4.67503309069204,2.43092392208629,-2.24410916860574,3.13188759656363,"Downregulated"
"K16881",-1.78060331834402,0.00460267857142857,0,0,0,6.4161,9.4046,8.7035,"UTP--glucose-1-phosphate uridylyltransferase","NDP-sugar synthase","","","GO:0006011;GO:0009058;GO:0003983;GO:0016779","UDP-glucose metabolic process;biosynthetic process;UTglucose-1-phosphate uridylyltransferase activity;nucleotidyltransferase activity","mannose-1-phosphate guanylyltransferase / phosphomannomutase ",0,0,0,2.89066069764891,3.37914959728796,3.27850521347317,8.17473333333333,0,3.18277183613668,0,-3.18277183613668,2.33698935305065,"Downregulated"
"K19223",-1.61583947574998,0.00736904761904762,0,0,0,0,8.0611,12.72,"N-acetylmuramoyl-L-alanine amidase sle1","LysM peptidoglycan-binding domain-containing protein","","","","","peptidoglycan DL-endopeptidase LytF ",0,0,0,0,3.17968620128849,3.77820857639809,6.92703333333333,0,2.31929825922886,0,-2.31929825922886,2.13258863704176,"Downregulated"
"K19813",-1.93241974125598,0.00311309523809524,0,0,0,0,11.4198,14.0595,"6'''-hydroxyparomomycin C oxidase","MAG: dehydrogenase;GMC oxidoreductase","Dehydrogenase;","","GO:0016614;GO:0050660","oxidoreductase activity, acting on CH-OH group of donors;flavin adenine dinucleotide binding","glucose dehydrogenase ",0,0,0,0,3.6345700364545,3.91260196586033,8.4931,0,2.51572400077161,0,-2.51572400077161,2.50680759285859,"Downregulated"
"K21185",1.72538966655716,0.00543005952380948,22.829,15.69,12.922,8.8221,6.7176,5.356,"Putative diflavin flavoprotein A 3","MULTISPECIES: flavin reductase family protein","","","GO:0010181","FMN binding","flavin reductase",4.57464650401889,4.06091204958787,3.7992945749546,3.29603151086245,2.94815227153258,2.66811912468643,6.96523333333333,17.147,2.97076763569382,4.14495104285379,1.17418340715997,2.26519540968918,"Upregulated"
"K21993",-4.29251892152832,1e-06,0,10.087,11.845,30.477,46.351,41.509,"putative formate transporter 1","MULTISPECIES: formate/nitrite transporter family protein","","","GO:0055085;GO:0022857;GO:0016020","transmembrane transport;transmembrane transporter activity;membrane","formate transporter",0,3.47079713841836,3.68313498512609,4.97622614236027,5.56532298900355,5.40969641568496,39.4456666666667,7.31066666666667,5.31708184901626,2.38464404118149,-2.93243780783478,6,"Downregulated"
