"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K09807",1.600400262,0.007807249,17.042,17.893,14.964,4.2393,5.4013,4.3972,"hypothetical protein","SIMPL domain-containing protein","","","","","uncharacterized protein",4.173287369,4.239779899,3.996750279,2.389374072,2.678364923,2.432211149,4.679266667,16.633,2.499983381,4.136605849,1.636622467,2.107501982,"Upregulated","unknown"
"K19220",12.19971425,1e-06,333.67,317.6,433.95,115.52,122.07,107.73,"putative protein","iron uptake porin","","","GO:0008643;GO:0015288;GO:0016020","carbohydrate transport;porin activity;membrane","peptidoglycan DL-endopeptidase CwlS ",8.386595423,8.315602457,8.764705754,6.864433796,6.943335318,6.764606243,115.1066667,361.74,6.857458452,8.488967878,1.631509425,6,"Upregulated","Transport"
"K21010",1.771142568,0.005701812,22.424,17.893,20.719,5.2991,7.5619,5.4965,"hypothetical protein","HEAT repeat domain-containing protein","","","","","polysaccharide biosynthesis protein PelE",4.549915554,4.239779899,4.440885774,2.655145715,3.097930985,2.699662673,6.119166667,20.34533333,2.817579791,4.410193742,1.592613951,2.243987092,"Upregulated","Cell wall and signaling"
"LKDHAOIP_01859",4.187973996,0.000209226,92.388,99.305,136.97,46.632,51.853,48.369,"hypothetical protein","alpha/beta hydrolase","","","","","hypothetical protein",6.545165276,6.648249713,7.108210793,5.573859222,5.723913458,5.625533518,48.95133333,109.5543333,5.641102066,6.767208594,1.126106528,3.67938497,"Upregulated","unknown"
"LKDHAOIP_02385",3.4804801,0.000364086,69.067,57.257,67.912,25.436,23.766,20.887,"hypothetical protein","hypothetical protein","","","GO:0005515","protein binding","hypothetical protein",6.130663222,5.864359505,6.106683324,4.724431996,4.63028897,4.452002316,23.363,64.74533333,4.602241094,6.033902017,1.431660923,3.438796417,"Upregulated","unknown"
"LKDHAOIP_02547",1.727025466,0.005911038,29.6,33.102,25.323,14.838,11.883,12.092,"hypothetical protein","hypothetical protein","","","","","hypothetical protein",4.935459748,5.091784447,4.718252016,3.98531826,3.687396681,3.710613602,12.93766667,29.34166667,3.794442848,4.915165404,1.120722556,2.228336257,"Upregulated","unknown"
"K00003",-1.970684699,0.003957166,3.5879,0,0,16.957,12.963,17.589,"Homoserine dehydrogenase","homoserine dehydrogenase","Homoserine dehydrogenase","","GO:0009086;GO:0009088;GO:0009097;GO:0004412;GO:0050661;GO:0006520;GO:0016491","methionine biosynthetic process;threonine biosynthetic process;isoleucine biosynthetic process;homoserine dehydrogenase activity;NADP binding;amino acid metabolic process;oxidoreductase activity","homoserine dehydrogenase ",2.197833946,0,0,4.16647444,3.803537038,4.216377257,15.83633333,1.195966667,4.062129578,0.732611315,-3.329518263,2.402615688,"Downregulated","Amino acid metabolism"
"K00030",-1.717536329,0.005896211,17.939,20.577,3.4531,29.675,29.167,32.979,"Isocitrate dehydrogenase [NADP]","NADP-dependent isocitrate dehydrogenase","","","GO:0006099;GO:0000287;GO:0004450;GO:0051287;GO:0016616","tricarboxylic acid cycle;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","isocitrate dehydrogenase (NAD+) ",4.243288252,4.431422386,2.15481001,4.938991439,4.914899328,5.08657149,30.607,13.9897,4.980154085,3.609840216,-1.37031387,2.229426993,"Downregulated","Respiration"
"K00033",-1.964721624,0.003978583,5.3818,1.7893,0,16.957,14.043,19.787,"6-phosphogluconate dehydrogenase, decarboxylating","NADP-dependent phosphogluconate dehydrogenase","","","GO:0006098;GO:0004616;GO:0050661;GO:0016491","pentose-phosphate shunt;phosphogluconate dehydrogenase (decarboxylating) activity;NADP binding;oxidoreductase activity","6-phosphogluconate dehydrogenase ",2.673963397,1.47990311,0,4.16647444,3.911020405,4.377609657,16.929,2.390366667,4.151701501,1.384622169,-2.767079332,2.400271556,"Downregulated","Respiration"
"K00052",-1.838199428,0.005001647,3.5879,0,0,13.778,17.284,13.192,"3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","","","GO:0009098;GO:0000287;GO:0003862;GO:0051287;GO:0016616","leucine biosynthetic process;magnesium ion binding;3-isopropylmalate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3-isopropylmalate dehydrogenase ",2.197833946,0,0,3.885379129,4.192509819,3.82700601,14.75133333,1.195966667,3.968298319,0.732611315,-3.235687004,2.300886924,"Downregulated","Amino acid metabolism"
"K00053",-2.669281375,0.001522241,17.939,16.998,14.964,42.393,48.612,43.972,"Ketol-acid reductoisomerase (NADP(+))","ketol-acid reductoisomerase","","","GO:0009082;GO:0004455;GO:0050661;GO:0016491","branched-chain amino acid biosynthetic process;ketol-acid reductoisomerase activity;NADP binding;oxidoreductase activity","ketol-acid reductoisomerase ",4.243288252,4.169764693,3.996750279,5.439390426,5.632617212,5.49095514,44.99233333,16.63366667,5.520987593,4.136601075,-1.384386518,2.81751672,"Downregulated","Amino acid metabolism"
"K00088",-2.957576638,0.000919275,30.497,30.418,18.417,62.53,57.254,65.958,"putative oxidoreductase/MSMEI_1564","GuaB3 family IMP dehydrogenase-related protein","GuaB3 family IMP dehydrogenase-related protein","","GO:0006164;GO:0003938;GO:0003824;GO:0016491","purine nucleotide biosynthetic process;IMP dehydrogenase activity;catalytic activity;oxidoreductase activity","IMP dehydrogenase ",4.977142517,4.97351944,4.279248411,5.989366114,5.86428521,6.065184531,61.914,26.444,5.972945285,4.743303456,-1.229641829,3.036554492,"Downregulated","Purines, pyrimidines, nucleotides"
"K00161",-1.874484079,0.004558484,5.3818,6.2625,0,18.017,18.365,19.787,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","","","GO:0006086;GO:0004739;GO:0043231;GO:0016624","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;intracellular membrane-bounded organelle;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","pyruvate dehydrogenase E1 component alpha subunit ",2.673963397,2.860466259,0,4.249217769,4.275379596,4.377609657,18.723,3.881433333,4.300735674,1.844809885,-2.455925789,2.341179532,"Downregulated","Respiration"
"K00228",-2.550075468,0.001588138,10.764,10.736,8.0573,33.914,32.408,35.177,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",3.556306784,3.552868871,3.179081044,5.125733747,5.062121712,5.177000871,33.833,9.852433333,5.121618777,3.4294189,-1.692199877,2.799111657,"Downregulated","Photosynthesis and chlorophyll"
"K00254",-1.475414466,0.009416804,0,3.5786,0,11.658,10.803,13.192,"Dihydroorotate dehydrogenase (quinone)","quinone-dependent dihydroorotate dehydrogenase","","","GO:0006207;GO:0004152;GO:0005737;GO:0016020;GO:0016627","'de novo' pyrimidine nucleobase biosynthetic process;dihydroorotate dehydrogenase activity;cytoplasm;membrane;oxidoreductase activity, acting on the CH-CH group of donors","dihydroorotate dehydrogenase ",0,2.194906532,0,3.661977568,3.561081695,3.82700601,11.88433333,1.192866667,3.683355091,0.731635511,-2.95171958,2.026096471,"Downregulated","Purines, pyrimidines, nucleotides"
"K00284",-2.55822166,0.001568369,7.1757,7.1571,0,25.436,19.445,35.177,"Ferredoxin-dependent glutamate synthase 2","glutamate synthase large subunit","","","GO:0006537;GO:0015930;GO:0006807;GO:0016491;GO:0016638","glutamate biosynthetic process;glutamate synthase activity;nitrogen compound metabolic process;oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors","glutamate synthase (ferredoxin) ",3.031342259,3.028056339,0,4.724431996,4.353676158,5.177000871,26.686,4.7776,4.751703008,2.019799532,-2.731903476,2.804551743,"Downregulated","S and N metabolism"
"K00324",-1.786628874,0.005551895,11.661,7.1571,0,21.196,20.525,23.085,"NAD(P) transhydrogenase subunit alpha part 1","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Re/Si-specific NAD transhydrogenase subunit alpha","","GO:0016491","oxidoreductase activity","H+-translocating NAD(P) transhydrogenase subunit alpha ",3.662319452,3.028056339,0,4.472227803,4.427941333,4.590063019,21.602,6.2727,4.496744051,2.230125264,-2.266618788,2.25555879,"Downregulated","Energy and redox"
"K00366",-4.518125613,8.40198e-05,40.364,44.732,24.172,92.205,97.224,104.43,"Sulfite reductase [ferredoxin]","ferredoxin--nitrite reductase","","","GO:0016491;GO:0020037;GO:0051536","oxidoreductase activity;heme binding;iron-sulfur cluster binding","ferredoxin-nitrite reductase ",5.370303799,5.515132109,4.653747943,6.542335445,6.61800367,6.720141633,97.953,36.42266667,6.626826916,5.17972795,-1.447098966,4.075618515,"Downregulated","S and N metabolism"
"K00392",-2.365936854,0.00185832,0,4.4732,0,19.077,17.284,23.085,"Sulfite reductase [ferredoxin]","MAG: sulfite reductase subunit beta","","","GO:0020037;GO:0050311;GO:0051539;GO:0016491;GO:0051536","heme binding;sulfite reductase (ferredoxin) activity;4 iron, 4 sulfur cluster binding;oxidoreductase activity;iron-sulfur cluster binding","sulfite reductase (ferredoxin) ",0,2.452384576,0,4.327471806,4.192509819,4.590063019,19.81533333,1.491066667,4.370014881,0.817461525,-3.552553356,2.730879591,"Downregulated","S and N metabolism"
"K00600",-3.21805374,0.00061285,11.661,14.314,0,40.273,38.89,41.773,"Serine hydroxymethyltransferase","serine hydroxymethyltransferase","","","GO:0019264;GO:0035999;GO:0004372;GO:0030170;GO:0003824","glycine biosynthetic process from serine;tetrahydrofolate interconversion;glycine hydroxymethyltransferase activity;pyridoxal phosphate binding;catalytic activity","glycine hydroxymethyltransferase ",3.662319452,3.936779257,0,5.367126402,5.317955218,5.418628493,40.312,8.658333333,5.367903371,2.533032903,-2.834870468,3.212645751,"Downregulated","Amino acid metabolism"
"K00602",-2.426614765,0.001672158,6.2788,6.2625,5.7552,27.555,27.007,25.284,"Bifunctional purine biosynthesis protein PurH","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","","","GO:0006164;GO:0003937;GO:0004643;GO:0003824","purine nucleotide biosynthetic process;IMP cyclohydrolase activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity;catalytic activity","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ",2.863700624,2.860466259,2.755998484,4.835671479,4.807715551,4.716112942,26.61533333,6.098833333,4.786499991,2.826721789,-1.959778202,2.776722649,"Downregulated","Purines, pyrimidines, nucleotides"
"K00615",-4.172377595,0.000191104,22.424,22.366,14.964,71.008,63.736,72.553,"Transketolase","transketolase","","","GO:0004802;GO:0003824","transketolase activity;catalytic activity","transketolase ",4.549915554,4.546338877,3.996750279,6.170085292,6.01649632,6.200712281,69.099,19.918,6.129097964,4.364334903,-1.764763061,3.718730702,"Downregulated","Respiration"
"K00645",-1.54674685,0.008476112,0,4.4732,0,11.658,15.124,12.092,"Malonyl CoA-acyl carrier protein transacylase","ACP S-malonyltransferase","","","GO:0004314;GO:0016740","[acyl-carrier-protein] S-malonyltransferase activity;transferase activity"," S-malonyltransferase ",0,2.452384576,0,3.661977568,4.011137783,3.710613602,12.958,1.491066667,3.794576318,0.817461525,-2.977114792,2.071803312,"Downregulated","Cell wall and signaling"
"K00703",-3.36735571,0.000359143,7.1757,5.3678,3.4531,36.034,29.167,39.575,"Glycogen synthase","glycogen synthase GlgA","","","GO:0004373;GO:0016757","glycogen (starch) synthase activity;glycosyltransferase activity","starch synthase ",3.031342259,2.670795024,2.15481001,5.210778477,4.914899328,5.34251919,34.92533333,5.3322,5.156065665,2.618982431,-2.537083234,3.444732197,"Downregulated","Respiration"
"K00766",-2.02828638,0.003670511,4.4848,0,0,19.0768,14.0435,17.5888,"Anthranilate phosphoribosyltransferase;Anthranilate phosphoribosyltransferase 2","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Anthranilate phosphoribosyltransferase family protein;Anthranilate phosphoribosyltransferase",";trpD","GO:0000162;GO:0004048;GO:0016757;GO:0000287","tryptophan biosynthetic process;anthranilate phosphoribosyltransferase activity;glycosyltransferase activity;magnesium ion binding","anthranilate phosphoribosyltransferase ",2.455439015,0,0,4.327457434,3.911068356,4.216361735,16.90303333,1.494933333,4.151629175,0.818479672,-3.333149504,2.435273505,"Downregulated","Amino acid metabolism"
"K00800",-1.839796128,0.004906096,0,3.5786,0,12.718,18.365,13.192,"3-phosphoshikimate 1-carboxyvinyltransferase 1","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase","aroA","GO:0008652;GO:0009073;GO:0009423;GO:0003866;GO:0005737;GO:0003824;GO:0016765","amino acid biosynthetic process;aromatic amino acid family biosynthetic process;chorismate biosynthetic process;3-phosphoshikimate 1-carboxyvinyltransferase activity;cytoplasm;catalytic activity;transferase activity, transferring alkyl or aryl (other than methyl) groups;cellular amino acid biosynthetic process","3-phosphoshikimate 1-carboxyvinyltransferase ",0,2.194906532,0,3.777998256,4.275379596,3.82700601,14.75833333,1.192866667,3.960127954,0.731635511,-3.228492443,2.309263998,"Downregulated","Amino acid metabolism"
"K00873",-1.714176122,0.005963756,0,0,0,12.718,12.963,12.092,"Pyruvate kinase","pyruvate kinase","","","GO:0006096;GO:0000287;GO:0004743;GO:0030955;GO:0003824","glycolytic process;magnesium ion binding;pyruvate kinase activity;potassium ion binding;catalytic activity","pyruvate kinase ",0,0,0,3.777998256,3.803537038,3.710613602,12.591,0,3.764049632,0,-3.764049632,2.224480121,"Downregulated","Respiration"
"K00962",-6.732077381,1e-06,44.848,41.153,21.87,130.36,122.07,146.21,"Polyribonucleotide nucleotidyltransferase","polyribonucleotide nucleotidyltransferase","Polyribonucleotide nucleotidyltransferase","pnp","GO:0006396;GO:0006402;GO:0000287;GO:0003723;GO:0004654;GO:0005737;GO:0003676","RNA processing;mRNA catabolic process;magnesium ion binding;RNA binding;polyribonucleotide nucleotidyltransferase activity;cytoplasm;nucleic acid binding","polyribonucleotide nucleotidyltransferase ",5.518786896,5.397563405,4.515384461,7.037382222,6.943335318,7.201731867,132.88,35.957,7.060816469,5.143911587,-1.916904882,6,"Downregulated","Transcription"
"K01251",-2.616601564,0.00153542,7.1757,9.8411,0,26.496,29.167,30.78,"Adenosylhomocysteinase","adenosylhomocysteinase","","","","","adenosylhomocysteinase ",3.031342259,3.438439243,0,4.781149852,4.914899328,4.99004722,28.81433333,5.672266667,4.895365466,2.156593834,-2.738771632,2.813772779,"Downregulated","Amino acid metabolism"
"K01255",-1.656357543,0.006467875,0,3.5786,0,15.897,11.883,12.092,"Cytosol aminopeptidase","leucyl aminopeptidase","Probable cytosol aminopeptidase","pepA","GO:0006508;GO:0030145;GO:0070006;GO:0005737;GO:0019538","proteolysis;manganese ion binding;metalloaminopeptidase activity;cytoplasm;protein metabolic process","leucyl aminopeptidase ",0,2.194906532,0,4.078695219,3.687396681,3.710613602,13.29066667,1.192866667,3.825568501,0.731635511,-3.09393299,2.189238396,"Downregulated","Translation"
"K01507",-2.286435213,0.002092257,11.661,11.63,6.9063,29.675,33.488,30.78,"Inorganic pyrophosphatase","inorganic diphosphatase",";Inorganic pyrophosphatase",";ppa","GO:0006796;GO:0000287;GO:0004427;GO:0005737","phosphate-containing compound metabolic process;magnesium ion binding;inorganic diphosphate phosphatase activity;cytoplasm;inorganic diphosphatase activity","inorganic pyrophosphatase ",3.662319452,3.658782734,2.983002698,4.938991439,5.108022563,4.99004722,31.31433333,10.06576667,5.01235374,3.434701628,-1.577652112,2.67938497,"Downregulated","Energy and redox"
"K01586",-1.524152063,0.008744646,0,0,0,10.598,11.883,10.993,"Diaminopimelate decarboxylase","diaminopimelate decarboxylase","Diaminopimelate decarboxylase","lysA","GO:0009089;GO:0008836;GO:0030170;GO:0003824","lysine biosynthetic process via diaminopimelate;diaminopimelate decarboxylase activity;pyridoxal phosphate binding;catalytic activity","diaminopimelate decarboxylase ",0,0,0,3.535804138,3.687396681,3.584120683,11.158,0,3.602440501,0,-3.602440501,2.058257777,"Downregulated","Amino acid metabolism"
"K01595",-3.234272817,0.000607908,0,2.6839,0,22.256,23.766,32.979,"Phosphoenolpyruvate carboxylase","phosphoenolpyruvate carboxylase","","","GO:0006099;GO:0015977;GO:0008964;GO:0003824","tricarboxylic acid cycle;carbon fixation;phosphoenolpyruvate carboxylase activity;catalytic activity","phosphoenolpyruvate carboxylase ",0,1.8812339,0,4.539531071,4.63028897,5.08657149,26.33366667,0.894633333,4.75213051,0.627077967,-4.125052544,3.216162325,"Downregulated","Respiration"
"K01599",-3.429217827,0.000359143,0,0,0,29.675,25.926,26.383,"Uroporphyrinogen decarboxylase","uroporphyrinogen decarboxylase","","","GO:0006779;GO:0004853","porphyrin-containing compound biosynthetic process;uroporphyrinogen decarboxylase activity","uroporphyrinogen decarboxylase ",0,0,0,4.938991439,4.750928021,4.775208608,27.328,0,4.821709356,0,-4.821709356,3.444732197,"Downregulated","Photosynthesis and chlorophyll"
"K01627",-1.999150633,0.003817133,2.6909,0,0,15.897,16.204,14.291,"2-dehydro-3-deoxyphosphooctonate aldolase","3-deoxy-8-phosphooctulonate synthase","","","GO:0009058;GO:0008676;GO:0005737","biosynthetic process;3-deoxy-8-phosphooctulonate synthase activity;cytoplasm","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) ",1.88397265,0,0,4.078695219,4.104672131,3.934610854,15.464,0.896966667,4.039326068,0.627990883,-3.411335185,2.418262657,"Downregulated","Cell wall and signaling"
"K01682",-1.712479106,0.005963756,0,0,0,13.778,12.963,10.993,"Aconitate hydratase B","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","","","GO:0006099;GO:0003994;GO:0051539;GO:0005829","tricarboxylic acid cycle;aconitate hydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",0,0,0,3.885379129,3.803537038,3.584120683,12.578,0,3.75767895,0,-3.75767895,2.224480121,"Downregulated","Respiration"
"K01696",-1.667883754,0.006392092,0,0,0,12.718,10.803,13.192,"Tryptophan synthase beta chain","tryptophan synthase subunit beta","Tryptophan synthase beta chain","trpB","GO:0000162;GO:0004834;GO:0006568","tryptophan biosynthetic process;tryptophan synthase activity;tryptophan metabolic process","tryptophan synthase beta chain ",0,0,0,3.777998256,3.561081695,3.82700601,12.23766667,0,3.722028653,0,-3.722028653,2.194356965,"Downregulated","Amino acid metabolism"
"K01756",-1.541329526,0.008495881,5.3818,6.2625,0,18.017,14.043,15.39,"Adenylosuccinate lyase","adenylosuccinate lyase","","","GO:0009152;GO:0004018;GO:0003824","purine ribonucleotide biosynthetic process;N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming) activity;catalytic activity","adenylosuccinate lyase ",2.673963397,2.860466259,0,4.249217769,3.911020405,4.034743949,15.81666667,3.881433333,4.064994041,1.844809885,-2.220184156,2.07079156,"Downregulated","Purines, pyrimidines, nucleotides"
"K01835",-2.301940443,0.002054366,3.5879,6.2625,0,25.436,18.365,20.887,"Phosphoglucomutase","alpha-D-glucose phosphate-specific phosphoglucomutase","","","GO:0005975;GO:0000287;GO:0004614;GO:0071704;GO:0016868","carbohydrate metabolic process;magnesium ion binding;phosphoglucomutase activity;organic substance metabolic process;intramolecular transferase activity, phosphotransferases","phosphoglucomutase ",2.197833946,2.860466259,0,4.724431996,4.275379596,4.452002316,21.56266667,3.283466667,4.483937969,1.686100068,-2.797837901,2.687322238,"Downregulated","Respiration"
"K01868",-1.476336421,0.009416804,0,0,0,9.5384,11.883,10.993,"Threonine--tRNA ligase","threonine--tRNA ligase","","","GO:0006435;GO:0004829;GO:0005524;GO:0005737;GO:0006418;GO:0043039;GO:0000166;GO:0004812","threonyl-tRNA aminoacylation;threonine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;tRNA aminoacylation;nucleotide binding;aminoacyl-tRNA ligase activity","threonyl-tRNA synthetase ",0,0,0,3.39758394,3.687396681,3.584120683,10.8048,0,3.556367101,0,-3.556367101,2.026096471,"Downregulated","Translation"
"K01876",-2.108012902,0.003016474,3.5879,0,0,11.658,16.204,23.085,"Aspartate--tRNA ligase","aspartate--tRNA ligase","","","GO:0006418;GO:0003676;GO:0004812;GO:0005524;GO:0005737;GO:0000166;GO:0016874","tRNA aminoacylation for protein translation;nucleic acid binding;aminoacyl-tRNA ligase activity;ATP binding;cytoplasm;nucleotide binding;ligase activity","aspartyl-tRNA synthetase ",2.197833946,0,0,3.661977568,4.104672131,4.590063019,16.98233333,1.195966667,4.118904239,0.732611315,-3.386292924,2.520500347,"Downregulated","Translation"
"K01879",-2.767332373,0.001192751,2.6909,7.1571,0,23.316,23.766,30.78,"Glycine--tRNA ligase beta subunit","glycine--tRNA ligase subunit beta","","","GO:0006426;GO:0004820;GO:0005524;GO:0005737;GO:0000166","glycyl-tRNA aminoacylation;glycine-tRNA ligase activity;ATP binding;cytoplasm;nucleotide binding","glycyl-tRNA synthetase beta chain ",1.88397265,3.028056339,0,4.603834019,4.63028897,4.99004722,25.954,3.282666667,4.741390069,1.637342996,-3.104047073,2.923450125,"Downregulated","Translation"
"K01895",-2.103090182,0.003016474,10.764,8.9464,3.4531,23.316,24.846,29.681,"Acetyl-coenzyme A synthetase","acetate--CoA ligase","Acetyl-coenzyme A synthetase","acs","GO:0019427;GO:0003987;GO:0005524;GO:0016208;GO:0046872","acetyl-CoA biosynthetic process from acetate;acetate-CoA ligase activity;ATP binding;AMP binding;metal ion binding","acetyl-CoA synthetase ",3.556306784,3.314174451,2.15481001,4.603834019,4.691869117,4.939273601,25.94766667,7.721166667,4.744992246,3.008430415,-1.736561831,2.520500347,"Downregulated","Respiration"
