"KO","STN","Pvalue","30L1","30L2","30L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K03217",1.467574933,0.005855025,18.725,15.703,13.665,6.3589,6.4816,6.5958,"Membrane protein insertase YidC","membrane protein insertase YidC","","","GO:0032977;GO:0016020","membrane insertase activity;membrane","YidC/Oxa1 family membrane protein insertase",4.301953395,4.062035341,3.874305166,2.87949013,2.903346835,2.925201919,6.478766667,16.031,2.902679628,4.079431301,1.176751673,2.232471268,"Upregulated","Translation"
"K03386",6.594769915,1e-06,127.13,154.61,145.43,54.051,56.174,56.064,"Alkyl hydroperoxide reductase C","MULTISPECIES: redoxin domain-containing protein","","","GO:0051920;GO:0016209;GO:0016491","peroxiredoxin activity;antioxidant activity;oxidoreductase activity","peroxiredoxin 2/4 ",7.001464494,7.281790965,7.194067347,5.782696865,5.837287322,5.834508974,55.42966667,142.39,5.818164387,7.159107602,1.340943215,6,"Upregulated","Regulatory system and stress"
"K03530",4.002701164,5.43657e-05,57.161,65.228,59.54,20.137,21.605,21.986,"DNA-binding protein HU 1","MULTISPECIES: HU family DNA-binding protein","DNA binding protein HU","hup","GO:0003677;GO:0030527","DNA binding;structural constituent of chromatin","DNA-binding protein HU-beta",5.86198017,6.049369386,5.91981677,4.401698723,4.498570013,4.522683526,21.24266667,60.643,4.474317421,5.943722109,1.469404688,4.264674751,"Upregulated","Regulatory system and stress"
"K04078",4.998287753,5.43657e-05,77.858,93.01,95.655,32.854,33.488,31.88,"10 kDa chaperonin","MULTISPECIES: co-chaperone GroES","","","GO:0006457;GO:0005524;GO:0140662","protein folding;ATP binding;ATP-dependent protein folding chaperone","chaperonin GroES",6.301185216,6.554742322,6.59477246,5.0812544,5.108022563,5.039138394,32.74066667,88.841,5.076138452,6.483566666,1.407428214,4.264674751,"Upregulated","Regulatory system and stress"
"K05380",8.699861816,1e-06,223.72,234.34,190.33,79.487,87.502,86.844,"Phycobilisome 32.3 kDa linker polypeptide, phycocyanin-associated, rod","phycobilisome rod-core linker polypeptide","Phycobilisome rod-core linker polypeptide","","GO:0015979;GO:0030089;GO:0031676","photosynthesis;phycobilisome;plasma membrane-derived thylakoid membrane","phycoerythrin-associated linker protein",7.811984719,7.878602742,7.579919292,6.330683877,6.467638153,6.456871844,84.611,216.13,6.418397958,7.756835584,1.338437626,6,"Upregulated","Photosynthesis and chlorophyll"
"K07267",29.80510725,1e-06,698.746,680.05,693.006,102.8026,119.9143,95.6391,"putative protein","iron uptake porin;MAG: porin","","","GO:0008643;GO:0015288;GO:0016020","carbohydrate transport;porin activity;membrane","porin",9.450687525,9.411616909,9.438804325,6.69769877,6.917841066,6.594535114,106.1186667,690.6006667,6.73669165,9.43370292,2.69701127,6,"Upregulated","Transport"
"K08903",2.316806654,0.000766063,38.436,33.822,36.115,15.897,17.284,15.39,"Photosystem II reaction center Psb28 protein","photosystem II reaction center protein Psb28","Photosystem II reaction center Psb28 protein","psb28","GO:0015979;GO:0009654;GO:0031676;GO:0009523;GO:0016020","photosynthesis;photosystem II oxygen evolving complex;plasma membrane-derived thylakoid membrane;photosystem II;membrane","photosystem II 13kDa protein",5.301441321,5.121927161,5.213930464,4.078695219,4.192509819,4.034743949,16.19033333,36.12433333,4.101982996,5.212432982,1.110449986,3.115735738,"Upregulated","Photosynthesis and chlorophyll"
"K09807",1.36978935,0.007420099,14.783,12.079,11.713,4.2393,5.4013,4.3972,"hypothetical protein","SIMPL domain-containing protein","","","","","uncharacterized protein",3.980299551,3.709180334,3.668232611,2.389374072,2.678364923,2.432211149,4.679266667,12.85833333,2.499983381,3.785904165,1.285920784,2.129590309,"Upregulated","unknown"
"K19220",17.4538674,1e-06,426.74,460.22,399.21,115.52,122.07,107.73,"putative protein","iron uptake porin","","","GO:0008643;GO:0015288;GO:0016020","carbohydrate transport;porin activity;membrane","peptidoglycan DL-endopeptidase CwlS ",8.740590317,8.849311264,8.644613406,6.864433796,6.943335318,6.764606243,115.1066667,428.7233333,6.857458452,8.744838329,1.887379876,6,"Upregulated","Transport"
"LKDHAOIP_00006",1.859695674,0.002062603,19.711,27.782,18.545,8.4786,7.5619,9.8937,"hypothetical protein","hypothetical protein","","","","","hypothetical protein",4.372325309,4.84709494,4.28872768,3.244673987,3.097930985,3.445422138,8.644733333,22.01266667,3.262675703,4.502715976,1.240040273,2.685584362,"Upregulated","unknown"
"LKDHAOIP_00112",1.875807843,0.001945634,26.61,32.614,24.402,12.718,11.883,14.291,"Ycf48-like protein","photosynthesis system II assembly factor Ycf48","","","GO:0005515","protein binding","Ycf48-like protein",4.787118983,5.070990326,4.666870185,3.777998256,3.687396681,3.934610854,12.964,27.87533333,3.80000193,4.841659831,1.041657901,2.710938793,"Upregulated","Photosynthesis and chlorophyll"
"LKDHAOIP_00700",2.003308207,0.001408567,20.696,22.95,24.402,7.4188,8.6421,8.7944,"hypothetical protein","DUF805 domain-containing protein","Uncharacterized protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein",4.439357178,4.581953751,4.666870185,3.073614609,3.269347392,3.291957116,8.2851,22.68266667,3.211639706,4.562727038,1.351087332,2.851222576,"Upregulated","unknown"
"LKDHAOIP_02230",2.029883472,0.001398682,31.537,36.238,28.306,15.897,14.043,15.39,"hypothetical protein","CAAD domain-containing protein","","","","","hypothetical protein",5.024009332,5.218703685,4.873124162,4.078695219,3.911020405,4.034743949,15.11,32.027,4.008153191,5.038612393,1.030459202,2.854281001,"Upregulated","unknown"
"LKDHAOIP_02385",2.555234641,0.000474465,48.291,47.109,47.827,25.436,23.766,20.887,"hypothetical protein","hypothetical protein","","","GO:0005515","protein binding","hypothetical protein",5.623252345,5.588234907,5.609607234,4.724431996,4.63028897,4.452002316,23.363,47.74233333,4.602241094,5.607031495,1.004790401,3.323796203,"Upregulated","unknown"
"K00003",-2.481203886,0.000505766,0,0,0,16.957,12.963,17.589,"Homoserine dehydrogenase","homoserine dehydrogenase","Homoserine dehydrogenase","","GO:0009086;GO:0009088;GO:0009097;GO:0004412;GO:0050661;GO:0006520;GO:0016491","methionine biosynthetic process;threonine biosynthetic process;isoleucine biosynthetic process;homoserine dehydrogenase activity;NADP binding;amino acid metabolic process;oxidoreductase activity","homoserine dehydrogenase ",0,0,0,4.16647444,3.803537038,4.216377257,15.83633333,0,4.062129578,0,-4.062129578,3.296050316,"Downregulated","Amino acid metabolism"
"K00030",-1.903575163,0.001850082,14.783,8.4554,21.474,29.675,29.167,32.979,"Isocitrate dehydrogenase [NADP]","NADP-dependent isocitrate dehydrogenase","","","GO:0006099;GO:0000287;GO:0004450;GO:0051287;GO:0016616","tricarboxylic acid cycle;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","isocitrate dehydrogenase (NAD+) ",3.980299551,3.241138491,4.490185018,4.938991439,4.914899328,5.08657149,30.607,14.90413333,4.980154085,3.903874353,-1.076279732,2.732808935,"Downregulated","Respiration"
"K00033",-2.351830882,0.000680395,4.9277,0,0,16.957,14.043,19.787,"6-phosphogluconate dehydrogenase, decarboxylating","NADP-dependent phosphogluconate dehydrogenase","","","GO:0006098;GO:0004616;GO:0050661;GO:0016491","pentose-phosphate shunt;phosphogluconate dehydrogenase (decarboxylating) activity;NADP binding;oxidoreductase activity","6-phosphogluconate dehydrogenase ",2.567472435,0,0,4.16647444,3.911020405,4.377609657,16.929,1.642566667,4.151701501,0.855824145,-3.295877356,3.167238639,"Downregulated","Respiration"
"K00052",-2.322546237,0.000787479,0,0,0,13.778,17.284,13.192,"3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","","","GO:0009098;GO:0000287;GO:0003862;GO:0051287;GO:0016616","leucine biosynthetic process;magnesium ion binding;3-isopropylmalate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3-isopropylmalate dehydrogenase ",0,0,0,3.885379129,4.192509819,3.82700601,14.75133333,0,3.968298319,0,-3.968298319,3.103760794,"Downregulated","Amino acid metabolism"
"K00053",-3.080837412,0.000354201,16.754,18.119,16.593,42.393,48.612,43.972,"Ketol-acid reductoisomerase (NADP(+))","ketol-acid reductoisomerase","","","GO:0009082;GO:0004455;GO:0050661;GO:0016491","branched-chain amino acid biosynthetic process;ketol-acid reductoisomerase activity;NADP binding;oxidoreductase activity","ketol-acid reductoisomerase ",4.150072197,4.256935161,4.13692961,5.439390426,5.632617212,5.49095514,44.99233333,17.15533333,5.520987593,4.181312323,-1.33967527,3.450750231,"Downregulated","Amino acid metabolism"
"K00059",-1.827054612,0.002431631,0,0,0,11.658,12.963,9.8937,"3-oxoacyl-[acyl-carrier-protein] reductase","3-oxoacyl-[acyl-carrier-protein] reductase","","","GO:0006633;GO:0004316;GO:0051287;GO:0016491","fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NAD binding;oxidoreductase activity","3-oxoacyl- reductase ",0,0,0,3.661977568,3.803537038,3.445422138,11.5049,0,3.636978914,0,-3.636978914,2.614102334,"Downregulated","Cell wall and signaling"
"K00147",-1.297567136,0.008904448,0,0,0,7.4188,6.4816,10.993,"Gamma-glutamyl phosphate reductase","glutamate-5-semialdehyde dehydrogenase","Gamma-glutamyl phosphate reductase","proA","GO:0055129;GO:0004350;GO:0050661;GO:0005737;GO:0006561;GO:0016491;GO:0016620","L-proline biosynthetic process;glutamate-5-semialdehyde dehydrogenase activity;NADP binding;cytoplasm;proline biosynthetic process;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","glutamate-5-semialdehyde dehydrogenase ",0,0,0,3.073614609,2.903346835,3.584120683,8.2978,0,3.187027376,0,-3.187027376,2.050392993,"Downregulated","Amino acid metabolism"
"K00161",-2.889530717,0.000403624,0,0,0,18.017,18.365,19.787,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","","","GO:0006086;GO:0004739;GO:0043231;GO:0016624","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;intracellular membrane-bounded organelle;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","pyruvate dehydrogenase E1 component alpha subunit ",0,0,0,4.249217769,4.275379596,4.377609657,18.723,0,4.300735674,0,-4.300735674,3.394022607,"Downregulated","Respiration"
"K00228",-2.96768036,0.000403624,10.841,10.871,8.7846,33.914,32.408,35.177,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",3.56571902,3.569369566,3.290512874,5.125733747,5.062121712,5.177000871,33.833,10.16553333,5.121618777,3.475200487,-1.64641829,3.394022607,"Downregulated","Photosynthesis and chlorophyll"
"K00254",-1.886787264,0.001950577,0,0,0,11.658,10.803,13.192,"Dihydroorotate dehydrogenase (quinone)","quinone-dependent dihydroorotate dehydrogenase","","","GO:0006207;GO:0004152;GO:0005737;GO:0016020;GO:0016627","'de novo' pyrimidine nucleobase biosynthetic process;dihydroorotate dehydrogenase activity;cytoplasm;membrane;oxidoreductase activity, acting on the CH-CH group of donors","dihydroorotate dehydrogenase ",0,0,0,3.661977568,3.561081695,3.82700601,11.88433333,0,3.683355091,0,-3.683355091,2.709836989,"Downregulated","Purines, pyrimidines, nucleotides"
"K00284",-3.935965219,3.29489e-05,0,0,0,25.436,19.445,35.177,"Ferredoxin-dependent glutamate synthase 2","glutamate synthase large subunit","","","GO:0006537;GO:0015930;GO:0006807;GO:0016491;GO:0016638","glutamate biosynthetic process;glutamate synthase activity;nitrogen compound metabolic process;oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors","glutamate synthase (ferredoxin) ",0,0,0,4.724431996,4.353676158,5.177000871,26.686,0,4.751703008,0,-4.751703008,4.482158695,"Downregulated","S and N metabolism"
"K00324",-2.654200945,0.00047117,8.8698,0,0,21.196,20.525,23.085,"NAD(P) transhydrogenase subunit alpha part 1","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Re/Si-specific NAD transhydrogenase subunit alpha","","GO:0016491","oxidoreductase activity","H+-translocating NAD(P) transhydrogenase subunit alpha ",3.30302085,0,0,4.472227803,4.427941333,4.590063019,21.602,2.9566,4.496744051,1.10100695,-3.395737101,3.326822658,"Downregulated","Energy and redox"
"K00366",-7.556971826,1e-06,20.696,19.327,13.665,92.205,97.224,104.43,"Sulfite reductase [ferredoxin]","ferredoxin--nitrite reductase","","","GO:0016491;GO:0020037;GO:0051536","oxidoreductase activity;heme binding;iron-sulfur cluster binding","ferredoxin-nitrite reductase ",4.439357178,4.345325403,3.874305166,6.542335445,6.61800367,6.720141633,97.953,17.896,6.626826916,4.219662582,-2.407164334,6,"Downregulated","S and N metabolism"
"K00392",-3.039433427,0.000388797,0,0,0,19.077,17.284,23.085,"Sulfite reductase [ferredoxin]","MAG: sulfite reductase subunit beta","","","GO:0020037;GO:0050311;GO:0051539;GO:0016491;GO:0051536","heme binding;sulfite reductase (ferredoxin) activity;4 iron, 4 sulfur cluster binding;oxidoreductase activity;iron-sulfur cluster binding","sulfite reductase (ferredoxin) ",0,0,0,4.327471806,4.192509819,4.590063019,19.81533333,0,4.370014881,0,-4.370014881,3.410276688,"Downregulated","S and N metabolism"
"K00600",-3.203626892,0.000331137,12.812,14.495,11.713,40.273,38.89,41.773,"Serine hydroxymethyltransferase","serine hydroxymethyltransferase","","","GO:0019264;GO:0035999;GO:0004372;GO:0030170;GO:0003824","glycine biosynthetic process from serine;tetrahydrofolate interconversion;glycine hydroxymethyltransferase activity;pyridoxal phosphate binding;catalytic activity","glycine hydroxymethyltransferase ",3.787850334,3.95373085,3.668232611,5.367126402,5.317955218,5.418628493,40.312,13.00666667,5.367903371,3.803271265,-1.564632106,3.479992634,"Downregulated","Amino acid metabolism"
"K00602",-3.439962992,0.000294893,3.9422,0,4.8803,27.555,27.007,25.284,"Bifunctional purine biosynthesis protein PurH","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","","","GO:0006164;GO:0003937;GO:0004643;GO:0003824","purine nucleotide biosynthetic process;IMP cyclohydrolase activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity;catalytic activity","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ",2.305153395,0,2.55588976,4.835671479,4.807715551,4.716112942,26.61533333,2.940833333,4.786499991,1.620347718,-3.166152273,3.53033566,"Downregulated","Purines, pyrimidines, nucleotides"
"K00615",-6.860266069,1e-06,8.8698,8.4554,5.8564,71.008,63.736,72.553,"Transketolase","transketolase","","","GO:0004802;GO:0003824","transketolase activity;catalytic activity","transketolase ",3.30302085,3.241138491,2.777451278,6.170085292,6.01649632,6.200712281,69.099,7.7272,6.129097964,3.10720354,-3.021894424,6,"Downregulated","Respiration"
"K00627",-2.514507962,0.000482702,9.8554,0,11.713,24.376,25.926,28.582,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","2-oxo acid dehydrogenase subunit E2","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex","","GO:0006086;GO:0016746;GO:0045254","acetyl-CoA biosynthetic process from pyruvate;acyltransferase activity;pyruvate dehydrogenase complex","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) ",3.440340982,0,3.668232611,4.665392771,4.750928021,4.886647689,26.29466667,7.189466667,4.76765616,2.369524531,-2.398131629,3.316321071,"Downregulated","Respiration"
"K00645",-2.053041228,0.001429984,0,0,0,11.658,15.124,12.092,"Malonyl CoA-acyl carrier protein transacylase","ACP S-malonyltransferase","","","GO:0004314;GO:0016740","[acyl-carrier-protein] S-malonyltransferase activity;transferase activity"," S-malonyltransferase ",0,0,0,3.661977568,4.011137783,3.710613602,12.958,0,3.794576318,0,-3.794576318,2.844668966,"Downregulated","Cell wall and signaling"
"K00648",-1.49736823,0.005489292,10.841,7.2475,0,20.137,14.043,15.39,"3-oxoacyl-[acyl-carrier-protein] synthase 3","ketoacyl-ACP synthase III","3-oxoacyl-[acyl-carrier-protein] synthase 3","fabH","GO:0006633;GO:0004315;GO:0033818;GO:0005737;GO:0016746","fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] synthase activity;beta-ketoacyl-acyl-carrier-protein synthase III activity;cytoplasm;acyltransferase activity","3-oxoacyl- synthase III ",3.56571902,3.043956873,0,4.401698723,3.911020405,4.034743949,16.52333333,6.0295,4.115821026,2.203225298,-1.912595728,2.260483698,"Downregulated","Cell wall and signaling"
"K00703",-3.392364293,0.000319605,6.8988,8.4554,9.7607,36.034,29.167,39.575,"Glycogen synthase","glycogen synthase GlgA","","","GO:0004373;GO:0016757","glycogen (starch) synthase activity;glycosyltransferase activity","starch synthase ",2.981633493,3.241138491,3.427700025,5.210778477,4.914899328,5.34251919,34.92533333,8.371633333,5.156065665,3.216824003,-1.939241661,3.495386961,"Downregulated","Respiration"
"K00766",-2.634297442,0.00047117,0,0,0,19.0768,14.0435,17.5888,"Anthranilate phosphoribosyltransferase;Anthranilate phosphoribosyltransferase 2","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Anthranilate phosphoribosyltransferase family protein;Anthranilate phosphoribosyltransferase",";trpD","GO:0000162;GO:0004048;GO:0016757;GO:0000287","tryptophan biosynthetic process;anthranilate phosphoribosyltransferase activity;glycosyltransferase activity;magnesium ion binding","anthranilate phosphoribosyltransferase ",0,0,0,4.327457434,3.911068356,4.216361735,16.90303333,0,4.151629175,0,-4.151629175,3.326822658,"Downregulated","Amino acid metabolism"
"K00800",-2.323579901,0.000787479,0,0,0,12.718,18.365,13.192,"3-phosphoshikimate 1-carboxyvinyltransferase 1","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase","aroA","GO:0008652;GO:0009073;GO:0009423;GO:0003866;GO:0005737;GO:0003824;GO:0016765","amino acid biosynthetic process;aromatic amino acid family biosynthetic process;chorismate biosynthetic process;3-phosphoshikimate 1-carboxyvinyltransferase activity;cytoplasm;catalytic activity;transferase activity, transferring alkyl or aryl (other than methyl) groups;cellular amino acid biosynthetic process","3-phosphoshikimate 1-carboxyvinyltransferase ",0,0,0,3.777998256,4.275379596,3.82700601,14.75833333,0,3.960127954,0,-3.960127954,3.103760794,"Downregulated","Amino acid metabolism"
"K00812",-1.418567339,0.006808896,0,0,0,8.4786,8.6421,9.8937,"Aspartate aminotransferase","pyridoxal phosphate-dependent aminotransferase","Aminotransferase","","GO:0009058;GO:0008483;GO:0030170;GO:0003824","biosynthetic process;transaminase activity;pyridoxal phosphate binding;catalytic activity","aspartate aminotransferase ",0,0,0,3.244673987,3.269347392,3.445422138,9.0048,0,3.319814506,0,-3.319814506,2.166923286,"Downregulated","Amino acid metabolism"
"K00826",-1.504338244,0.005397035,7.8843,0,3.9043,16.957,12.963,10.993,"Branched-chain-amino-acid aminotransferase","branched-chain amino acid transaminase","","","GO:0009081;GO:0004084;GO:0003824","branched-chain amino acid metabolic process;branched-chain-amino-acid transaminase activity;catalytic activity","branched-chain amino acid aminotransferase ",3.15125811,0,2.294047233,4.16647444,3.803537038,3.584120683,13.63766667,3.929533333,3.851377387,1.815101781,-2.036275606,2.267844798,"Downregulated","Amino acid metabolism"
"K00856",-1.71210074,0.003654036,0,0,0,12.718,8.6421,10.993,"putative sugar kinase YdjH","adenosine kinase","","","GO:0016773","phosphotransferase activity, alcohol group as acceptor","adenosine kinase ",0,0,0,3.777998256,3.269347392,3.584120683,10.78436667,0,3.54382211,0,-3.54382211,2.437227149,"Downregulated","Purines, pyrimidines, nucleotides"
"K00860",-1.53829263,0.005112026,7.8843,8.4554,8.7846,15.897,21.605,19.787,"putative adenylyl-sulfate kinase","adenylyl-sulfate kinase","","","GO:0000103;GO:0004020;GO:0005524","sulfate assimilation;adenylylsulfate kinase activity;ATP binding","adenylylsulfate kinase ",3.15125811,3.241138491,3.290512874,4.078695219,4.498570013,4.377609657,19.09633333,8.374766667,4.318291629,3.227636492,-1.090655138,2.291406915,"Downregulated","S and N metabolism"
"K00872",-1.418567339,0.006808896,0,0,0,8.4786,8.6421,9.8937,"Homoserine kinase","homoserine kinase","","","GO:0006566;GO:0004413;GO:0005524","threonine metabolic process;homoserine kinase activity;ATP binding","homoserine kinase ",0,0,0,3.244673987,3.269347392,3.445422138,9.0048,0,3.319814506,0,-3.319814506,2.166923286,"Downregulated","Amino acid metabolism"
"K00873",-1.996655297,0.00154201,0,0,0,12.718,12.963,12.092,"Pyruvate kinase","pyruvate kinase","","","GO:0006096;GO:0000287;GO:0004743;GO:0030955;GO:0003824","glycolytic process;magnesium ion binding;pyruvate kinase activity;potassium ion binding;catalytic activity","pyruvate kinase ",0,0,0,3.777998256,3.803537038,3.710613602,12.591,0,3.764049632,0,-3.764049632,2.811912842,"Downregulated","Respiration"
