"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K00548",-2.379100462,0.001037202,6.7143,6.7244,5.3842,15.238,25.527,21.424,"Methionine synthase","MAG: methionine synthase","Methionine synthase","metH","GO:0009086;GO:0032259;GO:0042558;GO:0008270;GO:0008705;GO:0031419;GO:0044237;GO:0046872","methionine biosynthetic process;methylation;pteridine-containing compound metabolic process;zinc ion binding;methionine synthase activity;cobalamin binding;cellular metabolic process;metal ion binding","5-methyltetrahydrofolate--homocysteine methyltransferase ",2.947535252,2.949422875,2.674505848,4.021302045,4.729389622,4.486971744,20.72966667,6.2743,4.41255447,2.857154658,-1.555399812,2.984136495,"Downregulated","Amino acid metabolism"
"K00688",-2.835055472,0.000272321,12.0858,11.207,10.768,20.852,32.2443,44.186,"Maltodextrin phosphorylase","MAG: glycogen phosphorylase","Alpha-1,4 glucan phosphorylase","","GO:0005975;GO:0008184;GO:0030170;GO:0102250;GO:0102499;GO:0004645","carbohydrate metabolic process;glycogen phosphorylase activity;pyridoxal phosphate binding;linear malto-oligosaccharide phosphorylase activity;SHG alpha-glucan phosphorylase activity;1,4-alpha-oligoglucan phosphorylase activity","glycogen phosphorylase ",3.709930221,3.609636781,3.556797247,4.449693423,5.055035095,5.497803946,32.42743333,11.3536,5.000844155,3.62545475,-1.375389405,3.564918183,"Downregulated","Respiration"
"K00764",-1.753605478,0.0050625,0,0,0,8.0201,10.748,5.356,"Amidophosphoribosyltransferase","MAG: amidophosphoribosyltransferase","Amidophosphoribosyltransferase","purF","GO:0006189;GO:0006541;GO:0009113;GO:0000287;GO:0004044;GO:0051539","'de novo' IMP biosynthetic process;glutamine metabolic process;purine nucleobase biosynthetic process;magnesium ion binding;amidophosphoribosyltransferase activity;4 iron, 4 sulfur cluster binding","amidophosphoribosyltransferase ",0,0,0,3.173143428,3.554343266,2.668119125,8.041366667,0,3.131868606,0,-3.131868606,2.295634964,"Downregulated","Purines, pyrimidines, nucleotides"
"K01139",-1.71741919,0.005592262,0,0,0,4.8121,10.076,8.7035,"GTP pyrophosphokinase","MAG: (p)ppGpp synthetase","ppGpp synthetase","","GO:0015969","guanosine tetraphosphate metabolic process","GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase ",0,0,0,2.539059525,3.469365054,3.278505213,7.863866667,0,3.095643264,0,-3.095643264,2.252412497,"Downregulated","Regulatory system and stress"
"K01682",-4.800939415,1e-06,5.3715,12.328,12.922,49.725,50.382,47.534,"Aconitate hydratase B","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Aconitate hydratase B","acnB","GO:0006099;GO:0003723;GO:0003994;GO:0046872;GO:0047456;GO:0047780;GO:0051539;GO:0005829","tricarboxylic acid cycle;RNA binding;aconitate hydratase activity;metal ion binding;2-methylisocitrate dehydratase activity;citrate dehydratase activity;4 iron, 4 sulfur cluster binding;cytosol","aconitate hydratase 2 / 2-methylisocitrate dehydratase ",2.671633057,3.736388401,3.799294575,5.664625055,5.683191142,5.600923862,49.21366667,10.20716667,5.649580019,3.402438677,-2.247141342,6,"Downregulated","Respiration"
"K01803",-1.700102413,0.005818452,2.6857,11.207,12.922,17.644,25.527,16.068,"Triosephosphate isomerase","MULTISPECIES: triose-phosphate isomerase","","","GO:0006096;GO:0004807","glycolytic process;triose-phosphate isomerase activity","triosephosphate isomerase (TIM) ",1.881938647,3.609636781,3.799294575,4.220639513,4.729389622,4.093222111,19.74633333,8.938233333,4.347750415,3.096956668,-1.250793748,2.235192516,"Downregulated","Respiration"
"K01876",-1.584860553,0.007931548,2.6857,13.449,11.845,12.03,26.87,19.415,"Aspartate--tRNA ligase","MAG: aspartate--tRNA ligase","Aspartate--tRNA ligase","aspS","GO:0006422;GO:0003676;GO:0004815;GO:0005524;GO:0050560;GO:0005737;GO:0006418;GO:0000166;GO:0004812;GO:0016874","aspartyl-tRNA aminoacylation;nucleic acid binding;aspartate-tRNA ligase activity;ATP binding;aspartate-tRNA(Asn) ligase activity;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity;ligase activity","aspartyl-tRNA synthetase ",1.881938647,3.852897744,3.683134985,3.703765179,4.800641097,4.351557662,19.43833333,9.326566667,4.285321313,3.139323792,-1.145997521,2.100642064,"Downregulated","Translation"
"K02471",-1.555659939,0.008477679,6.7143,4.4829,5.3842,5.6141,20.153,16.068,"Vitamin B12 transport ATP-binding protein BacA","MAG: ABC transporter ATP-binding protein","ABC transporter ATP-binding protein","","GO:0055085;GO:0005524;GO:0140359;GO:0016020;GO:0016021","transmembrane transport;ATP binding;ABC-type transporter activity;membrane;integral component of membrane","vitamin B12/bleomycin/antimicrobial peptide transport system ATP-binding/permease protein",2.947535252,2.454939161,2.674505848,2.725544858,4.402790381,4.093222111,13.94503333,5.527133333,3.740519117,2.692326754,-1.048192363,2.071723054,"Downregulated","Transport"
"K02694",-2.912336933,0.000206845,12.086,10.087,9.6916,36.893,30.229,28.788,"Photosystem I reaction center subunit III","MULTISPECIES: photosystem I reaction center subunit III","","","GO:0015979;GO:0009538;GO:0009522","photosynthesis;photosystem I reaction center;photosystem I","photosystem I subunit III",3.709952271,3.470797138,3.418405864,5.243859458,4.964814468,4.896659358,31.97,10.62153333,5.035111094,3.533051758,-1.502059337,3.684354473,"Downregulated","Photosynthesis and chlorophyll"
"K02881",-1.707452727,0.005686012,0,0,0,8.0201,8.0611,7.3645,"50S ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","","","GO:0006412;GO:0003735;GO:0005840","translation;structural constituent of ribosome;ribosome","large subunit ribosomal protein L18",0,0,0,3.173143428,3.179686201,3.064279304,7.815233333,0,3.139036311,0,-3.139036311,2.245192235,"Downregulated","Translation"
"K02886",-2.306718516,0.001166667,16.114,12.328,15.076,23.258,36.275,37.492,"50S ribosomal protein L2","MULTISPECIES: 50S ribosomal protein L2","","","GO:0006412;GO:0003723;GO:0003735;GO:0016740;GO:0015934;GO:0005840","translation;RNA binding;structural constituent of ribosome;transferase activity;large ribosomal subunit;ribosome","large subunit ribosomal protein L2",4.097105091,3.736388401,4.006836577,4.600388704,5.220136447,5.266486729,32.34166667,14.506,5.02900396,3.94677669,-1.082227271,2.93305321,"Downregulated","Translation"
"K03321",-1.48028718,0.01,0,10.0866,11.8453,8.8222,24.855,16.068,"Bicarbonate transporter BicA","MAG: sodium-independent anion transporter","Sodium-independent anion transporter","","GO:1902358;GO:0008271;GO:0016020;GO:0055085;GO:0015301;GO:0016021","sulfate transmembrane transport;secondary active sulfate transmembrane transporter activity;membrane;transmembrane transport;obsolete anion:anion antiporter activity;integral component of membrane","sulfate permease, SulP family",0,3.470745088,3.683168679,3.296046199,4.6923714,4.093222111,16.58173333,7.310633333,4.027213236,2.384637922,-1.642575314,2,"Downregulated","S and N metabolism"
"K03403",-2.244832302,0.001358631,2.6857,4.4829,4.3074,12.03,12.092,22.763,"Aerobic cobaltochelatase subunit CobN","MAG: magnesium chelatase subunit H","Magnesium chelatase","","GO:0006094;GO:0015979;GO:0015995;GO:0005524;GO:0016851;GO:0009058","gluconeogenesis;photosynthesis;chlorophyll biosynthetic process;ATP binding;magnesium chelatase activity;biosynthetic process","magnesium chelatase subunit H ",1.881938647,2.454939161,2.408005284,3.703765179,3.710613602,4.570645078,15.62833333,3.825333333,3.995007953,2.248294364,-1.746713589,2.866898496,"Downregulated","Photosynthesis and chlorophyll"
"K03404",-1.707774136,0.005686012,0,0,0,4.0101,7.3893,12.051,"Magnesium-chelatase 38 kDa subunit","MAG: magnesium chelatase ATPase subunit D","Mg-protoporphyrin IX chelatase","bchD","GO:0015979;GO:0015995;GO:0005524;GO:0016851","photosynthesis;chlorophyll biosynthetic process;ATP binding;magnesium chelatase activity","magnesium chelatase subunit D ",0,0,0,2.324839399,3.068550438,3.706088449,7.8168,0,3.033159429,0,-3.033159429,2.245192235,"Downregulated","Photosynthesis and chlorophyll"
"K03592",-1.664441563,0.006392857,8.0572,3.3622,4.3074,6.4161,20.153,16.068,"Metalloprotease PmbA","MAG: peptidase C69","Peptidase C69","","GO:0006508;GO:0008237","proteolysis;metallopeptidase activity","PmbA protein",3.179065115,2.125055917,2.408005284,2.890660698,4.402790381,4.093222111,14.21236667,5.242266667,3.79555773,2.570708772,-1.224848958,2.194305,"Downregulated","Translation"
"K03671",-1.591460536,0.007782738,5.3715,5.6036,4.3074,10.426,12.763,17.407,"Thioredoxin 1","MULTISPECIES: thioredoxin domain-containing protein;MULTISPECIES: thioredoxin","","","GO:0015035","protein-disulfide reductase activity","thioredoxin 1",2.671633057,2.723252735,2.408005284,3.51424853,3.782723072,4.202182608,13.532,5.094166667,3.833051403,2.600963692,-1.232087712,2.108867584,"Downregulated","Regulatory system and stress"
"K04567",-1.923405917,0.003212798,4.0286,0,5.3842,12.03,16.122,11.381,"Lysine--tRNA ligase","MAG: lysine--tRNA ligase","Lysine--tRNA ligase","lysS","GO:0006430;GO:0000287;GO:0003676;GO:0004824;GO:0005524;GO:0005737;GO:0006418;GO:0000166;GO:0004812","lysyl-tRNA aminoacylation;magnesium ion binding;nucleic acid binding;lysine-tRNA ligase activity;ATP binding;cytoplasm;tRNA aminoacylation for protein translation;nucleotide binding;aminoacyl-tRNA ligase activity","lysyl-tRNA synthetase, class II ",2.330156799,0,2.674505848,3.703765179,4.097779326,3.630055939,13.17766667,3.1376,3.810533481,1.668220882,-2.142312599,2.493116631,"Downregulated","Translation"
"K04755",-2.26106627,0.001291667,0,10.087,9.6916,17.644,22.84,22.763,"Na(+)-translocating NADH-quinone reductase subunit F;hypothetical protein","2Fe-2S iron-sulfur cluster-binding protein","","","GO:0140647;GO:0051537;GO:0051536","P450-containing electron transport chain;2 iron, 2 sulfur cluster binding;iron-sulfur cluster binding","ferredoxin, 2Fe-2S",0,3.470797138,3.418405864,4.220639513,4.575312331,4.570645078,21.08233333,6.592866667,4.455532307,2.296401001,-2.159131306,2.888849548,"Downregulated","Photosynthesis and chlorophyll"
"K05382",-1.920208234,0.003221726,2.6857,0,0,0,14.7785,13.39,"Chromophore lyase CpcS/CpeS;Phycocyanobilin lyase subunit CpcS","MAG: CpeS-like protein;MAG: phycobiliprotein lyase","Chromophore lyase CpcS/CpeS","cpcS","GO:0017009;GO:0016829","protein-phycocyanobilin linkage;lyase activity","phycoerythrin-associated linker protein",1.881938647,0,0,0,3.979888155,3.846994687,9.3895,0.895233333,2.608960947,0.627312882,-1.981648065,2.491911372,"Downregulated","Photosynthesis and chlorophyll"
"K06048",-2.53188554,0.000727679,0,0,0,10.426,13.4353,12.7205,"putative protein;Glutamate--cysteine ligase","MAG: hypothetical protein DCO99_02030;MAG: putative glutamate--cysteine ligase",";Putative glutamate--cysteine ligase",";gshA",";GO:0042398;GO:0004357;GO:0003824",";cellular modified amino acid biosynthetic process;glutamate-cysteine ligase activity;catalytic activity","glutamate---cysteine ligase / carboxylate-amine ligase ",0,0,0,3.51424853,3.851529185,3.778261152,12.19393333,0,3.714679622,0,-3.714679622,3.138060414,"Downregulated","Regulatory system and stress"
"K09667",-2.072685632,0.002044643,0,5.6037,5.3842,8.8222,16.7938,19.4155,"Lipopolysaccharide assembly protein B;Beta-barrel assembly-enhancing protease;SPBc2 prophage-derived glycosyltransferase SunS","MAG: hypothetical protein DCO99_07355;MAG: hypothetical protein DCO99_07495;MAG: hypothetical protein DCO99_08875;MAG: hypothetical protein DCO99_05205;MAG: glycosyl transferase",";TPR_REGION domain-containing protein;Glycosyl transferase","","GO:0005515;GO:0016020;GO:0016021;GO:0016740","protein binding;membrane;integral component of membrane;transferase activity","protein O-GlcNAc transferase ",0,2.723274581,2.674505848,3.296046199,4.153302737,4.351592996,15.0105,3.662633333,3.933647311,1.799260143,-2.134387168,2.68938254,"Downregulated","Translation"
"K10960",-4.261786453,1e-06,6.7143,15.69,8.6148,32.883,52.397,46.865,"Kynurenine 3-monooxygenase","geranylgeranyl reductase","","","GO:0015979;GO:0015995;GO:0016628;GO:0045550;GO:0071949","photosynthesis;chlorophyll biosynthetic process;oxidoreductase activity, acting on the CH-CH group of donors, NAD or NADP as acceptor;geranylgeranyl reductase activity;FAD binding","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ",2.947535252,4.06091205,3.265256848,5.082489711,5.738686784,5.580899204,44.04833333,10.3397,5.467358567,3.42456805,-2.042790517,6,"Downregulated","Photosynthesis and chlorophyll"
"K11003",-1.605062242,0.007590774,0,3.3622,2.1537,7.2181,8.0611,12.051,"Hemolysin secretion protein D, chromosomal;Leukotoxin export protein LtxD","MAG: hemolysin D;MAG: hypothetical protein DCO99_07580",";Biotin_lipoyl_2 domain-containing protein","",";GO:0016020;GO:0016021",";membrane;integral component of membrane","membrane fusion protein, hemolysin D",0,2.125055917,1.657045428,3.038804886,3.179686201,3.706088449,9.110066667,1.838633333,3.308193179,1.260700448,-2.04749273,2.11971395,"Downregulated","Cell wall and signaling"
"K11004",-2.732028412,0.000369048,20.1427,15.6905,18.3065,38.4962,49.7098,35.483,"Leukotoxin export ATP-binding protein LtxB;Alpha-hemolysin translocation ATP-binding protein HlyB","MAG: peptidase C39;ABC transporter transmembrane domain-containing protein","Peptidase C39;","","GO:0006508;GO:0055085;GO:0005524;GO:0008233;GO:0140359;GO:0016020;GO:0016021","proteolysis;transmembrane transport;ATP binding;peptidase activity;ABC-type transporter activity;membrane;integral component of membrane","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB",4.402087721,4.060955269,4.271014742,5.303641951,5.664192679,5.189152462,41.22966667,18.04656667,5.385662364,4.244685911,-1.140976453,3.432917592,"Downregulated","Transport"
"K13195",-2.521027307,0.000738095,0,11.207,11.845,20.0501,26.1985,28.119,"hypothetical protein","MAG: RNA-binding protein","RNA-binding protein","","GO:0003723;GO:0003676","RNA binding;nucleic acid binding","cold-inducible RNA-binding protein",0,3.609636781,3.683134985,4.395755182,4.765455184,4.863888906,24.7892,7.684,4.675033091,2.430923922,-2.244109169,3.131887597,"Downregulated","Transcription"
"K16881",-1.780603318,0.004602679,0,0,0,6.4161,9.4046,8.7035,"UTP--glucose-1-phosphate uridylyltransferase","NDP-sugar synthase","","","GO:0006011;GO:0009058;GO:0003983;GO:0016779","UDP-glucose metabolic process;biosynthetic process;UTglucose-1-phosphate uridylyltransferase activity;nucleotidyltransferase activity","mannose-1-phosphate guanylyltransferase / phosphomannomutase ",0,0,0,2.890660698,3.379149597,3.278505213,8.174733333,0,3.182771836,0,-3.182771836,2.336989353,"Downregulated","Other metabolites"
"K19223",-1.615839476,0.007369048,0,0,0,0,8.0611,12.72,"N-acetylmuramoyl-L-alanine amidase sle1","LysM peptidoglycan-binding domain-containing protein","","","","","peptidoglycan DL-endopeptidase LytF ",0,0,0,0,3.179686201,3.778208576,6.927033333,0,2.319298259,0,-2.319298259,2.132588637,"Downregulated","Cell wall and signaling"
"K19813",-1.932419741,0.003113095,0,0,0,0,11.4198,14.0595,"6'''-hydroxyparomomycin C oxidase","MAG: dehydrogenase;GMC oxidoreductase","Dehydrogenase;","","GO:0016614;GO:0050660","oxidoreductase activity, acting on CH-OH group of donors;flavin adenine dinucleotide binding","glucose dehydrogenase ",0,0,0,0,3.634570036,3.912601966,8.4931,0,2.515724001,0,-2.515724001,2.506807593,"Downregulated","Energy and redox"
"K21993",-4.292518922,1e-06,0,10.087,11.845,30.477,46.351,41.509,"putative formate transporter 1","MULTISPECIES: formate/nitrite transporter family protein","","","GO:0055085;GO:0022857;GO:0016020","transmembrane transport;transmembrane transporter activity;membrane","formate transporter",0,3.470797138,3.683134985,4.976226142,5.565322989,5.409696416,39.44566667,7.310666667,5.317081849,2.384644041,-2.932437808,6,"Downregulated","Transport"
