"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K12574","ribonuclease J ","MAG: ribonuclease J","Decreased",-1.6254,0,"Transcription"
"IKNINDAA_01164","hypothetical protein","MAG: hypothetical protein DCO99_07515","Decreased",-1.5687,7e-04,"unknown"
"K01869","leucyl-tRNA synthetase ","MAG: leucine--tRNA ligase","Decreased",-1.4668,0.0015,"Translation"
"K06207","GTP-binding protein","MAG: translational GTPase TypA","Decreased",-1.444,0,"Cell wall and signaling"
"K03147","phosphomethylpyrimidine synthase ","MAG: thiamine biosynthesis protein ThiC","Decreased",-1.3784,0.001,"Cofactor"
"K01428","urease subunit alpha ","MAG: urease subunit alpha","Decreased",-1.3729,0.0043,"S and N metabolism"
"K03545","trigger factor","MAG: trigger factor","Decreased",-1.3375,0,"Translation"
"K01955","carbamoyl-phosphate synthase large subunit ","MAG: carbamoyl phosphate synthase large subunit","Decreased",-1.1908,0.0014,"Purines, pyrimidines, nucleotides"
"K23269","phosphoribosylformylglycinamidine synthase subunit PurL ","MAG: phosphoribosylformylglycinamidine synthase subunit PurL","Decreased",-1.1833,0.0018,"Purines, pyrimidines, nucleotides"
"IKNINDAA_02077","hypothetical protein","PRC-barrel domain-containing protein","Decreased",-1.1608,0.0097,"unknown"
"K01876","aspartyl-tRNA synthetase ","MAG: aspartate--tRNA ligase","Decreased",-1.1389,0.0042,"Translation"
"K00392","sulfite reductase (ferredoxin) ","MAG: sulfite reductase, ferredoxin dependent","Decreased",-1.1169,0.0042,"S and N metabolism"
"K00325","H+-translocating NAD(P) transhydrogenase subunit beta ","MULTISPECIES: NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta","Decreased",-1.0883,0.0051,"Energy and redox"
"K03701","excinuclease ABC subunit A","MAG: excinuclease ABC subunit A","Decreased",-1.0552,0.0076,"Purines, pyrimidines, nucleotides"
"IKNINDAA_02243","hypothetical protein","C2 family cysteine protease, partial","Decreased",-1.026,0.0088,"Translation"
"K12573","ribonuclease R ","MAG: organic colvent ABC transporter permease","Decreased",-1.0184,0.0014,"Transcription"
