"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K10697","two-component system, OmpR family, response regulator RpaA","response regulator","Decreased",-4.0416,5e-04,"Regulatory system and stress"
"K01627","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) ","3-deoxy-8-phosphooctulonate synthase","Decreased",-4.0393,5e-04,"Cell wall and signaling"
"K02720","photosystem II cytochrome c550","photosystem II cytochrome c-550","Decreased",-4.0374,5e-04,"Photosynthesis"
"K02881","large subunit ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","Decreased",-3.977,8e-04,"Translation"
"LKDHAOIP_02012","hypothetical protein","F420-0:Gamma-glutamyl ligase","Decreased",-3.9747,6e-04,"Unknown"
"K00052","3-isopropylmalate dehydrogenase ","3-isopropylmalate dehydrogenase","Decreased",-3.9683,8e-04,"Amino acid metabolism"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase ","3-phosphoshikimate 1-carboxyvinyltransferase","Decreased",-3.9601,8e-04,"Amino acid metabolism"
"LKDHAOIP_02179","hypothetical protein","hypothetical protein","Decreased",-3.9336,0.001,"Unknown"
"K05580","NAD(P)H-quinone oxidoreductase subunit I ","NAD(P)H-quinone oxidoreductase subunit I","Decreased",-3.9335,0.001,"Energy and redox"
"LKDHAOIP_00219","hypothetical protein","MULTISPECIES: hypothetical protein","Decreased",-3.9078,0.0011,"Unknown"
"K22405","NADH oxidase (H2O-forming) ","flavin reductase","Decreased",-3.9031,0.0011,"Energy and redox"
"K04079","molecular chaperone HtpG","molecular chaperone HtpG","Decreased",-3.8604,0.0012,"Regulatory system and stress"
"K02890","large subunit ribosomal protein L22","50S ribosomal protein L22","Decreased",-3.8053,0.0013,"Translation"
"K00645"," S-malonyltransferase ","ACP S-malonyltransferase","Decreased",-3.7946,0.0014,"Cell wall and signaling"
"K00873","pyruvate kinase ","pyruvate kinase","Decreased",-3.764,0.0015,"Respiration"
"K01682","aconitate hydratase 2 / 2-methylisocitrate dehydratase ","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Decreased",-3.7577,0.0015,"Respiration"
"K18855","UDP-N-acetylglucosamine 3-dehydrogenase ","Gfo/Idh/MocA family oxidoreductase","Decreased",-3.7221,0.0016,"Cell wall and signaling"
"K01696","tryptophan synthase beta chain ","tryptophan synthase subunit beta","Decreased",-3.722,0.0016,"Amino acid metabolism"
"K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase ","NDP-sugar synthase","Decreased",-3.722,0.0016,"Other metabolites"
"K18886","gibberellin A4 carboxyl methyltransferase ","class I SAM-dependent methyltransferase","Decreased",-3.722,0.0016,"Translation"
"K03687","molecular chaperone GrpE","nucleotide exchange factor GrpE","Decreased",-3.719,0.0016,"Regulatory system and stress"
"K00254","dihydroorotate dehydrogenase ","quinone-dependent dihydroorotate dehydrogenase","Decreased",-3.6834,0.002,"Purines, pyrimidines, nucleotides"
"K02518","translation initiation factor IF-1","MULTISPECIES: translation initiation factor IF-1","Decreased",-3.6412,0.0024,"Translation"
"K00059","3-oxoacyl- reductase ","3-oxoacyl-[acyl-carrier-protein] reductase","Decreased",-3.637,0.0024,"Cell wall and signaling"
"K01885","glutamyl-tRNA synthetase ","glutamate--tRNA ligase","Decreased",-3.622,0.0024,"Translation"
"K01586","diaminopimelate decarboxylase ","diaminopimelate decarboxylase","Decreased",-3.6024,0.003,"Amino acid metabolism"
"K09458","3-oxoacyl- synthase II ","beta-ketoacyl-ACP synthase II","Decreased",-3.5845,0.0031,"Cell wall and signaling"
"K03692","glucosylglycerol-phosphate synthase ","glucosylglycerol-phosphate synthase","Decreased",-3.566,5e-04,"Other metabolites"
"K01868","threonyl-tRNA synthetase ","threonine--tRNA ligase","Decreased",-3.5564,0.0036,"Translation"
"K00856","adenosine kinase ","adenosine kinase","Decreased",-3.5438,0.0037,"Purines, pyrimidines, nucleotides"
"K05520","protease I ","DJ-1/PfpI family protein","Decreased",-3.538,0.0032,"Translation"
"K01955","carbamoyl-phosphate synthase large subunit ","carbamoyl-phosphate synthase large subunit","Decreased",-3.5339,0.0036,"Purines, pyrimidines, nucleotides"
"K01887","arginyl-tRNA synthetase ","arginine--tRNA ligase","Decreased",-3.4976,0.0042,"Translation"
"K01803","triosephosphate isomerase (TIM) ","triose-phosphate isomerase","Decreased",-3.4871,0.0041,"Respiration"
"K03110","fused signal recognition particle receptor","signal recognition particle-docking protein FtsY","Decreased",-3.4826,0.0042,"Cell wall and signaling"
"K24259","putative aminotransferase","N-acetyl sugar amidotransferase","Decreased",-3.4681,0.0046,"Amino acid metabolism"
"K01990","ABC-2 type Transporters system ATP-binding protein","ATP-binding cassette domain-containing protein","Decreased",-3.468,0.0046,"Transporters"
"LKDHAOIP_00983","hypothetical protein","MULTISPECIES: hypothetical protein","Decreased",-3.4629,0.0046,"Unknown"
"LKDHAOIP_00261","hypothetical protein","Hypothetical protein SynA1528_00095","Decreased",-3.459,0.0046,"Unknown"
"K10206","LL-diaminopimelate aminotransferase ","LL-diaminopimelate aminotransferase","Decreased",-3.451,5e-04,"Amino acid metabolism"
"K05592","ATP-dependent RNA helicase DeaD ","DEAD/DEAH box helicase","Decreased",-3.4481,0.0046,"Transcription"
"K04567","lysyl-tRNA synthetase, class II ","lysine--tRNA ligase","Decreased",-3.4467,0.0046,"Translation"
"K01895","acetyl-CoA synthetase ","acetate--CoA ligase","Decreased",-3.4256,1e-04,"Respiration"
"K03621","phosphate acyltransferase ","phosphate acyltransferase PlsX","Decreased",-3.4169,0.0051,"Cell wall and signaling"
"K01756","adenylosuccinate lyase ","adenylosuccinate lyase","Decreased",-3.4036,6e-04,"Purines, pyrimidines, nucleotides"
"K00324","H+-translocating NAD(P) transhydrogenase subunit alpha ","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Decreased",-3.3957,5e-04,"Energy and redox"
"K01649","2-isopropylmalate synthase ","2-isopropylmalate synthase","Decreased",-3.39,0.0051,"Amino acid metabolism"
"K01869","leucyl-tRNA synthetase ","leucine--tRNA ligase","Decreased",-3.3597,0.006,"Translation"
"K02693","photosystem I subunit IV","MULTISPECIES: photosystem I reaction center subunit IV","Decreased",-3.3508,0.006,"Photosynthesis"
"K01873","valyl-tRNA synthetase ","MAG: valine--tRNA ligase","Decreased",-3.3505,0.006,"Translation"
"K02097","phycobilisome core component","allophycocyanin subunit beta","Decreased",-3.3467,5e-04,"Photosynthesis"
"K01875","seryl-tRNA synthetase ","serine--tRNA ligase","Decreased",-3.3372,0.0059,"Translation"
"K00812","aspartate aminotransferase ","pyridoxal phosphate-dependent aminotransferase","Decreased",-3.3198,0.0068,"Amino acid metabolism"
"K00872","homoserine kinase ","homoserine kinase","Decreased",-3.3198,0.0068,"Amino acid metabolism"
"K01897","long-chain acyl-CoA synthetase ","AMP-binding protein","Decreased",-3.3198,0.0068,"Cell wall and signaling"
"K11962","urea Transporters system ATP-binding protein","urea ABC transporter ATP-binding protein UrtD","Decreased",-3.3196,0.0068,"S and N metabolism"
"K01647","citrate synthase ","citrate synthase","Decreased",-3.3139,0.0068,"Respiration"
"K01255","leucyl aminopeptidase ","leucyl aminopeptidase","Decreased",-3.305,0.0013,"Translation"
"K00033","6-phosphogluconate dehydrogenase ","NADP-dependent phosphogluconate dehydrogenase","Decreased",-3.2959,7e-04,"Respiration"
"K00973","glucose-1-phosphate thymidylyltransferase ","glucose-1-phosphate thymidylyltransferase RfbA","Decreased",-3.2687,0.0079,"Purines, pyrimidines, nucleotides"
"K14055","universal stress protein E","universal stress protein","Decreased",-3.2683,0,"Regulatory system and stress"
"K01945","phosphoribosylamine---glycine ligase ","phosphoribosylamine--glycine ligase","Decreased",-3.2519,0.0079,"Purines, pyrimidines, nucleotides"
"K04035","magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase ","magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase","Decreased",-3.2513,0.008,"Photosynthesis"
"K01921","D-alanine-D-alanine ligase ","D-alanine--D-alanine ligase","Decreased",-3.2292,0.0079,"Cell wall and signaling"
"K03465","thymidylate synthase (FAD) ","FAD-dependent thymidylate synthase","Decreased",-3.2116,0.009,"Purines, pyrimidines, nucleotides"
"K03684","ribonuclease D ","ribonuclease D","Decreased",-3.2115,0.009,"Transcription"
"K01082","3'(2'), 5'-bisphosphate nucleotidase ","3'(2'),5'-bisphosphate nucleotidase CysQ","Decreased",-3.2055,0.009,"S and N metabolism"
"LKDHAOIP_00939","Protein Thf1","photosystem II biogenesis protein Psp29","Decreased",-3.2052,0.009,"Photosynthesis"
"K00147","glutamate-5-semialdehyde dehydrogenase ","glutamate-5-semialdehyde dehydrogenase","Decreased",-3.187,0.0089,"Amino acid metabolism"
"K02094","phycobilisome core linker protein","phycobilisome linker polypeptide","Decreased",-3.1686,0.0012,"Photosynthesis"
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","Decreased",-3.1662,3e-04,"Purines, pyrimidines, nucleotides"
"K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) ","MAG: UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)","Decreased",-3.0395,0.0016,"Cell wall and signaling"
"K00615","transketolase ","transketolase","Decreased",-3.0219,0,"Respiration"
"K21919","BTB/POZ domain-containing protein KCTD9","conserved hypothetical protein;pentapeptide repeat-containing protein","Decreased",-2.9839,0.0028,"Unknown"
"K02536","UDP-3-O- glucosamine N-acyltransferase ","UDP-3-O-(3-hydroxymyristoyl)glucosamine N-acyltransferase","Decreased",-2.8963,0.0051,"Cell wall and signaling"
"K02469","DNAgyrase subunit A ","DNAtopoisomerase 4 subunit A;DNAgyrase subunit A","Decreased",-2.8614,0,"DNA"
"K01784","UDP-glucose 4-epimerase ","NAD-dependent epimerase/dehydratase family protein","Decreased",-2.8347,0.0045,"Respiration"
"K03405","magnesium chelatase subunit I ","magnesium chelatase ATPase subunit I","Decreased",-2.7956,4e-04,"Photosynthesis"
"K06889","uncharacterized protein","alpha/beta fold hydrolase;alpha/beta hydrolase","Decreased",-2.6756,0.0069,"Unknown"
"K01265","methionyl aminopeptidase ","type I methionyl aminopeptidase","Decreased",-2.5975,0.0089,"Translation"
"K00366","ferredoxin-nitrite reductase ","ferredoxin--nitrite reductase","Decreased",-2.4072,0,"S and N metabolism"
"K00627","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) ","2-oxo acid dehydrogenase subunit E2","Decreased",-2.3981,5e-04,"Respiration"
"LKDHAOIP_01543","hypothetical protein","DUF1254 domain-containing protein","Decreased",-2.2927,0.0012,"Unknown"
"K01733","threonine synthase ","MAG: threonine synthase","Decreased",-2.2043,0.0012,"Amino acid metabolism"
"K03046","DNA-directed RNA polymerase subunit beta' ","DNA-directed RNA polymerase subunit beta';DNA-directed RNA polymerase subunit gamma","Decreased",-2.1407,0,"Transcription"
"K00826","branched-chain amino acid aminotransferase ","branched-chain amino acid transaminase","Decreased",-2.0363,0.0054,"Amino acid metabolism"
"LKDHAOIP_00574","hypothetical protein","MBL fold metallo-hydrolase","Decreased",-1.941,0.0039,"Unknown"
"K00703","starch synthase ","glycogen synthase GlgA","Decreased",-1.9392,3e-04,"Respiration"
"K00962","polyribonucleotide nucleotidyltransferase ","polyribonucleotide nucleotidyltransferase","Decreased",-1.9333,0,"Transcription"
"K00648","3-oxoacyl- synthase III ","ketoacyl-ACP synthase III","Decreased",-1.9126,0.0055,"Cell wall and signaling"
"K02095","allophycocyanin-B","allophycocyanin","Decreased",-1.8902,3e-04,"Photosynthesis"
"K02520","translation initiation factor IF-3","translation initiation factor IF-3","Decreased",-1.8367,4e-04,"Translation"
"K11003","membrane fusion protein, hemolysin D","HlyD family efflux transporter periplasmic adaptor subunit","Decreased",-1.8286,5e-04,"Cell wall and signaling"
"K03609","septum site-determining protein MinD","MULTISPECIES: septum site-determining protein MinD","Decreased",-1.6775,0,"Cell wall and signaling"
"K01428","urease subunit alpha ","urease subunit alpha","Decreased",-1.6722,0.0015,"S and N metabolism"
"K00228","coproporphyrinogen III oxidase ","oxygen-dependent coproporphyrinogen oxidase","Decreased",-1.6464,4e-04,"Photosynthesis"
"K00600","glycine hydroxymethyltransferase ","serine hydroxymethyltransferase","Decreased",-1.5646,3e-04,"Amino acid metabolism"
"K01507","inorganic pyrophosphatase ","inorganic diphosphatase","Decreased",-1.4822,5e-04,"Energy and redox"
"K01358","ATP-dependent Clp protease, protease subunit ","MULTISPECIES: ATP-dependent Clp endopeptidase proteolytic subunit ClpP;ATP-dependent Clp endopeptidase proteolytic subunit ClpP;MULTISPECIES: ATP-dependent Clp protease proteolytic subunit;Endopeptidase Clp","Decreased",-1.4555,4e-04,"Regulatory system and stress"
"K06118","UDP-sulfoquinovose synthase ","NAD-dependent epimerase/dehydratase family protein","Decreased",-1.4079,5e-04,"Purines, pyrimidines, nucleotides"
"K11329","two-component system, OmpR family, response regulator RpaB","MULTISPECIES: response regulator","Decreased",-1.3895,4e-04,"Regulatory system and stress"
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B ","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB","Decreased",-1.3863,0.001,"Translation"
"K01698","porphobilinogen synthase ","porphobilinogen synthase","Decreased",-1.3681,0.0024,"Photosynthesis"
"K00053","ketol-acid reductoisomerase ","ketol-acid reductoisomerase","Decreased",-1.3397,4e-04,"Amino acid metabolism"
"K03798","cell division protease FtsH ","ATP-dependent zinc metalloprotease FtsH","Decreased",-1.212,0,"Regulatory system and stress"
"LKDHAOIP_02088","hypothetical protein","hypothetical protein","Decreased",-1.1744,6e-04,"Unknown"
"K03043","DNA-directed RNA polymerase subunit beta ","DNA-directed RNA polymerase subunit beta","Decreased",-1.1236,0,"Transcription"
"K03695","ATP-dependent Clp protease ATP-binding subunit ClpB","AAA family ATPase;ATP-dependent chaperone ClpB","Decreased",-1.1104,0.001,"Regulatory system and stress"
"K00860","adenylylsulfate kinase ","adenylyl-sulfate kinase","Decreased",-1.0907,0.0051,"S and N metabolism"
"K00030","isocitrate dehydrogenase (NAD+) ","NADP-dependent isocitrate dehydrogenase","Decreased",-1.0763,0.0019,"Respiration"
"K03696","ATP-dependent Clp protease ATP-binding subunit ClpC","ATP-dependent Clp protease ATP-binding subunit","Decreased",-1.0719,3e-04,"Regulatory system and stress"
"K02286","phycocyanin-associated rod linker protein","phycobilisome rod-core linker polypeptide","Decreased",-1.0599,4e-04,"Photosynthesis"
"K02355","elongation factor G","elongation factor G","Decreased",-1.0404,0,"Translation"
"K19788","obg-like ATPase 1","redox-regulated ATPase YchF","Decreased",-1.04,0.0046,"Regulatory system and stress"
