"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K01955","carbamoyl-phosphate synthase large subunit ","carbamoyl-phosphate synthase large subunit","Decreased",-3.5339,0.0093,"Purines, pyrimidines, nucleotides"
"K04755","ferredoxin, 2Fe-2S","2Fe-2S iron-sulfur cluster-binding protein","Decreased",-3.5272,0.0017,"Photosynthesis"
"K10697","two-component system, OmpR family, response regulator RpaA","response regulator","Decreased",-3.4145,0.0038,"Regulatory system and stress"
"K01627","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) ","3-deoxy-8-phosphooctulonate synthase","Decreased",-3.4113,0.0038,"Cell wall and signaling"
"K01876","aspartyl-tRNA synthetase ","aspartate--tRNA ligase","Decreased",-3.3863,0.003,"Translation"
"K03070","preprotein translocase subunit SecA ","preprotein translocase subunit SecA","Decreased",-3.3672,0,"Cell wall and signaling"
"K02470","DNAgyrase subunit B ","DNAtopoisomerase (ATP-hydrolyzing) subunit B","Decreased",-3.3622,0.0034,"DNA"
"K00766","anthranilate phosphoribosyltransferase ","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Decreased",-3.3331,0.0037,"Amino acid metabolism"
"K00003","homoserine dehydrogenase ","homoserine dehydrogenase","Decreased",-3.3295,0.004,"Amino acid metabolism"
"K00052","3-isopropylmalate dehydrogenase ","3-isopropylmalate dehydrogenase","Decreased",-3.2357,0.005,"Amino acid metabolism"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase ","3-phosphoshikimate 1-carboxyvinyltransferase","Decreased",-3.2285,0.0049,"Amino acid metabolism"
"K02878","large subunit ribosomal protein L16","MULTISPECIES: 50S ribosomal protein L16","Decreased",-3.2064,0.0039,"Translation"
"K01879","glycyl-tRNA synthetase beta chain ","glycine--tRNA ligase subunit beta","Decreased",-3.104,0.0012,"Translation"
"K01255","leucyl aminopeptidase ","leucyl aminopeptidase","Decreased",-3.0939,0.0065,"Translation"
"K02518","translation initiation factor IF-1","MULTISPECIES: translation initiation factor IF-1","Decreased",-3.0141,0.009,"Translation"
"K00645"," S-malonyltransferase ","ACP S-malonyltransferase","Decreased",-2.9771,0.0085,"Cell wall and signaling"
"K00254","dihydroorotate dehydrogenase ","quinone-dependent dihydroorotate dehydrogenase","Decreased",-2.9517,0.0094,"Purines, pyrimidines, nucleotides"
"K03405","magnesium chelatase subunit I ","magnesium chelatase ATPase subunit I","Decreased",-2.8913,0.0017,"Photosynthesis"
"K03545","trigger factor","trigger factor","Decreased",-2.8866,5e-04,"Translation"
"K10206","LL-diaminopimelate aminotransferase ","LL-diaminopimelate aminotransferase","Decreased",-2.8597,0.0029,"Amino acid metabolism"
"K00600","glycine hydroxymethyltransferase ","serine hydroxymethyltransferase","Decreased",-2.8349,6e-04,"Amino acid metabolism"
"K01835","phosphoglucomutase ","alpha-D-glucose phosphate-specific phosphoglucomutase","Decreased",-2.7978,0.0021,"Respiration"
"K01940","argininosuccinate synthase ","argininosuccinate synthase","Decreased",-2.7805,0.0019,"Amino acid metabolism"
"K00033","6-phosphogluconate dehydrogenase ","NADP-dependent phosphogluconate dehydrogenase","Decreased",-2.7671,0.004,"Respiration"
"K01251","adenosylhomocysteinase ","adenosylhomocysteinase","Decreased",-2.7388,0.0015,"Amino acid metabolism"
"K00284","glutamate synthase (ferredoxin) ","glutamate synthase large subunit","Decreased",-2.7319,0.0016,"S and N metabolism"
"K03692","glucosylglycerol-phosphate synthase ","glucosylglycerol-phosphate synthase","Decreased",-2.727,0.0041,"Other metabolites"
"K00703","starch synthase ","glycogen synthase GlgA","Decreased",-2.5371,4e-04,"Respiration"
"K02097","phycobilisome core component","allophycocyanin subunit beta","Decreased",-2.4795,0.0037,"Photosynthesis"
"K00161","pyruvate dehydrogenase E1 component alpha subunit ","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Decreased",-2.4559,0.0046,"Respiration"
"K02357","elongation factor Ts","translation elongation factor Ts","Decreased",-2.4194,0.0016,"Translation"
"K02469","DNAgyrase subunit A ","DNAtopoisomerase 4 subunit A;DNAgyrase subunit A","Decreased",-2.3948,2e-04,"DNA"
"LKDHAOIP_02012","hypothetical protein","F420-0:Gamma-glutamyl ligase","Decreased",-2.2886,0.0081,"Unknown"
"K00324","H+-translocating NAD(P) transhydrogenase subunit alpha ","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Decreased",-2.2666,0.0056,"Energy and redox"
"K08482","circadian clock protein KaiC","circadian clock protein KaiC","Decreased",-2.249,4e-04,"Regulatory system and stress"
"K03046","DNA-directed RNA polymerase subunit beta' ","DNA-directed RNA polymerase subunit beta';DNA-directed RNA polymerase subunit gamma","Decreased",-2.2214,0,"Transcription"
"K01756","adenylosuccinate lyase ","adenylosuccinate lyase","Decreased",-2.2202,0.0085,"Purines, pyrimidines, nucleotides"
"K03168","DNAtopoisomerase I ","type I DNAtopoisomerase","Decreased",-2.0777,0.0021,"DNA"
"K02520","translation initiation factor IF-3","translation initiation factor IF-3","Decreased",-2.009,0.0014,"Translation"
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","Decreased",-1.9598,0.0017,"Purines, pyrimidines, nucleotides"
"K00962","polyribonucleotide nucleotidyltransferase ","polyribonucleotide nucleotidyltransferase","Decreased",-1.9169,0,"Transcription"
"K00615","transketolase ","transketolase","Decreased",-1.7648,2e-04,"Respiration"
"K01895","acetyl-CoA synthetase ","acetate--CoA ligase","Decreased",-1.7366,0.003,"Respiration"
"K00228","coproporphyrinogen III oxidase ","oxygen-dependent coproporphyrinogen oxidase","Decreased",-1.6922,0.0016,"Photosynthesis"
"K01507","inorganic pyrophosphatase ","inorganic diphosphatase","Decreased",-1.5777,0.0021,"Energy and redox"
"K02355","elongation factor G","elongation factor G","Decreased",-1.5695,1e-04,"Translation"
"K11329","two-component system, OmpR family, response regulator RpaB","MULTISPECIES: response regulator","Decreased",-1.4739,0.0017,"Regulatory system and stress"
"K02095","allophycocyanin-B","allophycocyanin","Decreased",-1.4554,0.0018,"Photosynthesis"
"K00366","ferredoxin-nitrite reductase ","ferredoxin--nitrite reductase","Decreased",-1.4471,1e-04,"S and N metabolism"
"K03043","DNA-directed RNA polymerase subunit beta ","DNA-directed RNA polymerase subunit beta","Decreased",-1.4421,0,"Transcription"
"K19788","obg-like ATPase 1","redox-regulated ATPase YchF","Decreased",-1.3899,0.0064,"Regulatory system and stress"
"K00053","ketol-acid reductoisomerase ","ketol-acid reductoisomerase","Decreased",-1.3844,0.0015,"Amino acid metabolism"
"K00030","isocitrate dehydrogenase (NAD+) ","NADP-dependent isocitrate dehydrogenase","Decreased",-1.3703,0.0059,"Respiration"
"K02967","small subunit ribosomal protein S2","MULTISPECIES: 30S ribosomal protein S2","Decreased",-1.3566,0.0019,"Translation"
"K06118","UDP-sulfoquinovose synthase ","NAD-dependent epimerase/dehydratase family protein","Decreased",-1.3419,0.0037,"Purines, pyrimidines, nucleotides"
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B ","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB","Decreased",-1.2665,0.0058,"Translation"
"K03695","ATP-dependent Clp protease ATP-binding subunit ClpB","AAA family ATPase;ATP-dependent chaperone ClpB","Decreased",-1.2432,0.0031,"Regulatory system and stress"
"K00088","IMP dehydrogenase ","GuaB3 family IMP dehydrogenase-related protein","Decreased",-1.2296,9e-04,"Purines, pyrimidines, nucleotides"
"K14055","universal stress protein E","universal stress protein","Decreased",-1.1751,0.0058,"Regulatory system and stress"
"K02641","ferredoxin--NADP+ reductase ","FAD-binding oxidoreductase","Decreased",-1.1644,2e-04,"Photosynthesis"
"K03609","septum site-determining protein MinD","MULTISPECIES: septum site-determining protein MinD","Decreased",-1.143,0.0017,"Cell wall and signaling"
"K11532","fructose-1,6-bisphosphatase II / sedoheptulose-1,7-bisphosphatase ","class II fructose-bisphosphatase","Decreased",-1.0356,7e-04,"Respiration"
