"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K00975","glucose-1-phosphate adenylyltransferase ","glucose-1-phosphate adenylyltransferase","Increased",1.0905,4e-04,"Purines, pyrimidines, nucleotides"
"LKDHAOIP_02385","hypothetical protein","hypothetical protein","Increased",1.0795,5e-04,"Unknown"
"K08903","photosystem II 13kDa protein","photosystem II reaction center protein Psb28","Increased",1.0759,0.001,"Photosynthesis"
"K02285","phycocyanin beta chain","MULTISPECIES: phycocyanin subunit beta","Increased",1.0565,0,"Photosynthesis"
"K02635","cytochrome b6","MULTISPECIES: cytochrome b6","Increased",1.0511,0.0065,"Photosynthesis"
"LKDHAOIP_02230","hypothetical protein","CAAD domain-containing protein","Increased",1.051,0.0014,"Unknown"
"LKDHAOIP_01827","hypothetical protein","DUF3747 domain-containing protein","Increased",1.0341,0.0012,"Unknown"
"K07277","outer membrane protein insertion porin family","BamA/TamA family outer membrane protein","Increased",1.0199,0,"Cell wall and signaling"
"K02888","large subunit ribosomal protein L21","MULTISPECIES: 50S ribosomal protein L21","Increased",1.0167,4e-04,"Translation"
"K05377","phycoerythrin beta chain","bleomycin hydrolase;class 1 C-phycoerythrin subunit beta","Increased",1.0148,0,"Photosynthesis"
"K03070","preprotein translocase subunit SecA ","preprotein translocase subunit SecA","Decreased",-5.3458,0,"Cell wall and signaling"
"K09667","protein O-GlcNAc transferase ","tetratricopeptide repeat protein;glycosyltransferase","Decreased",-4.9686,0,"Translation"
"K02519","translation initiation factor IF-2","translation initiation factor IF-2","Decreased",-4.8133,0,"Translation"
"K03168","DNAtopoisomerase I ","type I DNAtopoisomerase","Decreased",-4.8101,0,"DNA"
"K01940","argininosuccinate synthase ","argininosuccinate synthase","Decreased",-4.8003,0,"Amino acid metabolism"
"K01595","phosphoenolpyruvate carboxylase ","phosphoenolpyruvate carboxylase","Decreased",-4.7681,0,"Respiration"
"LKDHAOIP_01514","hypothetical protein","IMS domain-containing protein","Decreased",-4.7595,0,"Unknown"
"K05579","NAD(P)H-quinone oxidoreductase subunit H ","NAD(P)H-quinone oxidoreductase subunit H","Decreased",-4.744,0,"Energy and redox"
"K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase ","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","Decreased",-4.6916,0,"Purines, pyrimidines, nucleotides"
"K00284","glutamate synthase (ferredoxin) ","glutamate synthase large subunit","Decreased",-4.6752,0,"S and N metabolism"
"K03545","trigger factor","trigger factor","Decreased",-4.6608,0,"Translation"
"K04755","ferredoxin, 2Fe-2S","2Fe-2S iron-sulfur cluster-binding protein","Decreased",-4.6239,1e-04,"Photosynthesis"
"K02470","DNAgyrase subunit B ","DNAtopoisomerase (ATP-hydrolyzing) subunit B","Decreased",-4.487,3e-04,"DNA"
"K02994","small subunit ribosomal protein S8","MULTISPECIES: 30S ribosomal protein S8","Decreased",-4.309,4e-04,"Translation"
"K01879","glycyl-tRNA synthetase beta chain ","glycine--tRNA ligase subunit beta","Decreased",-4.3077,0,"Translation"
"K01876","aspartyl-tRNA synthetase ","aspartate--tRNA ligase","Decreased",-4.3053,4e-04,"Translation"
"K01939","adenylosuccinate synthase ","adenylosuccinate synthase","Decreased",-4.2904,4e-04,"Purines, pyrimidines, nucleotides"
"K12574","ribonuclease J ","RNase J family beta-CASP ribonuclease","Decreased",-4.283,4e-04,"Transcription"
"K00003","homoserine dehydrogenase ","homoserine dehydrogenase","Decreased",-4.2792,4e-04,"Amino acid metabolism"
"K01599","uroporphyrinogen decarboxylase ","uroporphyrinogen decarboxylase","Decreased",-4.2721,0,"Photosynthesis"
"K04079","molecular chaperone HtpG","molecular chaperone HtpG","Decreased",-4.2352,4e-04,"Regulatory system and stress"
"K00392","sulfite reductase (ferredoxin) ","MAG: sulfite reductase subunit beta","Decreased",-4.2346,4e-04,"S and N metabolism"
"K02890","large subunit ribosomal protein L22","50S ribosomal protein L22","Decreased",-4.2283,4e-04,"Translation"
"K01835","phosphoglucomutase ","alpha-D-glucose phosphate-specific phosphoglucomutase","Decreased",-4.2159,4e-04,"Respiration"
"K22405","NADH oxidase (H2O-forming) ","flavin reductase","Decreased",-4.1947,4e-04,"Energy and redox"
"K02338","DNApolymerase III subunit beta ","DNApolymerase III subunit beta","Decreased",-4.1947,4e-04,"DNA"
"K00052","3-isopropylmalate dehydrogenase ","3-isopropylmalate dehydrogenase","Decreased",-4.1851,4e-04,"Amino acid metabolism"
"K00161","pyruvate dehydrogenase E1 component alpha subunit ","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Decreased",-4.1319,5e-04,"Respiration"
"K00766","anthranilate phosphoribosyltransferase ","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Decreased",-4.1319,5e-04,"Amino acid metabolism"
"K02881","large subunit ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","Decreased",-4.0814,5e-04,"Translation"
"LKDHAOIP_02012","hypothetical protein","F420-0:Gamma-glutamyl ligase","Decreased",-4.0008,5e-04,"Unknown"
"K12573","ribonuclease R ","RNB domain-containing ribonuclease","Decreased",-3.9994,5e-04,"Transcription"
"K08482","circadian clock protein KaiC","circadian clock protein KaiC","Decreased",-3.9897,0,"Regulatory system and stress"
"K04567","lysyl-tRNA synthetase, class II ","lysine--tRNA ligase","Decreased",-3.9586,6e-04,"Translation"
"K01627","2-dehydro-3-deoxyphosphooctonate aldolase (KDO 8-P synthase) ","3-deoxy-8-phosphooctulonate synthase","Decreased",-3.9402,7e-04,"Cell wall and signaling"
"K01251","adenosylhomocysteinase ","adenosylhomocysteinase","Decreased",-3.9362,3e-04,"Amino acid metabolism"
"K01955","carbamoyl-phosphate synthase large subunit ","carbamoyl-phosphate synthase large subunit","Decreased",-3.9354,5e-04,"Purines, pyrimidines, nucleotides"
"K18855","UDP-N-acetylglucosamine 3-dehydrogenase ","Gfo/Idh/MocA family oxidoreductase","Decreased",-3.9254,7e-04,"Cell wall and signaling"
"K00800","3-phosphoshikimate 1-carboxyvinyltransferase ","3-phosphoshikimate 1-carboxyvinyltransferase","Decreased",-3.913,9e-04,"Amino acid metabolism"
"K03687","molecular chaperone GrpE","nucleotide exchange factor GrpE","Decreased",-3.913,9e-04,"Regulatory system and stress"
"K05580","NAD(P)H-quinone oxidoreductase subunit I ","NAD(P)H-quinone oxidoreductase subunit I","Decreased",-3.8922,0.001,"Energy and redox"
"K00059","3-oxoacyl- reductase ","3-oxoacyl-[acyl-carrier-protein] reductase","Decreased",-3.8716,0.0011,"Cell wall and signaling"
"K05592","ATP-dependent RNA helicase DeaD ","DEAD/DEAH box helicase","Decreased",-3.8708,0.0011,"Transcription"
"K10697","two-component system, OmpR family, response regulator RpaA","response regulator","Decreased",-3.8588,0.0011,"Regulatory system and stress"
"K01945","phosphoribosylamine---glycine ligase ","phosphoribosylamine--glycine ligase","Decreased",-3.8312,0.0013,"Purines, pyrimidines, nucleotides"
"LKDHAOIP_00219","hypothetical protein","MULTISPECIES: hypothetical protein","Decreased",-3.8275,0.0012,"Unknown"
"K02693","photosystem I subunit IV","MULTISPECIES: photosystem I reaction center subunit IV","Decreased",-3.7982,0.0013,"Photosynthesis"
"K02720","photosystem II cytochrome c550","photosystem II cytochrome c-550","Decreased",-3.7854,0.0014,"Photosynthesis"
"K06207","GTP-binding protein","translational GTPase TypA","Decreased",-3.7826,0.0012,"Cell wall and signaling"
"K01869","leucyl-tRNA synthetase ","leucine--tRNA ligase","Decreased",-3.7734,0.0014,"Translation"
"K05520","protease I ","DJ-1/PfpI family protein","Decreased",-3.7573,0.0014,"Translation"
"K00873","pyruvate kinase ","pyruvate kinase","Decreased",-3.7544,0.0015,"Respiration"
"K00254","dihydroorotate dehydrogenase ","quinone-dependent dihydroorotate dehydrogenase","Decreased",-3.733,0.0015,"Purines, pyrimidines, nucleotides"
"K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase ","NDP-sugar synthase","Decreased",-3.704,0.0015,"Other metabolites"
"LKDHAOIP_02179","hypothetical protein","hypothetical protein","Decreased",-3.7038,0.0016,"Unknown"
"K01803","triosephosphate isomerase (TIM) ","triose-phosphate isomerase","Decreased",-3.6868,0.0015,"Respiration"
"K00856","adenosine kinase ","adenosine kinase","Decreased",-3.6395,0.002,"Purines, pyrimidines, nucleotides"
"K00645"," S-malonyltransferase ","ACP S-malonyltransferase","Decreased",-3.626,0.0021,"Cell wall and signaling"
"K01895","acetyl-CoA synthetase ","acetate--CoA ligase","Decreased",-3.6257,0,"Respiration"
"K01756","adenylosuccinate lyase ","adenylosuccinate lyase","Decreased",-3.6151,4e-04,"Purines, pyrimidines, nucleotides"
"K00514","zeta-carotene desaturase ","9,9'-di-cis-zeta-carotene desaturase","Decreased",-3.6011,0.0023,"Photosynthesis"
"K03692","glucosylglycerol-phosphate synthase ","glucosylglycerol-phosphate synthase","Decreased",-3.5873,5e-04,"Other metabolites"
"K02518","translation initiation factor IF-1","MULTISPECIES: translation initiation factor IF-1","Decreased",-3.5838,0.0028,"Translation"
"K09458","3-oxoacyl- synthase II ","beta-ketoacyl-ACP synthase II","Decreased",-3.5689,0.0024,"Cell wall and signaling"
"K03621","phosphate acyltransferase ","phosphate acyltransferase PlsX","Decreased",-3.56,0.0025,"Cell wall and signaling"
"K01961","acetyl-CoA carboxylase, biotin carboxylase subunit ","acetyl-CoA carboxylase biotin carboxylase subunit","Decreased",-3.5561,0.0016,"Other metabolites"
"K03110","fused signal recognition particle receptor","signal recognition particle-docking protein FtsY","Decreased",-3.5407,0.0033,"Cell wall and signaling"
"K00602","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase ","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","Decreased",-3.5381,0,"Purines, pyrimidines, nucleotides"
"K01649","2-isopropylmalate synthase ","2-isopropylmalate synthase","Decreased",-3.5346,0.0025,"Amino acid metabolism"
"K10960","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ","geranylgeranyl reductase","Decreased",-3.5216,0.0031,"Photosynthesis"
"K01873","valyl-tRNA synthetase ","MAG: valine--tRNA ligase","Decreased",-3.5193,0.0022,"Translation"
"K01647","citrate synthase ","citrate synthase","Decreased",-3.511,0.0037,"Respiration"
"K01990","ABC-2 type Transporters system ATP-binding protein","ATP-binding cassette domain-containing protein","Decreased",-3.5026,0.0038,"Transporters"
"K01897","long-chain acyl-CoA synthetase ","AMP-binding protein","Decreased",-3.4895,0.0039,"Cell wall and signaling"
"K03465","thymidylate synthase (FAD) ","FAD-dependent thymidylate synthase","Decreased",-3.4775,0.004,"Purines, pyrimidines, nucleotides"
"K01885","glutamyl-tRNA synthetase ","glutamate--tRNA ligase","Decreased",-3.4619,0.0041,"Translation"
"K01868","threonyl-tRNA synthetase ","threonine--tRNA ligase","Decreased",-3.4447,0.0043,"Translation"
"K01524","exopolyphosphatase / guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase ","Ppx/GppA family phosphatase","Decreased",-3.438,0.0041,"Purines, pyrimidines, nucleotides"
"K24259","putative aminotransferase","N-acetyl sugar amidotransferase","Decreased",-3.4319,0.0044,"Amino acid metabolism"
"K13789","geranylgeranyl diphosphate synthase, type II ","polyprenyl synthetase family protein","Decreased",-3.424,0.0045,"Photosynthesis"
"K11004","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB","ABC transporter transmembrane domain-containing protein","Decreased",-3.4202,0.0044,"Transporters"
"K10206","LL-diaminopimelate aminotransferase ","LL-diaminopimelate aminotransferase","Decreased",-3.4017,5e-04,"Amino acid metabolism"
"K01495","GTP cyclohydrolase IA ","GTP cyclohydrolase I","Decreased",-3.3884,0.0048,"Transcription"
"K00812","aspartate aminotransferase ","pyridoxal phosphate-dependent aminotransferase","Decreased",-3.3769,0.0051,"Amino acid metabolism"
"K02666","type IV pilus assembly protein PilQ","type IV pilus assembly protein PilQ","Decreased",-3.3638,0.0052,"Cell wall and signaling"
"K00324","H+-translocating NAD(P) transhydrogenase subunit alpha ","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Decreased",-3.3531,5e-04,"Energy and redox"
"K00872","homoserine kinase ","homoserine kinase","Decreased",-3.2851,0.0066,"Amino acid metabolism"
"K01791","UDP-N-acetylglucosamine 2-epimerase (non-hydrolysing) ","MAG: UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)","Decreased",-3.2798,8e-04,"Cell wall and signaling"
"K01255","leucyl aminopeptidase ","leucyl aminopeptidase","Decreased",-3.2751,0.0014,"Translation"
"K01082","3'(2'), 5'-bisphosphate nucleotidase ","3'(2'),5'-bisphosphate nucleotidase CysQ","Decreased",-3.2728,0.0068,"S and N metabolism"
"K02097","phycobilisome core component","allophycocyanin subunit beta","Decreased",-3.2448,6e-04,"Photosynthesis"
"K03684","ribonuclease D ","ribonuclease D","Decreased",-3.2405,0.0073,"Transcription"
"K11962","urea Transporters system ATP-binding protein","urea ABC transporter ATP-binding protein UrtD","Decreased",-3.2399,0.0075,"S and N metabolism"
"LKDHAOIP_00983","hypothetical protein","MULTISPECIES: hypothetical protein","Decreased",-3.2392,0.0076,"Unknown"
"K02699","photosystem I subunit XI","MULTISPECIES: photosystem I reaction center protein subunit XI","Decreased",-3.2385,0.0013,"Photosynthesis"
"K01696","tryptophan synthase beta chain ","tryptophan synthase subunit beta","Decreased",-3.2042,0.0079,"Amino acid metabolism"
"K01682","aconitate hydratase 2 / 2-methylisocitrate dehydratase ","bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Decreased",-3.1839,0.0076,"Respiration"
"K06041","arabinose-5-phosphate isomerase ","MULTISPECIES: KpsF/GutQ family sugar-phosphate isomerase","Decreased",-3.1616,0.0088,"Cell wall and signaling"
"LKDHAOIP_02063","hypothetical protein","DUF3386 domain-containing protein","Decreased",-3.155,0.0087,"Unknown"
"LKDHAOIP_00015","hypothetical protein","MULTISPECIES: hypothetical protein","Decreased",-3.1422,0.0078,"Unknown"
"K06889","uncharacterized protein","alpha/beta fold hydrolase;alpha/beta hydrolase","Decreased",-3.1395,0.0014,"Unknown"
"K01921","D-alanine-D-alanine ligase ","D-alanine--D-alanine ligase","Decreased",-3.132,0.0098,"Cell wall and signaling"
"K01586","diaminopimelate decarboxylase ","diaminopimelate decarboxylase","Decreased",-3.129,0.0089,"Amino acid metabolism"
"K19267","NAD(P)H dehydrogenase (quinone) ","NAD(P)H-binding protein","Decreased",-3.1282,0.009,"Energy and redox"
"K02094","phycobilisome core linker protein","phycobilisome linker polypeptide","Decreased",-3.0312,0.0015,"Photosynthesis"
"K14055","universal stress protein E","universal stress protein","Decreased",-2.9735,4e-04,"Regulatory system and stress"
"K01784","UDP-glucose 4-epimerase ","NAD-dependent epimerase/dehydratase family protein","Decreased",-2.9019,0.003,"Respiration"
"K00033","6-phosphogluconate dehydrogenase ","NADP-dependent phosphogluconate dehydrogenase","Decreased",-2.8972,0.0022,"Respiration"
"K02469","DNAgyrase subunit A ","DNAtopoisomerase 4 subunit A;DNAgyrase subunit A","Decreased",-2.8772,0,"DNA"
"K03405","magnesium chelatase subunit I ","magnesium chelatase ATPase subunit I","Decreased",-2.7967,4e-04,"Photosynthesis"
"K00615","transketolase ","transketolase","Decreased",-2.7846,0,"Respiration"
"K21919","BTB/POZ domain-containing protein KCTD9","conserved hypothetical protein;pentapeptide repeat-containing protein","Decreased",-2.7092,0.006,"Unknown"
"LKDHAOIP_00605","hypothetical protein","DUF3352 domain-containing protein","Decreased",-2.669,0.0065,"Unknown"
"K02502","ATP phosphoribosyltransferase regulatory subunit","ATP phosphoribosyltransferase regulatory subunit","Decreased",-2.6602,0.0067,"Amino acid metabolism"
"LKDHAOIP_01543","hypothetical protein","DUF1254 domain-containing protein","Decreased",-2.6355,4e-04,"Unknown"
"K00366","ferredoxin-nitrite reductase ","ferredoxin--nitrite reductase","Decreased",-2.4104,0,"S and N metabolism"
"K00627","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) ","2-oxo acid dehydrogenase subunit E2","Decreased",-2.3826,5e-04,"Respiration"
"K00826","branched-chain amino acid aminotransferase ","branched-chain amino acid transaminase","Decreased",-2.2193,0.0031,"Amino acid metabolism"
"K01733","threonine synthase ","MAG: threonine synthase","Decreased",-2.1662,0.0014,"Amino acid metabolism"
"K03046","DNA-directed RNA polymerase subunit beta' ","DNA-directed RNA polymerase subunit beta';DNA-directed RNA polymerase subunit gamma","Decreased",-2.073,0,"Transcription"
"K00648","3-oxoacyl- synthase III ","ketoacyl-ACP synthase III","Decreased",-2.0227,0.0041,"Cell wall and signaling"
"K02520","translation initiation factor IF-3","translation initiation factor IF-3","Decreased",-2.022,2e-04,"Translation"
"K02634","apocytochrome f","apocytochrome f","Decreased",-2.0041,0.0078,"Photosynthesis"
"LKDHAOIP_00574","hypothetical protein","MBL fold metallo-hydrolase","Decreased",-1.9538,0.0036,"Unknown"
"K01714","4-hydroxy-tetrahydrodipicolinate synthase ","4-hydroxy-tetrahydrodipicolinate synthase","Decreased",-1.95,0.0089,"Cell wall and signaling"
"K00759","adenine phosphoribosyltransferase ","adenine phosphoribosyltransferase","Decreased",-1.9268,0.0069,"Purines, pyrimidines, nucleotides"
"K00703","starch synthase ","glycogen synthase GlgA","Decreased",-1.9157,3e-04,"Respiration"
"K02095","allophycocyanin-B","allophycocyanin","Decreased",-1.7735,4e-04,"Photosynthesis"
"K00962","polyribonucleotide nucleotidyltransferase ","polyribonucleotide nucleotidyltransferase","Decreased",-1.7344,0,"Transcription"
"K11003","membrane fusion protein, hemolysin D","HlyD family efflux transporter periplasmic adaptor subunit","Decreased",-1.7058,9e-04,"Cell wall and signaling"
"K01358","ATP-dependent Clp protease, protease subunit ","MULTISPECIES: ATP-dependent Clp endopeptidase proteolytic subunit ClpP;ATP-dependent Clp endopeptidase proteolytic subunit ClpP;MULTISPECIES: ATP-dependent Clp protease proteolytic subunit;Endopeptidase Clp","Decreased",-1.6704,0,"Regulatory system and stress"
"K03609","septum site-determining protein MinD","MULTISPECIES: septum site-determining protein MinD","Decreased",-1.6054,2e-04,"Cell wall and signaling"
"K00228","coproporphyrinogen III oxidase ","oxygen-dependent coproporphyrinogen oxidase","Decreased",-1.5857,4e-04,"Photosynthesis"
"K01428","urease subunit alpha ","urease subunit alpha","Decreased",-1.5274,0.0034,"S and N metabolism"
"K03695","ATP-dependent Clp protease ATP-binding subunit ClpB","AAA family ATPase;ATP-dependent chaperone ClpB","Decreased",-1.5142,3e-04,"Regulatory system and stress"
"K00600","glycine hydroxymethyltransferase ","serine hydroxymethyltransferase","Decreased",-1.4985,4e-04,"Amino acid metabolism"
"K00053","ketol-acid reductoisomerase ","ketol-acid reductoisomerase","Decreased",-1.4739,3e-04,"Amino acid metabolism"
"K01507","inorganic pyrophosphatase ","inorganic diphosphatase","Decreased",-1.4095,6e-04,"Energy and redox"
"K11329","two-component system, OmpR family, response regulator RpaB","MULTISPECIES: response regulator","Decreased",-1.3323,5e-04,"Regulatory system and stress"
"K02434","aspartyl-tRNA(Asn)/glutamyl-tRNA(Gln) amidotransferase subunit B ","Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase subunit GatB","Decreased",-1.3259,0.0014,"Translation"
"K06118","UDP-sulfoquinovose synthase ","NAD-dependent epimerase/dehydratase family protein","Decreased",-1.3252,7e-04,"Purines, pyrimidines, nucleotides"
"K00860","adenylylsulfate kinase ","adenylyl-sulfate kinase","Decreased",-1.2366,0.003,"S and N metabolism"
"K03798","cell division protease FtsH ","ATP-dependent zinc metalloprotease FtsH","Decreased",-1.2269,0,"Regulatory system and stress"
"K04744","LPS-assembly protein","DUF3769 domain-containing protein","Decreased",-1.1992,0.0015,"Cell wall and signaling"
"K00030","isocitrate dehydrogenase (NAD+) ","NADP-dependent isocitrate dehydrogenase","Decreased",-1.194,0.0012,"Respiration"
"K03043","DNA-directed RNA polymerase subunit beta ","DNA-directed RNA polymerase subunit beta","Decreased",-1.1107,0,"Transcription"
"K01698","porphobilinogen synthase ","porphobilinogen synthase","Decreased",-1.1022,0.0079,"Photosynthesis"
"K03696","ATP-dependent Clp protease ATP-binding subunit ClpC","ATP-dependent Clp protease ATP-binding subunit","Decreased",-1.0512,3e-04,"Regulatory system and stress"
