"KO","27L1","27L2","27L3","30L1","30L2","30L3","27R1","27R2","27R3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef"
"IKNINDAA_00577",26.857,32.501,23.691,20.457,14.436,22.953,39.299,23.512,16.068,21.44,22.423,20.972,"hypothetical protein","MULTISPECIES: AbrB family transcriptional regulator","","","GO:0003677","DNA binding","hypothetical protein"
"IKNINDAA_00614",4.0286,4.4829,4.3074,0,0,0,3.2081,2.0153,4.017,6.0301,4.0769,3.3555,"hypothetical protein","MAG: DUF389 domain-containing protein","DUF389 domain-containing protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_00633",2.6857,0,3.2305,0,0,0,5.6141,6.7176,5.356,3.3501,2.0385,6.711,"hypothetical protein","BMC domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_00640",76.543,104.23,110.92,66.485,70.374,80.337,87.419,96.733,85.026,65.661,69.307,81.371,"hypothetical protein","MAG: carboxysome shell protein","Carboxysome shell protein","","GO:0043886","structural constituent of carboxysome shell;structural constituent of carboxysome","hypothetical protein"
"IKNINDAA_00641",2.6857,6.7244,13.999,0,0,6.886,10.426,21.496,20.085,10.72,9.173,11.744,"hypothetical protein","carboxysome shell carbonic anhydrase","","","","","hypothetical protein"
"IKNINDAA_00689",0,0,0,0,12.631,9.1813,4.8121,0,5.356,6.7001,7.1346,5.0333,"hypothetical protein","MULTISPECIES: hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_00794",0,0,0,0,0,0,0,4.7023,4.017,2.01,0,0,"hypothetical protein","MAG: DUF3172 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_00813",10.743,12.328,10.768,20.457,18.045,14.92,8.0201,10.748,11.381,12.06,11.211,10.067,"hypothetical protein","MAG: hypothetical protein DCO99_05745","","","","","hypothetical protein"
"IKNINDAA_00828",0,0,4.3074,0,0,4.5907,0,2.687,4.6865,0,0,0,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_00847",16.114,5.6036,6.4611,5.1142,0,5.7383,4.0101,10.076,13.39,11.39,8.1538,9.2277,"hypothetical protein","MAG: Zn-dependent hydrolase","Zn-dependent hydrolase","","GO:0016787","hydrolase activity","hypothetical protein"
"IKNINDAA_00866",0,5.6036,4.3074,0,0,0,2.406,4.0305,4.017,1.34,0,1.6778,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_00928",6.7143,2.2415,5.3842,0,10.827,9.1813,8.0201,6.7176,8.7035,6.7001,9.173,8.3888,"hypothetical protein","MULTISPECIES: membrane protein","","","","","hypothetical protein"
"IKNINDAA_00972",0,0,0,0,0,0,0,2.0153,0,4.0201,4.0769,4.1944,"hypothetical protein","MAG: hypothetical protein DCO99_06550","","","","","hypothetical protein"
"IKNINDAA_01008",60.429,39.226,32.305,47.732,41.502,43.611,32.081,24.855,30.797,30.151,33.634,37.75,"hypothetical protein","MULTISPECIES: photosystem II protein PsbQ","","","","","hypothetical protein"
"IKNINDAA_01045",0,0,0,0,0,0,0,1.3435,2.0085,2.01,4.0769,0,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01060",0,0,0,0,0,0,0,4.0305,3.3475,5.3601,9.173,5.8721,"hypothetical protein","MAG: penicillin amidase","","","","","hypothetical protein"
"IKNINDAA_01130",0,3.3622,3.2305,0,0,4.5907,4.8121,6.0458,4.017,8.7102,6.1154,5.0333,"hypothetical protein","MULTISPECIES: DUF502 domain-containing protein","DUF502 domain-containing protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_01131",5.3715,6.7244,6.4611,0,0,4.5907,8.0201,8.0611,7.3645,8.7102,6.1154,6.711,"hypothetical protein","HpsJ family protein","","","","","hypothetical protein"
"IKNINDAA_01164",9.4001,11.207,13.999,5.1142,7.2178,11.477,23.258,22.168,28.119,16.08,8.1538,17.616,"hypothetical protein","MAG: hypothetical protein DCO99_07515","","","","","hypothetical protein"
"IKNINDAA_01238",0,0,0,0,0,0,0,4.7023,7.3645,4.0201,0,0,"hypothetical protein","DUF1257 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_01286",0,0,0,0,0,0,0,0,0,3.3501,0,3.3555,"hypothetical protein","MAG: hypothetical protein DCO99_08430","DUF4440 domain-containing protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_01305",0,0,0,0,0,0,6.4161,0,3.3475,6.0301,13.25,6.711,"Ferredoxin-thioredoxin reductase, variable chain","MULTISPECIES: ferredoxin-thioredoxin reductase variable chain","Ferredoxin-thioredoxin reductase variable chain","","GO:0015979","photosynthesis","Ferredoxin-thioredoxin reductase, variable chain"
"IKNINDAA_01318",5.3715,3.3622,4.3074,3.4095,5.4134,5.7383,3.2081,3.3588,2.0085,3.3501,0,5.8721,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01364",13.429,19.052,17.23,3.4095,5.4134,13.772,14.436,17.466,12.051,14.07,14.269,17.616,"hypothetical protein","YlqD family protein","","","","","hypothetical protein"
"IKNINDAA_01402",0,0,0,0,0,0,0,3.3588,2.678,2.6801,0,1.6778,"hypothetical protein","MAG: hypothetical protein DCO99_07855","DUF1517 domain-containing protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_01418",49.686,36.984,32.305,27.276,25.262,33.282,37.695,28.886,34.814,34.171,29.558,36.072,"hypothetical protein","MAG: molecular chaperone DnaJ","","","","","hypothetical protein"
"IKNINDAA_01493",0,4.4829,2.1537,0,0,2.2953,3.2081,6.7176,4.6865,4.6901,0,0,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01554",0,2.2415,0,0,0,0,0,0,0,8.0402,7.1346,2.5166,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01560",0,7.8451,6.4611,0,0,4.5907,2.406,6.7176,5.356,6.7001,4.0769,6.711,"hypothetical protein","MAG: asparaginase","","","","","hypothetical protein"
"IKNINDAA_01563",5.3715,0,3.2305,5.1142,3.6089,5.7383,3.2081,4.0305,0,4.0201,0,2.5166,"hypothetical protein","MULTISPECIES: DUF3318 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_01566",0,6.7244,6.4611,0,0,0,11.228,10.076,10.712,6.7001,0,5.8721,"hypothetical protein","MAG: hypothetical protein DCO99_00625","","","","","hypothetical protein"
"IKNINDAA_01588",8.0572,6.7244,7.5379,5.1142,7.2178,5.7383,3.2081,4.0305,3.3475,10.05,5.0961,6.711,"hypothetical protein","DUF2808 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_01606",22.829,34.743,30.152,34.095,37.893,30.987,29.674,28.214,20.085,28.811,24.461,27.683,"hypothetical protein","MAG: hypothetical protein DCO99_00830","","","","","hypothetical protein"
"IKNINDAA_01659",21.486,17.932,17.23,18.752,23.458,16.067,18.446,17.466,16.068,18.09,23.442,17.616,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01669",0,0,0,0,0,0,0,0,0,6.0301,0,0,"hypothetical protein","MULTISPECIES: hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01837",5.3715,3.3622,3.2305,0,0,5.7383,4.0101,2.0153,0,2.01,3.0577,0,"Photosystem I assembly protein Ycf4","photosystem I assembly protein Ycf4","","","GO:0015979;GO:0009522;GO:0009579;GO:0016020","photosynthesis;photosystem I;thylakoid;membrane","Photosystem I assembly protein Ycf4"
"IKNINDAA_01900",0,4.4829,7.5379,0,0,6.886,4.0101,4.7023,4.6865,6.0301,5.0961,5.8721,"hypothetical protein","MULTISPECIES: hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_01908",0,0,0,0,0,0,0,3.3588,3.3475,2.01,0,0,"hypothetical protein","MAG: hypothetical protein DCO99_05165","","","","","hypothetical protein"
"IKNINDAA_01932",12.086,14.569,15.076,23.866,18.045,18.363,17.644,18.137,15.398,21.44,24.461,26.844,"hypothetical protein","MULTISPECIES: AbrB family transcriptional regulator","","","GO:0003677","DNA binding","hypothetical protein"
"IKNINDAA_02061",14.772,15.69,12.922,17.047,19.849,16.067,13.634,11.42,8.7035,12.73,13.25,14.261,"hypothetical protein","MAG: hypothetical protein DCO99_09940","","","","","hypothetical protein"
"IKNINDAA_02070",8.0572,13.449,10.768,0,7.2178,11.477,10.426,12.763,14.059,12.73,13.25,10.905,"hypothetical protein","MAG: hypothetical protein DCO99_09980","Ycf66 family protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_02077",12.086,10.087,12.922,3.4095,7.2178,14.92,14.436,18.809,20.085,16.08,7.1346,15.1,"hypothetical protein","PRC-barrel domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_02085",8.0572,13.449,9.6916,0,0,11.477,12.832,16.794,14.059,37.521,36.692,29.361,"hypothetical protein","MAG: hypothetical protein DCO99_10055","","","","","hypothetical protein"
"IKNINDAA_02111",0,3.3622,2.1537,0,0,3.443,6.4161,5.3741,6.695,13.4,4.0769,8.3888,"hypothetical protein","MAG: hypothetical protein DCO99_10180","","","","","hypothetical protein"
"IKNINDAA_02119",14.772,19.052,17.23,23.866,28.871,19.51,24.06,17.466,15.398,16.08,23.442,18.455,"hypothetical protein","MAG: cytochrome B6","","","","","hypothetical protein"
"IKNINDAA_02163",8.0572,6.7244,7.5379,11.933,10.827,10.329,8.0201,6.7176,4.017,9.3802,6.1154,6.711,"hypothetical protein","MAG: hypothetical protein DCO99_10425","CAAD domain-containing protein","","GO:0016020;GO:0016021","membrane;integral component of membrane","hypothetical protein"
"IKNINDAA_02213",9.4001,0,3.2305,5.1142,5.4134,5.7383,4.8121,2.687,2.678,3.3501,7.1346,4.1944,"hypothetical protein","MAG: hypothetical protein DCO99_10675","","","","","hypothetical protein"
"IKNINDAA_02243",12.086,15.69,13.999,6.8189,7.2178,14.92,18.446,18.809,21.424,15.41,16.308,15.939,"hypothetical protein","C2 family cysteine protease, partial","","","GO:0006508;GO:0004198","proteolysis;calcium-dependent cysteine-type endopeptidase activity","hypothetical protein"
"IKNINDAA_02266",0,0,0,0,0,0,0,2.0153,2.678,4.0201,0,3.3555,"hypothetical protein","DUF4359 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_02300",12.086,6.7244,7.5379,11.933,10.827,10.329,7.2181,5.3741,5.356,6.0301,6.1154,5.8721,"hypothetical protein","PH domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_02303",10.743,17.932,12.922,17.047,12.631,12.624,8.8221,6.7176,6.0255,10.05,14.269,13.422,"hypothetical protein","MAG: hypothetical protein DCO99_11035","","","","","hypothetical protein"
"IKNINDAA_02386",6.7143,3.3622,0,0,0,3.443,2.406,4.0305,4.6865,8.7102,2.0385,4.1944,"hypothetical protein","MAG: hypothetical protein DCO99_11615","","","","","hypothetical protein"
"IKNINDAA_02410",0,12.328,10.768,13.638,10.827,10.329,9.6242,12.763,10.042,13.4,20.385,20.133,"hypothetical protein","AbrB family transcriptional regulator","","","GO:0003677","DNA binding","hypothetical protein"
"IKNINDAA_02426",24.172,30.26,24.767,30.685,32.48,27.544,21.654,23.512,24.102,22.11,25.481,25.166,"hypothetical protein","MAG: glucose 6-phosphate dehydrogenase","","","","","hypothetical protein"
"IKNINDAA_02495",0,3.3622,4.3074,0,5.4134,6.886,2.406,3.3588,4.6865,4.6901,6.1154,5.8721,"hypothetical protein","hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_02501",0,0,6.4611,0,0,0,0,0,0,7.3702,0,0,"hypothetical protein","MULTISPECIES: hypothetical protein","","","","","hypothetical protein"
"IKNINDAA_02520",0,0,0,0,0,2.2953,0,2.0153,1.339,3.3501,6.1154,2.5166,"hypothetical protein","MAG: DUF3086 domain-containing protein","","","","","hypothetical protein"
"IKNINDAA_02617",0,0,12.922,0,0,0,0,0,6.0255,6.7001,0,0,"hypothetical protein","MAG: porin, partial","","","GO:0008643;GO:0015288;GO:0016020","carbohydrate transport;porin activity;membrane","hypothetical protein"
"K00003",20.143,30.26,23.691,37.504,30.676,30.987,20.05,24.855,19.415,28.811,22.423,21.811,"Homoserine dehydrogenase","MAG: homoserine dehydrogenase","Homoserine dehydrogenase","","GO:0009086;GO:0009088;GO:0009097;GO:0004412;GO:0050661;GO:0006520;GO:0016491","methionine biosynthetic process;threonine biosynthetic process;isoleucine biosynthetic process;homoserine dehydrogenase activity;NADP binding;amino acid metabolic process;oxidoreductase activity","homoserine dehydrogenase "
"K00010",0,0,0,0,0,0,0,2.687,4.017,4.6901,0,0,"D-xylose dehydrogenase","MAG: oxidoreductase","Oxidoreductase","","GO:0000166","nucleotide binding","myo-inositol 2-dehydrogenase / D-chiro-inositol 1-dehydrogenase "
"K00012",8.0572,5.6036,7.5379,0,5.4134,6.886,4.0101,8.0611,10.042,6.7001,6.1154,5.0333,"UDP-glucose 6-dehydrogenase","MAG: nucleotide sugar dehydrogenase","UDP-glucose 6-dehydrogenase","","GO:0000271;GO:0006065;GO:0003979;GO:0051287;GO:0016616","polysaccharide biosynthetic process;UDP-glucuronate biosynthetic process;UDP-glucose 6-dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","UDPglucose 6-dehydrogenase "
"K00013",0,3.3622,0,0,0,3.443,0,3.3588,4.017,6.0301,3.0577,3.3555,"Histidinol dehydrogenase","histidinol dehydrogenase","","","GO:0000105;GO:0004399;GO:0046872;GO:0051287;GO:0016491;GO:0016616","histidine biosynthetic process;histidinol dehydrogenase activity;metal ion binding;NAD binding;oxidoreductase activity;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","histidinol dehydrogenase "
"K00030",45.658,60.519,61.38,75.008,57.742,49.35,60.953,66.504,56.907,60.971,64.211,68.788,"Isocitrate dehydrogenase [NADP]","MAG: NADP-dependent isocitrate dehydrogenase","Isocitrate dehydrogenase [NADP]","","GO:0006097;GO:0006099;GO:0000287;GO:0004450;GO:0051287;GO:0016616","glyoxylate cycle;tricarboxylic acid cycle;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","isocitrate dehydrogenase (NAD+) "
"K00033",83.258,104.23,105.53,119.33,110.07,110.18,74.587,69.863,64.272,85.092,92.749,98.149,"6-phosphogluconate dehydrogenase, decarboxylating","NADP-dependent phosphogluconate dehydrogenase","","","GO:0006098;GO:0004616;GO:0050661;GO:0016491","pentose-phosphate shunt;phosphogluconate dehydrogenase (decarboxylating) activity;NADP binding;oxidoreductase activity","6-phosphogluconate dehydrogenase "
"K00034",14.772,11.207,9.6916,13.638,9.0223,14.92,15.238,15.45,14.729,16.75,14.269,15.939,"Glucose 1-dehydrogenase","glucose 1-dehydrogenase","","","GO:0016491","oxidoreductase activity","glucose 1-dehydrogenase "
"K00036",24.172,44.829,45.228,34.095,34.285,48.202,34.487,30.229,27.449,43.551,33.634,37.75,"Glucose-6-phosphate 1-dehydrogenase 2","MAG: glucose-6-phosphate dehydrogenase","Glucose-6-phosphate 1-dehydrogenase","zwf","GO:0006006;GO:0006098;GO:0004345;GO:0050661;GO:0016614","glucose metabolic process;pentose-phosphate shunt;glucose-6-phosphate dehydrogenase activity;NADP binding;oxidoreductase activity, acting on CH-OH group of donors","glucose-6-phosphate 1-dehydrogenase "
"K00052",2.6857,7.8451,7.5379,3.4095,3.6089,14.92,8.8221,7.3893,6.695,7.3702,7.1346,10.067,"3-isopropylmalate dehydrogenase","MAG: 3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","leuB","GO:0009098;GO:0000287;GO:0003862;GO:0051287;GO:0005737;GO:0016616","leucine biosynthetic process;magnesium ion binding;3-isopropylmalate dehydrogenase activity;NAD binding;cytoplasm;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3-isopropylmalate dehydrogenase "
"K00053",59.086,59.399,62.457,46.028,52.329,63.122,82.607,70.535,56.907,62.981,48.923,59.56,"Ketol-acid reductoisomerase (NADP(+))","ketol-acid reductoisomerase","","","GO:0009082;GO:0004455;GO:0050661;GO:0016491","branched-chain amino acid biosynthetic process;ketol-acid reductoisomerase activity;NADP binding;oxidoreductase activity","ketol-acid reductoisomerase "
"K00058",40.286,43.708,43.074,46.028,48.72,43.611,39.299,38.962,34.814,46.231,42.807,45.299,"D-3-phosphoglycerate dehydrogenase","phosphoglycerate dehydrogenase","","","GO:0006564;GO:0004617;GO:0051287;GO:0016616","L-serine biosynthetic process;phosphoglycerate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","D-3-phosphoglycerate dehydrogenase / 2-oxoglutarate reductase "
"K00059",18.8,23.535,22.614,23.866,27.067,21.806,12.832,16.794,17.407,21.4401,23.4419,17.616,"Diacetyl reductase [(S)-acetoin forming];3-oxoacyl-[acyl-carrier-protein] reductase","MAG: short-chain dehydrogenase;3-oxoacyl-[acyl-carrier-protein] reductase","Short-chain dehydrogenase;","","GO:0016491;GO:0006633;GO:0004316;GO:0051287","oxidoreductase activity;fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity;NAD binding","3-oxoacyl- reductase "
"K00067",6.7143,4.4829,2.1537,3.4095,0,5.7383,3.2081,4.0305,2.678,7.3702,8.1538,8.3888,"dTDP-4-dehydrorhamnose reductase","MAG: dTDP-4-dehydrorhamnose reductase","dTDP-4-dehydrorhamnose reductase","rfbD","GO:0019305;GO:0008831","dTDP-rhamnose biosynthetic process;dTDP-4-dehydrorhamnose reductase activity","dTDP-4-dehydrorhamnose reductase "
"K00088",59.086,79.572,69.995,56.256,70.374,78.041,57.745,51.054,52.89,56.281,64.211,62.077,"putative oxidoreductase/MSMEI_1564","MULTISPECIES: GuaB3 family IMP dehydrogenase-related protein","","","GO:0006164;GO:0003938;GO:0003824;GO:0016491","purine nucleotide biosynthetic process;IMP dehydrogenase activity;catalytic activity;oxidoreductase activity","IMP dehydrogenase "
"K00091",8.0572,7.8451,10.768,3.4095,0,9.1813,4.0101,4.7023,8.034,7.3702,3.0577,4.1944,"hypothetical protein","MAG: NAD-dependent epimerase","","","","","dihydroflavonol-4-reductase "
"K00099",0,0,3.2305,0,0,0,0,6.0458,6.695,3.3501,2.0385,4.1944,"1-deoxy-D-xylulose 5-phosphate reductoisomerase","1-deoxy-D-xylulose-5-phosphate reductoisomerase","","","GO:0008299;GO:0005515;GO:0030604;GO:0046872;GO:0070402","isoprenoid biosynthetic process;protein binding;1-deoxy-D-xylulose-5-phosphate reductoisomerase activity;metal ion binding;NADPH binding","1-deoxy-D-xylulose-5-phosphate reductoisomerase "
"K00111",0,0,0,0,0,0,2.406,6.0458,5.356,9.3802,3.0577,5.8721,"Glycerol-3-phosphate dehydrogenase 2","MAG: glycerol-3-phosphate dehydrogenase","Glycerol-3-phosphate dehydrogenase","","GO:0006072;GO:0004368;GO:0009331;GO:0016491","glycerol-3-phosphate metabolic process;glycerol-3-phosphate dehydrogenase (quinone) activity;glycerol-3-phosphate dehydrogenase complex;oxidoreductase activity","glycerol-3-phosphate dehydrogenase "
"K00129",6.7143,4.4829,4.3074,0,3.6089,4.5907,0,3.3588,3.3475,8.7102,0,0,"NAD(P)-dependent benzaldehyde dehydrogenase","MAG: aldehyde dehydrogenase family protein","Aldehyde dehydrogenase","","GO:0006081;GO:0016620;GO:0016491;GO:0005737","cellular aldehyde metabolic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;oxidoreductase activity;cytoplasm","aldehyde dehydrogenase (NAD(P)+) "
"K00133",9.4001,10.087,7.5379,0,0,8.0337,8.8221,8.0611,8.7035,6.7001,7.1346,7.5499,"Aspartate-semialdehyde dehydrogenase","MAG: aspartate-semialdehyde dehydrogenase","Aspartate-semialdehyde dehydrogenase","asd","GO:0009088;GO:0009089;GO:0009097;GO:0019877;GO:0071266;GO:0004073;GO:0046983;GO:0050661;GO:0051287;GO:0008652;GO:0009086;GO:0016620","threonine biosynthetic process;lysine biosynthetic process via diaminopimelate;isoleucine biosynthetic process;diaminopimelate biosynthetic process;'de novo' L-methionine biosynthetic process;aspartate-semialdehyde dehydrogenase activity;protein dimerization activity;NADP binding;NAD binding;amino acid biosynthetic process;methionine biosynthetic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","aspartate-semialdehyde dehydrogenase "
"K00134",201.43,187.159,184.142,214.797,227.366,182.474,186.068,141.067,140.599,131.32,155.941,156.873,"Glyceraldehyde-3-phosphate dehydrogenase 2;Glyceraldehyde-3-phosphate dehydrogenase A","MULTISPECIES: type I glyceraldehyde-3-phosphate dehydrogenase;MAG: type I glyceraldehyde-3-phosphate dehydrogenase","Glyceraldehyde-3-phosphate dehydrogenase","gap","GO:0006006;GO:0016620;GO:0050661;GO:0051287","glucose metabolic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor;NADP binding;NAD binding","glyceraldehyde 3-phosphate dehydrogenase (phosphorylating) "
"K00145",13.429,11.207,10.768,13.638,12.631,16.067,12.03,11.42,13.39,14.74,15.288,10.905,"N-acetyl-gamma-glutamyl-phosphate reductase","MAG: N-acetyl-gamma-glutamyl-phosphate reductase","N-acetyl-gamma-glutamyl-phosphate reductase","argC","GO:0006526;GO:0003942;GO:0046983;GO:0051287;GO:0005737;GO:0008652;GO:0016620","arginine biosynthetic process;N-acetyl-gamma-glutamyl-phosphate reductase activity;protein dimerization activity;NAD binding;cytoplasm;amino acid biosynthetic process;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","N-acetyl-gamma-glutamyl-phosphate reductase "
"K00147",2.6857,3.3622,3.2305,3.4095,0,3.443,0,8.7328,14.059,2.6801,0,2.5166,"Gamma-glutamyl phosphate reductase","MAG: glutamate-5-semialdehyde dehydrogenase","Gamma-glutamyl phosphate reductase","proA","GO:0055129;GO:0004350;GO:0050661;GO:0005737;GO:0006561;GO:0016491;GO:0016620","L-proline biosynthetic process;glutamate-5-semialdehyde dehydrogenase activity;NADP binding;cytoplasm;proline biosynthetic process;oxidoreductase activity;oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor","glutamate-5-semialdehyde dehydrogenase "
"K00161",29.543,29.139,24.767,15.343,25.262,21.806,37.695,29.557,21.424,20.77,15.288,22.65,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","MAG: pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Pyruvate dehydrogenase E1 component subunit alpha","pdhA","GO:0006086;GO:0004739;GO:0043231;GO:0016624","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;intracellular membrane-bounded organelle;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","pyruvate dehydrogenase E1 component alpha subunit "
"K00162",17.457,21.294,22.614,22.162,25.262,22.953,16.842,14.779,11.381,12.73,18.346,20.972,"2-oxoisovalerate dehydrogenase subunit beta","MULTISPECIES: pyruvate dehydrogenase complex E1 component subunit beta","","","GO:0006086;GO:0004739;GO:0003824","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;catalytic activity","pyruvate dehydrogenase E1 component beta subunit "
"K00208",55.058,39.226,38.766,47.732,46.916,42.464,39.299,31.573,30.127,34.841,41.788,35.233,"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","MAG: enoyl-[acyl-carrier-protein] reductase FabI","Enoyl-[acyl-carrier-protein] reductase [NADH]","","GO:0006633;GO:0019545;GO:0004318;GO:0016631","fatty acid biosynthetic process;arginine catabolic process to succinate;enoyl-[acyl-carrier-protein] reductase (NADH) activity;enoyl-[acyl-carrier-protein] reductase activity","enoyl- reductase I "
