"KO","27L1","27L2","27L3","30L1","30L2","30L3","27R1","27R2","27R3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef"
"K00161",5.3818,6.2625,0,0,0,0,18.017,18.365,19.787,16.359,19.213,14.359,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","","","GO:0006086;GO:0004739;GO:0043231;GO:0016624","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;intracellular membrane-bounded organelle;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","pyruvate dehydrogenase E1 component alpha subunit "
"K00162",0,0,0,0,0,0,6.3589,7.5619,8.7944,4.8115,6.1131,4.4183,"2-oxoisovalerate dehydrogenase subunit beta","alpha-ketoacid dehydrogenase subunit beta","","","GO:0006086;GO:0004739;GO:0003824","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;catalytic activity","pyruvate dehydrogenase E1 component beta subunit "
"K00208",54.715,49.205,49.495,50.262,42.277,65.397,42.393,37.809,39.575,32.718,32.312,41.974,"Enoyl-[acyl-carrier-protein] reductase [NADH] FabI","enoyl-ACP reductase FabI","","","GO:0006633;GO:0004318","fatty acid biosynthetic process;enoyl-[acyl-carrier-protein] reductase (NADH) activity","enoyl- reductase I "
"K00215",0,0,0,0,0,0,3.1795,3.2408,4.3972,4.8115,2.6199,0,"4-hydroxy-tetrahydrodipicolinate reductase","4-hydroxy-tetrahydrodipicolinate reductase","4-hydroxy-tetrahydrodipicolinate reductase","dapB","GO:0009089;GO:0019877;GO:0008839;GO:0016726;GO:0050661;GO:0051287;GO:0005737","lysine biosynthetic process via diaminopimelate;diaminopimelate biosynthetic process;4-hydroxy-tetrahydrodipicolinate reductase;oxidoreductase activity, acting on CH or CH2 groups, NAD or NADP as acceptor;NADP binding;NAD binding;cytoplasm","4-hydroxy-tetrahydrodipicolinate reductase "
"K00218",16.145,16.998,13.813,15.769,15.703,15.617,16.957,22.686,17.589,20.208,17.466,18.778,"Serine 3-dehydrogenase","protochlorophyllide reductase","","","GO:0016630","protochlorophyllide reductase activity","protochlorophyllide reductase "
"K00228",10.764,10.736,8.0573,10.841,10.871,8.7846,33.914,32.408,35.177,35.605,33.185,28.719,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase "
"K00254",0,3.5786,0,0,0,0,11.658,10.803,13.192,13.472,11.353,12.15,"Dihydroorotate dehydrogenase (quinone)","quinone-dependent dihydroorotate dehydrogenase","","","GO:0006207;GO:0004152;GO:0005737;GO:0016020;GO:0016627","'de novo' pyrimidine nucleobase biosynthetic process;dihydroorotate dehydrogenase activity;cytoplasm;membrane;oxidoreductase activity, acting on the CH-CH group of donors","dihydroorotate dehydrogenase "
"K00259",0,0,0,0,0,0,5.2991,4.3211,4.3972,5.7738,4.3665,3.3137,"Alanine dehydrogenase","alanine dehydrogenase","","","GO:0042853;GO:0000286","L-alanine catabolic process;alanine dehydrogenase activity","alanine dehydrogenase "
"K00284",7.1757,7.1571,0,0,0,0,25.436,19.445,35.177,25.02,29.692,19.882,"Ferredoxin-dependent glutamate synthase 2","glutamate synthase large subunit","","","GO:0006537;GO:0015930;GO:0006807;GO:0016491;GO:0016638","glutamate biosynthetic process;glutamate synthase activity;nitrogen compound metabolic process;oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors","glutamate synthase (ferredoxin) "
"K00324",11.661,7.1571,0,8.8698,0,0,21.196,20.525,23.085,25.982,22.706,15.464,"NAD(P) transhydrogenase subunit alpha part 1","Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha","Re/Si-specific NAD transhydrogenase subunit alpha","","GO:0016491","oxidoreductase activity","H+-translocating NAD(P) transhydrogenase subunit alpha "
"K00341",9.8666,8.0518,0,0,0,0,4.2393,4.3211,5.4965,5.7738,6.1131,6.6275,"NADH-quinone oxidoreductase subunit L","NAD(P)H-quinone oxidoreductase subunit 5","","","GO:0042773;GO:0008137","ATP synthesis coupled electron transport;NADH dehydrogenase (ubiquinone) activity","NADH-quinone oxidoreductase subunit L "
"K00366",40.364,44.732,24.172,20.696,19.327,13.665,92.205,97.224,104.43,102,89.95,102.73,"Sulfite reductase [ferredoxin]","ferredoxin--nitrite reductase","","","GO:0016491;GO:0020037;GO:0051536","oxidoreductase activity;heme binding;iron-sulfur cluster binding","ferredoxin-nitrite reductase "
"K00382",20.63,24.155,12.662,26.61,18.119,28.306,36.034,37.809,38.475,41.379,41.918,41.974,"Dihydrolipoyl dehydrogenase","dihydrolipoyl dehydrogenase","Dihydrolipoyl dehydrogenase","lpdA","GO:0045454;GO:0004148;GO:0050660;GO:0016491;GO:0016668","cell redox homeostasis;dihydrolipoyl dehydrogenase activity;flavin adenine dinucleotide binding;oxidoreductase activity;oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor","dihydrolipoamide dehydrogenase "
"K00383",0,0,0,7.8843,8.4554,4.8803,6.3589,5.4013,5.4965,11.548,10.48,11.046,"Glutathione amide reductase","glutathione-disulfide reductase","","","GO:0045454;GO:0016668;GO:0050660;GO:0016491","cell redox homeostasis;oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor;flavin adenine dinucleotide binding;oxidoreductase activity","glutathione reductase (NADPH) "
"K00384",0,1.7893,0,0,0,0,7.4188,4.3211,6.5958,2.8869,6.9864,3.3137,"hypothetical protein;Thioredoxin reductase","FAD-dependent oxidoreductase;thioredoxin-disulfide reductase","","","GO:0009435;GO:0008734;GO:0019430;GO:0004791;GO:0005737;GO:0016491","NAD biosynthetic process;L-aspartate oxidase activity;removal of superoxide radicals;thioredoxin-disulfide reductase activity;cytoplasm;oxidoreductase activity","thioredoxin reductase (NADPH) "
"K00390",0,0,0,0,0,0,0,0,2.1986,1.9246,3.4932,4.4183,"Phosphoadenosine phosphosulfate reductase","phosphoadenylyl-sulfate reductase","Phosphoadenosine 5'-phosphosulfate reductase","cysH","GO:0019379;GO:0070814;GO:0004604;GO:0005737;GO:0003824","sulfate assimilation, phosphoadenylyl sulfate reduction by phosphoadenylyl-sulfate reductase (thioredoxin);hydrogen sulfide biosynthetic process;phosphoadenylyl-sulfate reductase (thioredoxin) activity;cytoplasm;catalytic activity","phosphoadenosine phosphosulfate reductase "
"K00392",0,4.4732,0,0,0,0,19.077,17.284,23.085,17.322,22.706,14.359,"Sulfite reductase [ferredoxin]","MAG: sulfite reductase subunit beta","","","GO:0020037;GO:0050311;GO:0051539;GO:0016491;GO:0051536","heme binding;sulfite reductase (ferredoxin) activity;4 iron, 4 sulfur cluster binding;oxidoreductase activity;iron-sulfur cluster binding","sulfite reductase (ferredoxin) "
"K00423",0,0,0,0,0,0,4.2393,5.4013,5.4965,0,0,0,"Alginate lyase 7","multicopper oxidase domain-containing protein","","","GO:0005507;GO:0005509;GO:0016491","copper ion binding;calcium ion binding;oxidoreductase activity","L-ascorbate oxidase "
"K00432",11.661,12.525,9.2084,10.841,0,10.737,10.598,9.7224,9.8937,7.6985,8.733,9.9412,"Hydroperoxy fatty acid reductase gpx1","glutathione peroxidase","","","GO:0006979;GO:0004602","response to oxidative stress;glutathione peroxidase activity","glutathione peroxidase "
"K00514",0,0,0,0,0,0,8.4786,6.4816,6.5958,10.585,13.099,9.9412,"15-cis-phytoene desaturase","9,9'-di-cis-zeta-carotene desaturase","Zeta-carotene desaturase","zds","GO:0016117;GO:0016719;GO:0016491","carotenoid biosynthetic process;carotene 7,8-desaturase activity;oxidoreductase activity","zeta-carotene desaturase "
"K00518",48.436,43.837,47.193,46.32,42.277,38.067,37.094,37.809,38.475,32.718,32.312,37.556,"Superoxide dismutase [Ni]","MULTISPECIES: superoxide dismutase, Ni","","","GO:0004784;GO:0016151;GO:0016209","superoxide dismutase activity;nickel cation binding;antioxidant activity","nickel superoxide dismutase "
"K00600",11.661,14.314,0,12.812,14.495,11.713,40.273,38.89,41.773,43.304,34.932,37.556,"Serine hydroxymethyltransferase","serine hydroxymethyltransferase","","","GO:0019264;GO:0035999;GO:0004372;GO:0030170;GO:0003824","glycine biosynthetic process from serine;tetrahydrofolate interconversion;glycine hydroxymethyltransferase activity;pyridoxal phosphate binding;catalytic activity","glycine hydroxymethyltransferase "
"K00602",6.2788,6.2625,5.7552,3.9422,0,4.8803,27.555,27.007,25.284,35.605,36.678,32.033,"Bifunctional purine biosynthesis protein PurH","MAG: bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase","","","GO:0006164;GO:0003937;GO:0004643;GO:0003824","purine nucleotide biosynthetic process;IMP cyclohydrolase activity;phosphoribosylaminoimidazolecarboxamide formyltransferase activity;catalytic activity","phosphoribosylaminoimidazolecarboxamide formyltransferase / IMP cyclohydrolase "
"K00605",0,0,0,0,0,0,6.3589,2.1605,4.3972,0,2.6199,0,"Aminomethyltransferase","glycine cleavage system aminomethyltransferase GcvT","","","GO:0006546;GO:0004047;GO:0005515","glycine catabolic process;aminomethyltransferase activity;protein binding","aminomethyltransferase "
"K00611",8.9697,10.736,0,10.841,7.2475,9.7607,6.3589,6.4816,7.6951,7.6985,6.9864,6.6275,"Ornithine carbamoyltransferase","ornithine carbamoyltransferase","Ornithine carbamoyltransferase","argF","GO:0006591;GO:0004585;GO:0016597;GO:0005737;GO:0006520;GO:0016743","ornithine metabolic process;ornithine carbamoyltransferase activity;amino acid binding;cytoplasm;amino acid metabolic process;carboxyl- or carbamoyltransferase activity","ornithine carbamoyltransferase "
"K00615",22.424,22.366,14.964,8.8698,8.4554,5.8564,71.008,63.736,72.553,59.663,62.877,53.02,"Transketolase","transketolase","","","GO:0004802;GO:0003824","transketolase activity;catalytic activity","transketolase "
"K00616",43.951,33.996,28.776,36.465,28.99,42.947,32.854,29.167,29.681,30.794,27.072,24.301,"Transaldolase","transaldolase","","","GO:0005975;GO:0006098;GO:0004801;GO:0005509;GO:0005737","carbohydrate metabolic process;pentose-phosphate shunt;transaldolase activity;calcium ion binding;cytoplasm","transaldolase "
"K00619",0,0,0,1.9711,0,4.8803,0,0,0,0,5.2398,0,"hypothetical protein","GNAT family N-acetyltransferase","","","GO:0016407","acetyltransferase activity","amino-acid N-acetyltransferase "
"K00627",18.836,17.893,9.2084,9.8554,0,11.713,24.376,25.926,28.582,26.945,27.946,23.196,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex","2-oxo acid dehydrogenase subunit E2","Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex","","GO:0006086;GO:0016746;GO:0045254","acetyl-CoA biosynthetic process from pyruvate;acyltransferase activity;pyruvate dehydrogenase complex","pyruvate dehydrogenase E2 component (dihydrolipoamide acetyltransferase) "
"K00640",0,0,0,0,0,0,5.2991,5.4013,6.5958,3.8492,5.2398,3.3137,"Serine acetyltransferase","serine O-acetyltransferase","","","GO:0006535;GO:0009001;GO:0005737;GO:0016740","cysteine biosynthetic process from serine;serine O-acetyltransferase activity;cytoplasm;transferase activity","serine O-acetyltransferase "
"K00645",0,4.4732,0,0,0,0,11.658,15.124,12.092,10.585,11.353,12.15,"Malonyl CoA-acyl carrier protein transacylase","ACP S-malonyltransferase","","","GO:0004314;GO:0016740","[acyl-carrier-protein] S-malonyltransferase activity;transferase activity"," S-malonyltransferase "
"K00648",8.0727,9.8411,0,10.841,7.2475,0,20.137,14.043,15.39,18.284,18.339,16.569,"3-oxoacyl-[acyl-carrier-protein] synthase 3","ketoacyl-ACP synthase III","3-oxoacyl-[acyl-carrier-protein] synthase 3","fabH","GO:0006633;GO:0004315;GO:0033818;GO:0005737;GO:0016746","fatty acid biosynthetic process;3-oxoacyl-[acyl-carrier-protein] synthase activity;beta-ketoacyl-acyl-carrier-protein synthase III activity;cytoplasm;acyltransferase activity","3-oxoacyl- synthase III "
"K00677",0,2.6839,0,0,0,0,8.4786,6.4816,8.7944,6.7362,6.9864,6.6275,"Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine O-acyltransferase","acyl-ACP--UDP-N-acetylglucosamine O-acyltransferase","","","GO:0008610;GO:0008780;GO:0016740","lipid biosynthetic process;acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity;transferase activity","UDP-N-acetylglucosamine acyltransferase "
"K00688",2.6909,2.6839,0,8.8698,2.4158,8.7846,0,0,0,0,2.6199,0,"Maltodextrin phosphorylase","glycogen/starch/alpha-glucan family phosphorylase","","","GO:0005975;GO:0008184;GO:0030170;GO:0004645","carbohydrate metabolic process;glycogen phosphorylase activity;pyridoxal phosphate binding;1,4-alpha-oligoglucan phosphorylase activity","glycogen phosphorylase "
"K00700",11.661,7.1571,0,12.812,0,13.665,10.598,14.043,14.291,12.51,12.226,13.255,"1,4-alpha-glucan branching enzyme GlgB","1,4-alpha-glucan branching protein GlgB","","","GO:0005978;GO:0003844;GO:0004553;GO:0043169;GO:0005975;GO:0003824","glycogen biosynthetic process;1,4-alpha-glucan branching enzyme activity;hydrolase activity, hydrolyzing O-glycosyl compounds;cation binding;carbohydrate metabolic process;catalytic activity","1,4-alpha-glucan branching enzyme "
"K00703",7.1757,5.3678,3.4531,6.8988,8.4554,9.7607,36.034,29.167,39.575,32.718,33.185,36.451,"Glycogen synthase","glycogen synthase GlgA","","","GO:0004373;GO:0016757","glycogen (starch) synthase activity;glycosyltransferase activity","starch synthase "
"K00705",4.4848,4.4732,0,0,0,0,7.4188,6.4816,7.6951,3.8492,4.3665,3.3137,"4-alpha-glucanotransferase","4-alpha-glucanotransferase","4-alpha-glucanotransferase","malQ","GO:0005975;GO:0004134","carbohydrate metabolic process;4-alpha-glucanotransferase activity","4-alpha-glucanotransferase "
"K00759",7.1757,5.3678,3.4531,4.9277,0,7.8086,11.658,10.803,9.8937,10.585,13.099,16.569,"Adenine phosphoribosyltransferase","adenine phosphoribosyltransferase","","","GO:0006168;GO:0003999;GO:0005737","adenine salvage;adenine phosphoribosyltransferase activity;cytoplasm","adenine phosphoribosyltransferase "
"K00762",7.1757,5.3678,8.0573,8.8698,6.0396,6.8325,6.3589,7.5619,6.5958,5.7738,6.9864,7.732,"Orotate phosphoribosyltransferase","orotate phosphoribosyltransferase","Orotate phosphoribosyltransferase","pyrE","GO:0044205;GO:0000287;GO:0004588;GO:0006221","'de novo' UMP biosynthetic process;magnesium ion binding;orotate phosphoribosyltransferase activity;pyrimidine nucleotide biosynthetic process","orotate phosphoribosyltransferase "
"K00764",0,0,0,0,0,0,4.2393,3.2408,4.3972,7.6985,7.8597,6.6275,"Amidophosphoribosyltransferase","amidophosphoribosyltransferase","Amidophosphoribosyltransferase","purF","GO:0006189;GO:0006541;GO:0009113;GO:0000287;GO:0004044","'de novo' IMP biosynthetic process;glutamine metabolic process;purine nucleobase biosynthetic process;magnesium ion binding;amidophosphoribosyltransferase activity","amidophosphoribosyltransferase "
"K00766",4.4848,0,0,0,0,0,19.0768,14.0435,17.5888,22.133,18.3393,11.0458,"Anthranilate phosphoribosyltransferase;Anthranilate phosphoribosyltransferase 2","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Anthranilate phosphoribosyltransferase family protein;Anthranilate phosphoribosyltransferase",";trpD","GO:0000162;GO:0004048;GO:0016757;GO:0000287","tryptophan biosynthetic process;anthranilate phosphoribosyltransferase activity;glycosyltransferase activity;magnesium ion binding","anthranilate phosphoribosyltransferase "
"K00772",0,0,0,0,0,0,4.2393,0,3.2979,0,0,0,"S-methyl-5'-thioadenosine phosphorylase","S-methyl-5'-thioadenosine phosphorylase","","","GO:0009116;GO:0017061;GO:0003824;GO:0016763","nucleoside metabolic process;S-methyl-5-thioadenosine phosphorylase activity;catalytic activity;pentosyltransferase activity","5'-methylthioadenosine phosphorylase "
"K00789",15.248,16.998,16.115,16.754,20.535,19.521,22.256,20.525,18.688,22.133,19.213,22.092,"S-adenosylmethionine synthase","MAG: methionine adenosyltransferase","","","GO:0006556;GO:0004478;GO:0005524","S-adenosylmethionine biosynthetic process;methionine adenosyltransferase activity;ATP binding","S-adenosylmethionine synthetase "
"K00797",0,0,0,0,0,0,5.2991,4.3211,2.1986,4.8115,3.4932,4.4183,"Polyamine aminopropyltransferase","polyamine aminopropyltransferase","Polyamine aminopropyltransferase","speE","GO:0008295;GO:0004766;GO:0003824","spermidine biosynthetic process;spermidine synthase activity;catalytic activity","spermidine synthase "
"K00800",0,3.5786,0,0,0,0,12.718,18.365,13.192,16.359,13.973,12.15,"3-phosphoshikimate 1-carboxyvinyltransferase 1","3-phosphoshikimate 1-carboxyvinyltransferase","3-phosphoshikimate 1-carboxyvinyltransferase","aroA","GO:0008652;GO:0009073;GO:0009423;GO:0003866;GO:0005737;GO:0003824;GO:0016765","amino acid biosynthetic process;aromatic amino acid family biosynthetic process;chorismate biosynthetic process;3-phosphoshikimate 1-carboxyvinyltransferase activity;cytoplasm;catalytic activity;transferase activity, transferring alkyl or aryl (other than methyl) groups;cellular amino acid biosynthetic process","3-phosphoshikimate 1-carboxyvinyltransferase "
"K00812",0,0,0,0,0,0,8.4786,8.6421,9.8937,8.6608,9.6063,9.9412,"Aspartate aminotransferase","pyridoxal phosphate-dependent aminotransferase","Aminotransferase","","GO:0009058;GO:0008483;GO:0030170;GO:0003824","biosynthetic process;transaminase activity;pyridoxal phosphate binding;catalytic activity","aspartate aminotransferase "
"K00820",0,0,0,0,0,0,5.2991,3.2408,7.6951,1.9246,4.3665,2.2092,"Glutamine--fructose-6-phosphate aminotransferase [isomerizing]","glutamine--fructose-6-phosphate transaminase (isomerizing)","","","GO:1901137;GO:0004360;GO:0097367;GO:1901135","carbohydrate derivative biosynthetic process;glutamine-fructose-6-phosphate transaminase (isomerizing) activity;carbohydrate derivative binding;carbohydrate derivative metabolic process","glutamine---fructose-6-phosphate transaminase (isomerizing) "
"K00821",0,0,0,0,0,0,4.2393,5.4013,0,6.7362,8.733,5.5229,"Acetylornithine aminotransferase","aspartate aminotransferase family protein","Acetylornithine aminotransferase","argD","GO:0006526;GO:0003992;GO:0030170;GO:0005737;GO:0006525;GO:0003824;GO:0008483","arginine biosynthetic process;N2-acetyl-L-ornithine:2-oxoglutarate 5-aminotransferase activity;pyridoxal phosphate binding;cytoplasm;arginine metabolic process;catalytic activity;transaminase activity","acetylornithine/N-succinyldiaminopimelate aminotransferase "
"K00826",18.836,19.682,2.3021,7.8843,0,3.9043,16.957,12.963,10.993,13.472,17.466,15.464,"Branched-chain-amino-acid aminotransferase","branched-chain amino acid transaminase","","","GO:0009081;GO:0004084;GO:0003824","branched-chain amino acid metabolic process;branched-chain-amino-acid transaminase activity;catalytic activity","branched-chain amino acid aminotransferase "
"K00830",20.63,23.261,11.51,15.769,3.6238,9.7607,16.957,17.284,16.489,14.435,13.099,14.359,"(S)-ureidoglycine--glyoxylate transaminase","aminotransferase class V-fold PLP-dependent enzyme","","","GO:0003824","catalytic activity","alanine-glyoxylate transaminase / serine-glyoxylate transaminase / serine-pyruvate transaminase "
"K00833",0,0,0,0,0,0,5.2991,4.3211,4.3972,3.8492,6.9864,0,"Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","adenosylmethionine--8-amino-7-oxononanoate transaminase","Adenosylmethionine-8-amino-7-oxononanoate aminotransferase","bioA","GO:0009102;GO:0004015;GO:0030170;GO:0005737;GO:0003824;GO:0008483","biotin biosynthetic process;adenosylmethionine-8-amino-7-oxononanoate transaminase activity;pyridoxal phosphate binding;cytoplasm;catalytic activity;transaminase activity","adenosylmethionine---8-amino-7-oxononanoate aminotransferase "
"K00855",50.23,50.1,58.704,70.959,82.138,91.75,44.513,48.612,45.071,46.191,55.891,49.706,"Phosphoribulokinase, chromosomal","phosphoribulokinase","","","GO:0005975;GO:0005524;GO:0008974;GO:0016301","carbohydrate metabolic process;ATP binding;phosphoribulokinase activity;kinase activity","phosphoribulokinase "
"K00856",3.5879,0,0,0,0,0,12.718,8.6421,10.993,11.548,13.099,9.9412,"putative sugar kinase YdjH","adenosine kinase","","","GO:0016773","phosphotransferase activity, alcohol group as acceptor","adenosine kinase "
